order,subset,subset_str,target_index,target,ei_joint,ei_joint_raw,bias_correction,delta_K,null_mean,null_std,z,p_empirical
1,[0],0,0,component_01,0.23651946641717417,0.23651946641717417,0.00012214486198658392,0.23651946641717417,,,,
1,[0],0,1,component_02,0.030215418224024786,0.030215418224024786,0.00012214486198658392,0.030215418224024786,,,,
1,[0],0,2,component_03,0.00023676314298436284,0.00023676314298436284,0.00012214486198658392,0.00023676314298436284,,,,
1,[0],0,3,component_04,0.0023205755090967587,0.0023205755090967587,0.00012214486198658392,0.0023205755090967587,,,,
1,[0],0,4,component_05,0.0027767330308262,0.0027767330308262,0.00012214486198658392,0.0027767330308262,,,,
1,[0],0,5,component_06,0.0015138131014125682,0.0015138131014125682,0.00012214486198658392,0.0015138131014125682,,,,
1,[0],0,6,component_07,0.0022942611479263952,0.0022942611479263952,0.00012214486198658392,0.0022942611479263952,,,,
1,[0],0,7,component_08,0.002033859862922278,0.002033859862922278,0.00012214486198658392,0.002033859862922278,,,,
1,[0],0,8,component_09,0.0038809330014542964,0.0038809330014542964,0.00012214486198658392,0.0038809330014542964,,,,
1,[0],0,9,component_10,0.00021736584864294557,0.00021736584864294557,0.00012214486198658392,0.00021736584864294557,,,,
1,[0],0,10,component_11,0.0,-3.000573199464309e-05,0.00012214486198658392,0.0,,,,
1,[0],0,11,component_12,0.006512181285444446,0.006512181285444446,0.00012214486198658392,0.006512181285444446,,,,
1,[0],0,12,component_13,0.0005139054336314093,0.0005139054336314093,0.00012214486198658392,0.0005139054336314093,,,,
1,[0],0,13,component_14,0.09334738600962554,0.09334738600962554,0.00012214486198658392,0.09334738600962554,,,,
1,[0],0,14,component_15,5.245493878344083e-05,5.245493878344083e-05,0.00012214486198658392,5.245493878344083e-05,,,,
1,[0],0,15,component_16,0.0008452555841997775,0.0008452555841997775,0.00012214486198658392,0.0008452555841997775,,,,
1,[0],0,16,component_17,0.009527556746415195,0.009527556746415195,0.00012214486198658392,0.009527556746415195,,,,
