target,source,tm_ei,raw_mi_hat,bias_correction,backend
M1,M1,0.021327422915197184,0.021327422915197184,0.0007513148794378033,affine_triangular_transport_map
M1,M2,0.030008508325116083,0.030008508325116083,0.0007513148794378033,affine_triangular_transport_map
M1,M3,0.0012816190669243741,0.0012816190669243741,0.0007513148794378033,affine_triangular_transport_map
M1,M4,0.0008442537395048833,0.0008442537395048833,0.0007513148794378033,affine_triangular_transport_map
M1,M5,0.001126204896459346,0.001126204896459346,0.0007513148794378033,affine_triangular_transport_map
M1,M6,0.0004580853150215898,0.0004580853150215898,0.0007513148794378033,affine_triangular_transport_map
M1,M7,0.018021337483258782,0.018021337483258782,0.0007513148794378033,affine_triangular_transport_map
M1,M8,0.002546939139076553,0.002546939139076553,0.0007513148794378033,affine_triangular_transport_map
M2,M1,0.0023638275390374854,0.0023638275390374854,0.0007513148794378033,affine_triangular_transport_map
M2,M2,0.014477857113936248,0.014477857113936248,0.0007513148794378033,affine_triangular_transport_map
M2,M3,0.021720055329391027,0.021720055329391027,0.0007513148794378033,affine_triangular_transport_map
M2,M4,0.00022551548539167854,0.00022551548539167854,0.0007513148794378033,affine_triangular_transport_map
M2,M5,0.0,-0.00037532835529256736,0.0007513148794378033,affine_triangular_transport_map
M2,M6,0.0006045299229284666,0.0006045299229284666,0.0007513148794378033,affine_triangular_transport_map
M2,M7,0.0,-0.0003784740917247875,0.0007513148794378033,affine_triangular_transport_map
M2,M8,0.025946167011704872,0.025946167011704872,0.0007513148794378033,affine_triangular_transport_map
M3,M1,0.03135738053140374,0.03135738053140374,0.0007513148794378033,affine_triangular_transport_map
M3,M2,0.0024897206803807387,0.0024897206803807387,0.0007513148794378033,affine_triangular_transport_map
M3,M3,0.017763742461077425,0.017763742461077425,0.0007513148794378033,affine_triangular_transport_map
M3,M4,0.021738996657313683,0.021738996657313683,0.0007513148794378033,affine_triangular_transport_map
M3,M5,0.0,-0.0005248795001910236,0.0007513148794378033,affine_triangular_transport_map
M3,M6,0.0006934618097991894,0.0006934618097991894,0.0007513148794378033,affine_triangular_transport_map
M3,M7,0.0005088941126727286,0.0005088941126727286,0.0007513148794378033,affine_triangular_transport_map
M3,M8,0.0003124886000917907,0.0003124886000917907,0.0007513148794378033,affine_triangular_transport_map
M4,M1,9.599444571428939e-05,9.599444571428939e-05,0.0007513148794378033,affine_triangular_transport_map
M4,M2,0.04064224644385455,0.04064224644385455,0.0007513148794378033,affine_triangular_transport_map
M4,M3,0.0027601055940861454,0.0027601055940861454,0.0007513148794378033,affine_triangular_transport_map
M4,M4,0.014235620183998368,0.014235620183998368,0.0007513148794378033,affine_triangular_transport_map
M4,M5,0.027794451145623157,0.027794451145623157,0.0007513148794378033,affine_triangular_transport_map
M4,M6,0.0,-0.0005496850000254848,0.0007513148794378033,affine_triangular_transport_map
M4,M7,0.0004299207922148689,0.0004299207922148689,0.0007513148794378033,affine_triangular_transport_map
M4,M8,0.0,-0.00021171583657970765,0.0007513148794378033,affine_triangular_transport_map
M5,M1,0.000529508493827243,0.000529508493827243,0.0007513148794378033,affine_triangular_transport_map
M5,M2,0.001248055061173959,0.001248055061173959,0.0007513148794378033,affine_triangular_transport_map
M5,M3,0.02666952648744828,0.02666952648744828,0.0007513148794378033,affine_triangular_transport_map
M5,M4,0.006394246016859645,0.006394246016859645,0.0007513148794378033,affine_triangular_transport_map
M5,M5,0.008233399117172443,0.008233399117172443,0.0007513148794378033,affine_triangular_transport_map
M5,M6,0.037304971885885996,0.037304971885885996,0.0007513148794378033,affine_triangular_transport_map
M5,M7,0.0014632664066218137,0.0014632664066218137,0.0007513148794378033,affine_triangular_transport_map
M5,M8,0.0,-0.0004239515164752461,0.0007513148794378033,affine_triangular_transport_map
M6,M1,0.0,-0.0003415951211495354,0.0007513148794378033,affine_triangular_transport_map
M6,M2,0.0004838224583908997,0.0004838224583908997,0.0007513148794378033,affine_triangular_transport_map
M6,M3,5.1689714333068573e-05,5.1689714333068573e-05,0.0007513148794378033,affine_triangular_transport_map
M6,M4,0.05954977888050952,0.05954977888050952,0.0007513148794378033,affine_triangular_transport_map
M6,M5,0.0054181470700269746,0.0054181470700269746,0.0007513148794378033,affine_triangular_transport_map
M6,M6,0.02376730328113259,0.02376730328113259,0.0007513148794378033,affine_triangular_transport_map
M6,M7,0.04418281859657978,0.04418281859657978,0.0007513148794378033,affine_triangular_transport_map
M6,M8,0.0006207321883810766,0.0006207321883810766,0.0007513148794378033,affine_triangular_transport_map
M7,M1,0.0013053640029096298,0.0013053640029096298,0.0007513148794378033,affine_triangular_transport_map
M7,M2,0.0002251579116439868,0.0002251579116439868,0.0007513148794378033,affine_triangular_transport_map
M7,M3,0.0,-0.000521232570372254,0.0007513148794378033,affine_triangular_transport_map
M7,M4,0.0,-1.1233795289613269e-05,0.0007513148794378033,affine_triangular_transport_map
M7,M5,0.01833150898953424,0.01833150898953424,0.0007513148794378033,affine_triangular_transport_map
M7,M6,0.004186321898467176,0.004186321898467176,0.0007513148794378033,affine_triangular_transport_map
M7,M7,0.019533526952034832,0.019533526952034832,0.0007513148794378033,affine_triangular_transport_map
M7,M8,0.039329495706363946,0.039329495706363946,0.0007513148794378033,affine_triangular_transport_map
M8,M1,0.03456320939571731,0.03456320939571731,0.0007513148794378033,affine_triangular_transport_map
M8,M2,0.0007643255973950252,0.0007643255973950252,0.0007513148794378033,affine_triangular_transport_map
M8,M3,0.0001728835915037485,0.0001728835915037485,0.0007513148794378033,affine_triangular_transport_map
M8,M4,0.0,-0.0003248213115153589,0.0007513148794378033,affine_triangular_transport_map
M8,M5,0.0,-0.0005357124143892908,0.0007513148794378033,affine_triangular_transport_map
M8,M6,0.020319311380372143,0.020319311380372143,0.0007513148794378033,affine_triangular_transport_map
M8,M7,0.002775703521824766,0.002775703521824766,0.0007513148794378033,affine_triangular_transport_map
M8,M8,0.018871552595612306,0.018871552595612306,0.0007513148794378033,affine_triangular_transport_map
