model,horizon,component,rmse,mae,corr
RNN,1,overall,0.7170755866821843,0.5718691143034861,0.45227872181209355
RNN,1,component_01,0.6068233314579037,0.4817493113866916,0.7153197097437346
RNN,1,component_02,0.7015403999503741,0.54636826885528,0.6235500379865376
RNN,1,component_03,0.6794030573267471,0.5374251982616941,0.5732405600637465
RNN,1,component_04,0.6716941990645805,0.53924888777042,0.5225705491895766
RNN,1,component_05,0.6769818750775228,0.5369286049950486,0.4828846856893762
RNN,1,component_06,0.6333798118231123,0.5106128502806816,0.6932555754330859
RNN,1,component_07,0.730422047659948,0.5846259538303227,0.47935259594960977
RNN,1,component_08,0.7331090327747609,0.5819528520313708,0.5289304235512542
RNN,1,component_09,0.6536938610097001,0.5173470176619137,0.6274852834022714
RNN,1,component_10,0.7404366148896501,0.596965773665447,0.46874723023987164
RNN,1,component_11,0.7714944505555789,0.62051348315881,0.5543876107279554
RNN,1,component_12,0.7010344769009883,0.5636162675998709,0.485417328578305
RNN,1,component_13,0.7448056957270648,0.5906314331296615,0.4296770226753585
RNN,1,component_14,0.7084858891857744,0.5523476063175013,0.5141617886383496
RNN,1,component_15,0.723920083929084,0.5796901382567093,0.49901374760050715
RNN,1,component_16,0.7182176740276318,0.5716216698749457,0.5095012000702787
RNN,1,component_17,0.744547280313008,0.5942938323696461,0.3828848282953187
RNN,1,component_18,0.7421727350254211,0.5916787038011875,0.3961134209233159
RNN,1,component_19,0.7178416712135987,0.5749732117245295,0.4389432621127767
RNN,1,component_20,0.68814041116258,0.5393069603697469,0.45704744025286026
RNN,1,component_21,0.7334438121685991,0.5855710427441768,0.4078583705056885
RNN,1,component_22,0.7501759441361886,0.6058199290142178,0.47639525230235286
RNN,1,component_23,0.7236791651645862,0.5801789076021275,0.4803400943574084
RNN,1,component_24,0.756382910591627,0.6056445312322135,0.3435413909350956
RNN,1,component_25,0.6659299356719518,0.5364699669427303,0.466853065584461
RNN,1,component_26,0.7395684250052288,0.5942544157097845,0.40564180475136213
