source,target,source_index,target_index,total_effect
component_03,component_08,2,7,2.9698592108572634e-05
component_03,component_09,2,8,6.380031775712266e-05
component_03,component_10,2,9,0.037324437974027125
component_03,component_11,2,10,1.1802433419482751e-05
component_03,component_12,2,11,0.00010077385916914428
component_03,component_13,2,12,7.277130516970744e-05
component_03,component_14,2,13,0.03706057464028575
component_03,component_15,2,14,5.25101441465137e-06
component_03,component_16,2,15,5.367228469208033e-07
component_03,component_17,2,16,3.127545658000139e-05
component_03,component_18,2,17,0.003091240983011443
component_03,component_19,2,18,1.8095394347504492e-05
component_03,component_20,2,19,0.04125246775097531
component_03,component_21,2,20,0.0009329400260076887
component_03,component_22,2,21,2.7838622147811594e-05
component_03,component_23,2,22,0.0022214432310495606
component_03,component_24,2,23,0.001431693045717502
component_03,component_25,2,24,0.0021827963057434335
component_03,component_26,2,25,0.0013030095406315668
component_03,component_27,2,26,6.0130979781948155e-05
component_03,component_28,2,27,7.957535855301133e-05
component_03,component_29,2,28,0.0009763688503803638
component_03,component_30,2,29,0.00016997341275196539
component_03,component_31,2,30,0.0015250364413786862
component_03,component_32,2,31,0.00013819071467929738
component_03,component_33,2,32,6.487997621776675e-06
component_03,component_34,2,33,0.00012959849070555846
component_03,component_35,2,34,1.752546296930897e-05
component_03,component_36,2,35,6.936106362876087e-05
component_03,component_37,2,36,5.048578794172795e-05
component_03,component_38,2,37,0.003743760277291072
component_03,component_39,2,38,7.73762412073118e-05
component_03,component_40,2,39,0.0008870657528674162
component_03,component_41,2,40,0.0007031461486011108
component_03,component_42,2,41,0.00013674639185510284
component_03,component_43,2,42,0.08836206506840384
component_03,component_44,2,43,8.504209586954656e-05
component_03,component_45,2,44,7.962957355663385e-05
component_03,component_46,2,45,0.0007718856045710591
component_03,component_47,2,46,0.00368326518602777
component_03,component_48,2,47,0.0024376450228322183
component_03,component_49,2,48,6.234056453623317e-06
component_03,component_50,2,49,6.979700975036705e-05
component_03,component_51,2,50,0.0013932169641545846
component_03,component_52,2,51,2.331232219799034e-05
component_03,component_53,2,52,0.0006489858326365703
component_03,component_54,2,53,0.0012551088838316893
component_03,component_55,2,54,5.0470132567184365e-05
component_03,component_56,2,55,0.004144368955200455
component_03,component_57,2,56,2.625951079895744e-05
component_03,component_58,2,57,3.1708545415762917e-06
component_03,component_59,2,58,5.92790602740565e-05
component_03,component_60,2,59,0.05679203215091584
component_04,component_01,3,0,6.681615837259832e-06
component_04,component_02,3,1,1.3275342215638193e-05
component_04,component_03,3,2,0.044764869863101464
component_04,component_05,3,4,0.0006391313786713189
component_04,component_06,3,5,3.0415843072452754e-07
component_04,component_07,3,6,5.011996900678138e-06
component_04,component_08,3,7,3.1689177111585106e-06
component_04,component_09,3,8,1.2521524895183012e-05
component_04,component_10,3,9,0.0016863801532079222
component_04,component_11,3,10,0.00037929670330679664
component_04,component_12,3,11,5.0908097646160825e-05
component_04,component_13,3,12,1.6459569064301313e-05
component_04,component_14,3,13,0.002682186306728305
component_04,component_15,3,14,2.6279104498149575e-06
component_04,component_16,3,15,6.949024329328946e-07
component_04,component_17,3,16,0.0009226775193669495
component_04,component_18,3,17,0.00016635080441762884
component_04,component_19,3,18,6.009312891373466e-06
component_04,component_20,3,19,0.0025986791468873183
component_04,component_21,3,20,8.939347707209284e-05
component_04,component_22,3,21,1.7206587484617006e-05
component_04,component_23,3,22,0.00011712210237599954
component_04,component_24,3,23,0.0005278079071401705
component_04,component_25,3,24,0.00013257629494177974
component_04,component_26,3,25,0.00010288270134859619
component_04,component_27,3,26,2.3242703369427747e-05
component_04,component_28,3,27,4.195485691817228e-06
component_04,component_29,3,28,8.851681835529093e-05
component_04,component_30,3,29,0.03951319514853935
component_04,component_31,3,30,0.0001367550743385783
component_04,component_32,3,31,4.5634927193371265e-05
component_04,component_33,3,32,0.0007482841839474044
component_04,component_34,3,33,0.0007194997944432112
component_04,component_35,3,34,1.9699960738793276e-06
component_04,component_36,3,35,0.000533764826895338
component_04,component_37,3,36,0.0013383345435081925
component_04,component_38,3,37,0.00019228973320091882
component_04,component_39,3,38,3.88310631639663e-05
component_04,component_40,3,39,0.00014191449791351135
component_04,component_41,3,40,0.000598953274636159
component_04,component_42,3,41,1.2697771878435443e-05
component_04,component_43,3,42,0.004594037767734018
component_04,component_44,3,43,0.0463026409060883
component_04,component_45,3,44,0.000956723696310152
component_04,component_46,3,45,0.03504298708457355
component_04,component_47,3,46,0.00021145796820511468
component_04,component_48,3,47,0.000837321841300428
component_04,component_49,3,48,1.7237284225010847e-06
component_04,component_50,3,49,0.00042544781240924905
component_04,component_51,3,50,9.502172094456666e-05
component_04,component_52,3,51,2.8436752511666356e-05
component_04,component_53,3,52,7.414966306173377e-05
component_04,component_54,3,53,0.0006417169326116961
component_04,component_55,3,54,0.05412338939410081
component_04,component_56,3,55,0.0002988933676065114
component_04,component_57,3,56,0.0006811996940260476
component_04,component_58,3,57,6.837561110164931e-07
component_04,component_59,3,58,1.403663543795674e-05
component_04,component_60,3,59,0.004509650918095595
component_05,component_01,4,0,1.4177657693260784e-05
component_05,component_02,4,1,2.4265986611904966e-05
component_05,component_03,4,2,7.691464669937924e-05
component_05,component_04,4,3,0.0004393428860654354
component_05,component_06,4,5,9.952894068495475e-07
component_05,component_07,4,6,4.182030946469575e-05
component_05,component_08,4,7,2.744741020200137e-05
component_05,component_09,4,8,2.0293007082818543e-06
component_05,component_10,4,9,4.5899944020259325e-05
component_05,component_11,4,10,1.4622583525213277e-05
component_05,component_12,4,11,0.0011709353399072552
component_05,component_13,4,12,6.559273143668404e-07
component_05,component_14,4,13,0.00042980960965143905
component_05,component_15,4,14,7.131019743618922e-05
component_05,component_16,4,15,1.270211559161616e-06
component_05,component_17,4,16,0.0005057778862966903
component_05,component_18,4,17,1.3404493724755511e-05
component_05,component_19,4,18,2.151198199314211e-05
component_05,component_20,4,19,0.0007426738335166804
component_05,component_21,4,20,0.0010776313206145116
component_05,component_22,4,21,1.9428002776390928e-05
component_05,component_23,4,22,5.234173234392856e-05
component_05,component_24,4,23,1.9460784132404246e-06
component_05,component_25,4,24,2.4213559263301783e-05
component_05,component_26,4,25,0.05721739475425283
component_05,component_27,4,26,9.615463251347325e-05
component_05,component_28,4,27,1.874957712327398e-06
component_05,component_29,4,28,1.8320075874216345e-05
component_05,component_30,4,29,0.0004954555846775698
component_05,component_31,4,30,0.04134825224819656
component_05,component_32,4,31,0.00040117613285618785
component_05,component_33,4,32,6.059939823854072e-05
component_05,component_34,4,33,0.0007307139960356906
component_05,component_35,4,34,0.0010692803797233475
component_05,component_36,4,35,0.004712086936398334
component_05,component_37,4,36,0.002947898840734863
component_05,component_38,4,37,0.00034028503990276595
component_05,component_39,4,38,0.03677489076010149
component_05,component_40,4,39,0.09824447075096387
component_05,component_41,4,40,8.572038871789061e-05
component_05,component_42,4,41,5.1802090022562704e-05
component_05,component_43,4,42,7.66121783429556e-06
component_05,component_44,4,43,0.00010169160258385757
component_05,component_45,4,44,2.6371342151028652e-05
component_05,component_46,4,45,4.749473783970547e-05
component_05,component_47,4,46,0.0007591942909769973
component_05,component_48,4,47,1.3982547545959904e-06
component_05,component_49,4,48,0.0006654055254198691
component_05,component_50,4,49,0.0004999963913464403
component_05,component_51,4,50,0.0006042671085215657
component_05,component_52,4,51,8.096691561588346e-05
component_05,component_53,4,52,0.0007001169603020009
component_05,component_54,4,53,0.05292589837665817
component_05,component_55,4,54,3.2849986340903847e-05
component_05,component_56,4,55,2.2233128518635996e-05
component_05,component_57,4,56,7.802227148325602e-05
component_05,component_58,4,57,9.129790572378665e-08
component_05,component_59,4,58,0.0014087583784276405
component_05,component_60,4,59,1.7226294009567632e-05
component_06,component_01,5,0,4.332402610400527e-06
component_06,component_02,5,1,3.0940064065354874e-05
component_06,component_03,5,2,3.72538150645769e-05
component_06,component_04,5,3,0.00026208577640451794
