source,mediator,target,source_index,mediator_index,target_index,amce
component_01,component_14,component_22,0,13,21,6.532766586467778e-07
component_01,component_27,component_22,0,26,21,0.000557463566238872
component_01,component_41,component_22,0,40,21,5.000571257501164e-07
component_01,component_58,component_22,0,57,21,7.315621959304256e-07
component_01,component_02,component_23,0,1,22,1.426809406426012e-07
component_01,component_14,component_23,0,13,22,5.320252885553457e-06
component_01,component_27,component_23,0,26,22,3.708325826807089e-05
component_01,component_41,component_23,0,40,22,4.474329370988006e-07
component_01,component_58,component_23,0,57,22,1.636698495046236e-08
component_01,component_02,component_24,0,1,23,5.624293936963376e-09
component_01,component_14,component_24,0,13,23,9.495966466079561e-08
component_01,component_27,component_24,0,26,23,6.763052322901294e-09
component_01,component_41,component_24,0,40,23,2.2058940762767189e-07
component_01,component_58,component_24,0,57,23,1.2411303071501692e-09
component_01,component_02,component_25,0,1,24,6.325769516398516e-09
component_01,component_14,component_25,0,13,24,3.8528541633011185e-07
component_01,component_27,component_25,0,26,24,2.8215308085978124e-07
component_01,component_41,component_25,0,40,24,5.494113333139177e-09
component_01,component_58,component_25,0,57,24,1.1584633128603182e-09
component_01,component_02,component_26,0,1,25,3.8767470388638205e-06
component_01,component_14,component_26,0,13,25,6.870778729667392e-08
component_01,component_27,component_26,0,26,25,4.05655505082496e-07
component_01,component_41,component_26,0,40,25,0.0002824994468721619
component_01,component_58,component_26,0,57,25,7.98833581020708e-08
component_01,component_02,component_27,0,1,26,2.234466835464714e-05
component_01,component_14,component_27,0,13,26,5.986312661811294e-06
component_01,component_41,component_27,0,40,26,3.0786601812244895e-05
component_01,component_58,component_27,0,57,26,1.44297249868591e-05
component_01,component_02,component_28,0,1,27,5.403059615759638e-09
component_01,component_14,component_28,0,13,27,1.2891379876249161e-08
component_01,component_27,component_28,0,26,27,1.100066029366521e-05
component_01,component_41,component_28,0,40,27,9.86783513928605e-09
component_01,component_58,component_28,0,57,27,1.4436220927252399e-08
component_01,component_02,component_29,0,1,28,0.0011121187166285573
component_01,component_14,component_29,0,13,28,1.1706304743629158e-05
component_01,component_27,component_29,0,26,28,5.839258198762267e-08
component_01,component_41,component_29,0,40,28,6.494034074623378e-07
component_01,component_58,component_29,0,57,28,7.157785161097384e-07
component_01,component_02,component_30,0,1,29,6.414562826568096e-06
component_01,component_14,component_30,0,13,29,0.004363577048980699
component_01,component_27,component_30,0,26,29,8.893904582735776e-06
component_01,component_41,component_30,0,40,29,2.7380809168221474e-06
component_01,component_58,component_30,0,57,29,0.00018585838218194764
component_01,component_02,component_31,0,1,30,1.053656026332115e-10
component_01,component_14,component_31,0,13,30,2.5529540712765313e-09
component_01,component_27,component_31,0,26,30,2.7213878056836215e-10
component_01,component_41,component_31,0,40,30,5.5028588720226e-10
component_01,component_58,component_31,0,57,30,7.41734452419901e-11
component_01,component_02,component_32,0,1,31,2.777081199563348e-07
component_01,component_14,component_32,0,13,31,4.8754292928985404e-05
component_01,component_27,component_32,0,26,31,1.4277896455824206e-05
component_01,component_41,component_32,0,40,31,0.0006510230702601027
component_01,component_58,component_32,0,57,31,3.308461775159482e-07
component_01,component_02,component_33,0,1,32,7.223654716434144e-07
component_01,component_14,component_33,0,13,32,4.2714780650570904e-05
component_01,component_27,component_33,0,26,32,0.0014166724519595092
component_01,component_41,component_33,0,40,32,7.550351155295342e-06
