source,target,source_index,target_index,pairwise_ei,linear_coefficient,abs_linear_coefficient,same_nonzero_support
component_17,component_51,16,50,0.0005863334867920192,0.0,0.0,False
component_59,component_31,58,30,0.000584618684073562,0.0,0.0,False
component_38,component_12,37,11,0.0005808666981101541,0.0,0.0,False
component_15,component_24,14,23,0.0005802066640414518,-0.0636416621986608,0.0636416621986608,True
component_15,component_16,14,15,0.0005777506561239137,0.0,0.0,False
component_25,component_32,24,31,0.0005762104279390604,0.0,0.0,False
component_45,component_14,44,13,0.000576136255462099,0.0,0.0,False
component_44,component_26,43,25,0.0005758259314586119,0.0,0.0,False
component_50,component_47,49,46,0.0005751484953579649,0.0,0.0,False
component_48,component_42,47,41,0.0005747578173721211,0.0,0.0,False
component_37,component_22,36,21,0.0005725419119862857,-0.068625362135669,0.068625362135669,True
component_27,component_47,26,46,0.0005721620268536281,0.0,0.0,False
component_40,component_28,39,27,0.0005713530330049444,0.0,0.0,False
component_50,component_18,49,17,0.0005705164391230171,0.0,0.0,False
component_22,component_58,21,57,0.0005683069032123815,0.0,0.0,False
component_09,component_48,8,47,0.0005662567636769459,0.0,0.0,False
component_57,component_33,56,32,0.0005639188133708663,0.0,0.0,False
component_27,component_09,26,8,0.0005632937488071375,0.0,0.0,False
component_56,component_11,55,10,0.0005621370657965551,0.0,0.0,False
component_30,component_28,29,27,0.0005596132024645721,0.0,0.0,False
component_52,component_18,51,17,0.0005594086081337686,0.0,0.0,False
component_08,component_40,7,39,0.0005592471560824986,0.0,0.0,False
component_38,component_26,37,25,0.0005567540520019117,0.0,0.0,False
component_17,component_02,16,1,0.000556376332559173,-0.0474511920384157,0.0474511920384157,True
component_38,component_08,37,7,0.000554835758731407,-0.0509323159810068,0.0509323159810068,True
component_39,component_13,38,12,0.000554734338642379,0.0,0.0,False
component_24,component_29,23,28,0.0005547228190633886,0.0,0.0,False
component_22,component_53,21,52,0.0005540759424936103,0.0,0.0,False
component_11,component_15,10,14,0.0005540278229791177,0.0,0.0,False
component_40,component_57,39,56,0.0005540177606511655,0.0,0.0,False
component_40,component_19,39,18,0.0005528652326575159,0.0,0.0,False
component_56,component_57,55,56,0.00055178197082104,0.0,0.0,False
component_50,component_02,49,1,0.0005508819240866905,0.0,0.0,False
component_54,component_13,53,12,0.0005494806900222917,0.0,0.0,False
component_19,component_58,18,57,0.0005494153003667647,0.0,0.0,False
component_49,component_05,48,4,0.0005489579386496881,0.0,0.0,False
component_37,component_55,36,54,0.0005487510557176613,0.0,0.0,False
component_46,component_21,45,20,0.0005481977162691638,0.0,0.0,False
component_58,component_24,57,23,0.000544998639046187,0.0,0.0,False
component_57,component_59,56,58,0.0005429740834904605,0.0,0.0,False
component_53,component_55,52,54,0.0005420289830135854,0.0,0.0,False
component_60,component_13,59,12,0.0005413308067578003,0.0,0.0,False
component_22,component_45,21,44,0.0005398340545153292,0.0,0.0,False
component_22,component_20,21,19,0.0005396502291524749,0.0,0.0,False
component_12,component_50,11,49,0.0005387641034539708,0.0,0.0,False
component_30,component_31,29,30,0.0005375236492154848,-0.04049016176939,0.04049016176939,True
component_30,component_12,29,11,0.000537279651688631,0.0,0.0,False
component_56,component_13,55,12,0.0005372001417119998,0.0,0.0,False
component_21,component_26,20,25,0.0005371501190314968,0.0,0.0,False
component_28,component_09,27,8,0.0005371044641550708,0.0,0.0,False
component_46,component_23,45,22,0.0005334800301472447,0.0,0.0,False
component_39,component_56,38,55,0.0005334228503672774,0.0,0.0,False
component_44,component_46,43,45,0.0005329105080238931,0.0,0.0,False
component_17,component_48,16,47,0.0005315917033826196,0.0,0.0,False
component_45,component_57,44,56,0.0005293373230842844,0.0,0.0,False
component_48,component_15,47,14,0.0005284936927948841,0.0,0.0,False
component_14,component_34,13,33,0.0005278390099163661,0.0,0.0,False
component_60,component_53,59,52,0.0005271859929690719,0.0,0.0,False
component_37,component_13,36,12,0.0005269588616390758,0.0,0.0,False
component_42,component_52,41,51,0.0005263721162964346,0.0,0.0,False
component_11,component_28,10,27,0.0005255248369524684,0.0,0.0,False
component_49,component_20,48,19,0.0005241491434662461,0.0,0.0,False
component_33,component_01,32,0,0.0005222138369104033,0.0,0.0,False
component_42,component_58,41,57,0.000519688643431447,0.0,0.0,False
component_36,component_28,35,27,0.0005166047170766037,0.0,0.0,False
component_51,component_18,50,17,0.0005165790628771233,-0.0496233113816821,0.0496233113816821,True
component_18,component_59,17,58,0.0005163772560973914,0.0,0.0,False
component_48,component_55,47,54,0.0005149825685167894,0.0,0.0,False
component_25,component_05,24,4,0.0005138247151106122,0.0,0.0,False
component_11,component_56,10,55,0.00051205847254159,0.0,0.0,False
component_43,component_45,42,44,0.0005114016825311116,0.0,0.0,False
component_26,component_16,25,15,0.0005102201607123287,0.0,0.0,False
component_01,component_20,0,19,0.0005098944074138735,0.0,0.0,False
component_23,component_50,22,49,0.0005095045968894379,0.0,0.0,False
component_12,component_20,11,19,0.000509407813312845,0.0,0.0,False
component_43,component_09,42,8,0.0005086690985066857,0.0,0.0,False
component_20,component_06,19,5,0.0005077710015460577,0.0,0.0,False
component_52,component_30,51,29,0.0005050738035691958,0.0,0.0,False
component_41,component_31,40,30,0.0005040188500389359,0.0,0.0,False
component_27,component_18,26,17,0.0005033211030134814,0.0,0.0,False
component_41,component_39,40,38,0.0005028067283789631,0.0,0.0,False
component_09,component_23,8,22,0.0005021358734048771,0.0,0.0,False
component_38,component_32,37,31,0.0005010063303575131,0.0,0.0,False
component_43,component_44,42,43,0.0005001962943415926,0.0,0.0,False
component_41,component_36,40,35,0.0004990846331946404,0.0,0.0,False
component_55,component_57,54,56,0.0004983968352956405,0.0,0.0,False
component_46,component_44,45,43,0.0004981750512763912,0.0,0.0,False
component_51,component_03,50,2,0.0004973385446145498,0.0,0.0,False
component_08,component_49,7,48,0.0004957720033896689,-0.0639654698476958,0.0639654698476958,True
component_55,component_28,54,27,0.0004956569744908133,0.0,0.0,False
component_46,component_10,45,9,0.0004910612227486668,0.0,0.0,False
component_30,component_13,29,12,0.0004909965198038322,0.0,0.0,False
component_30,component_18,29,17,0.0004908199796789922,0.0,0.0,False
component_57,component_30,56,29,0.0004895843777916039,0.0,0.0,False
component_12,component_10,11,9,0.0004870295429698507,0.0,0.0,False
component_38,component_34,37,33,0.0004868192429546232,0.0,0.0,False
component_50,component_36,49,35,0.000486000988386269,0.0,0.0,False
component_52,component_38,51,37,0.00048589597091624006,0.0,0.0,False
component_41,component_33,40,32,0.0004857457784762942,0.0,0.0,False
component_38,component_37,37,36,0.000485331993546935,0.0,0.0,False
component_47,component_19,46,18,0.0004853070535870216,0.0,0.0,False
component_39,component_08,38,7,0.0004848294983333396,0.0,0.0,False
component_12,component_32,11,31,0.00048427204701426607,0.0,0.0,False
component_43,component_27,42,26,0.00048201243328732803,0.0,0.0,False
component_27,component_36,26,35,0.0004818849589646687,0.0,0.0,False
component_09,component_24,8,23,0.0004816816582655781,0.0,0.0,False
component_44,component_32,43,31,0.00047919480382238957,-0.0574444464884347,0.0574444464884347,True
component_37,component_34,36,33,0.000478180191237148,0.0,0.0,False
component_30,component_24,29,23,0.000477326204296065,0.0,0.0,False
component_24,component_18,23,17,0.00047607198077724783,0.0,0.0,False
component_18,component_11,17,10,0.00047550025623973604,0.0,0.0,False
component_48,component_03,47,2,0.0004752259632270072,0.0,0.0,False
component_40,component_46,39,45,0.0004746680032002434,0.0,0.0,False
component_32,component_37,31,36,0.0004729197233915651,0.0,0.0,False
component_35,component_41,34,40,0.00047027496929175517,0.0,0.0,False
component_54,component_48,53,47,0.00047008476976746934,0.0,0.0,False
component_25,component_02,24,1,0.00046829562907703046,0.0,0.0,False
component_38,component_23,37,22,0.00046750915330824377,0.0,0.0,False
component_09,component_20,8,19,0.0004669062415293296,0.0,0.0,False
component_16,component_13,15,12,0.00046466015085798527,0.0,0.0,False
