source,target,source_index,target_index,ei,bias_correction
component_51,component_55,50,54,0.00945777120725012,0.00012214486198658392
component_46,component_48,45,47,0.009446586555352316,0.00012214486198658392
component_45,component_20,44,19,0.009425988064327009,0.00012214486198658392
component_13,component_51,12,50,0.00941568857636832,0.00012214486198658392
component_35,component_55,34,54,0.009403582439545772,0.00012214486198658392
component_17,component_40,16,39,0.009324201060985941,0.00012214486198658392
component_56,component_48,55,47,0.009284248004179613,0.00012214486198658392
component_04,component_26,3,25,0.009284044955587527,0.00012214486198658392
component_47,component_34,46,33,0.009239357520521633,0.00012214486198658392
component_28,component_27,27,26,0.009222812981364405,0.00012214486198658392
component_36,component_46,35,45,0.009198465640563924,0.00012214486198658392
component_38,component_12,37,11,0.009174883636506878,0.00012214486198658392
component_02,component_37,1,36,0.009164954229740601,0.00012214486198658392
component_24,component_15,23,14,0.009002984304487795,0.00012214486198658392
component_20,component_37,19,36,0.008965186975826968,0.00012214486198658392
component_03,component_27,2,26,0.008948604440931361,0.00012214486198658392
component_42,component_30,41,29,0.008929072912895311,0.00012214486198658392
component_26,component_08,25,7,0.008892833788577114,0.00012214486198658392
component_41,component_53,40,52,0.008889533449901777,0.00012214486198658392
component_24,component_38,23,37,0.008861506606101018,0.00012214486198658392
component_06,component_49,5,48,0.008835134605616479,0.00012214486198658392
component_29,component_17,28,16,0.008791214912909327,0.00012214486198658392
component_10,component_38,9,37,0.00879079371113315,0.00012214486198658392
component_10,component_28,9,27,0.008789443285285501,0.00012214486198658392
component_28,component_19,27,18,0.008784186864690749,0.00012214486198658392
component_14,component_07,13,6,0.008774756653012052,0.00012214486198658392
component_12,component_32,11,31,0.008759082021370566,0.00012214486198658392
component_30,component_37,29,36,0.008747721088223378,0.00012214486198658392
component_50,component_55,49,54,0.00872314107766247,0.00012214486198658392
component_47,component_03,46,2,0.008720282475780813,0.00012214486198658392
component_42,component_08,41,7,0.008709126031507312,0.00012214486198658392
component_39,component_49,38,48,0.008701952365111848,0.00012214486198658392
component_39,component_23,38,22,0.008686065666856493,0.00012214486198658392
component_28,component_42,27,41,0.0086556077802493,0.00012214486198658392
component_48,component_35,47,34,0.008644483282907973,0.00012214486198658392
component_14,component_50,13,49,0.008635906850920173,0.00012214486198658392
component_20,component_09,19,8,0.008619112539816627,0.00012214486198658392
component_19,component_37,18,36,0.00859231398025761,0.00012214486198658392
component_39,component_44,38,43,0.00857258598881981,0.00012214486198658392
component_32,component_14,31,13,0.00856858685327678,0.00012214486198658392
component_56,component_46,55,45,0.008562023085616408,0.00012214486198658392
component_36,component_52,35,51,0.008505599732314458,0.00012214486198658392
component_43,component_59,42,58,0.008491835369181158,0.00012214486198658392
component_30,component_54,29,53,0.008490411069691622,0.00012214486198658392
component_29,component_43,28,42,0.008486995939481103,0.00012214486198658392
component_16,component_21,15,20,0.008474352749254784,0.00012214486198658392
component_51,component_60,50,59,0.008427007050873193,0.00012214486198658392
component_30,component_28,29,27,0.00842360660604221,0.00012214486198658392
component_43,component_60,42,59,0.008393358528838645,0.00012214486198658392
component_42,component_54,41,53,0.00834476654944964,0.00012214486198658392
component_04,component_22,3,21,0.008313165951015705,0.00012214486198658392
component_26,component_22,25,21,0.008299476902676402,0.00012214486198658392
component_02,component_34,1,33,0.008270858515063935,0.00012214486198658392
component_21,component_35,20,34,0.008265212849521225,0.00012214486198658392
component_53,component_01,52,0,0.00825022637616571,0.00012214486198658392
component_44,component_35,43,34,0.008222357667686447,0.00012214486198658392
component_58,component_44,57,43,0.008221175652846401,0.00012214486198658392
component_06,component_08,5,7,0.008215692907366227,0.00012214486198658392
component_14,component_01,13,0,0.008197286680450855,0.00012214486198658392
component_43,component_52,42,51,0.008176624382428319,0.00012214486198658392
component_48,component_21,47,20,0.00815379969153121,0.00012214486198658392
component_01,component_39,0,38,0.008140626476456884,0.00012214486198658392
component_28,component_49,27,48,0.008119614591634213,0.00012214486198658392
component_45,component_42,44,41,0.008095651064332791,0.00012214486198658392
component_54,component_35,53,34,0.008064883732562048,0.00012214486198658392
component_10,component_47,9,46,0.008023056564266821,0.00012214486198658392
component_54,component_27,53,26,0.00798910601361528,0.00012214486198658392
component_07,component_29,6,28,0.007988746181707234,0.00012214486198658392
component_17,component_22,16,21,0.007980721046421748,0.00012214486198658392
component_12,component_17,11,16,0.007954529260408837,0.00012214486198658392
component_36,component_59,35,58,0.007887261930068144,0.00012214486198658392
component_26,component_32,25,31,0.00787532878307664,0.00012214486198658392
component_30,component_39,29,38,0.007817244433675166,0.00012214486198658392
component_25,component_24,24,23,0.007778912782449842,0.00012214486198658392
component_14,component_51,13,50,0.0077737488295395365,0.00012214486198658392
component_24,component_48,23,47,0.007753693005016897,0.00012214486198658392
component_19,component_06,18,5,0.0077450665251242645,0.00012214486198658392
component_38,component_30,37,29,0.0077267431667403024,0.00012214486198658392
component_13,component_52,12,51,0.007717392213897411,0.00012214486198658392
component_25,component_56,24,55,0.007714481356227899,0.00012214486198658392
component_15,component_09,14,8,0.0076751436434647205,0.00012214486198658392
component_02,component_24,1,23,0.0076542965380234276,0.00012214486198658392
component_49,component_47,48,46,0.0076534111893991705,0.00012214486198658392
component_11,component_13,10,12,0.007650333463839946,0.00012214486198658392
component_42,component_44,41,43,0.007648486912249381,0.00012214486198658392
component_07,component_26,6,25,0.0076469657547916835,0.00012214486198658392
component_36,component_18,35,17,0.007614768547193234,0.00012214486198658392
component_45,component_29,44,28,0.007610224603131141,0.00012214486198658392
component_16,component_32,15,31,0.007601966787404195,0.00012214486198658392
component_21,component_23,20,22,0.007589171295735125,0.00012214486198658392
component_42,component_46,41,45,0.00756889020844098,0.00012214486198658392
component_04,component_23,3,22,0.007549587054151298,0.00012214486198658392
component_45,component_54,44,53,0.007532089874111492,0.00012214486198658392
component_29,component_58,28,57,0.007490906592442892,0.00012214486198658392
component_47,component_25,46,24,0.00748864065357937,0.00012214486198658392
component_17,component_30,16,29,0.007479778312813153,0.00012214486198658392
component_14,component_32,13,31,0.0074773297731756325,0.00012214486198658392
