,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011485845365293637,0.0,0.0,0.0,0.0,0.010654830079552959,0.0,0.0,0.0,0.0,0.010774307562221346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04602013475538173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023859468919678325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023354958900542094,0.0,0.0,0.014055627330874015,0.0,0.0,0.0,0.04979746543406459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03040051763527269,0.00941568857636832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_14,0.0,0.0,0.027842672412071206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026759467105738864,0.0,0.0929483556150612,0.01682038519650453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04388182627954364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_15,0.0,0.0251376034128699,0.030617450944879797,0.0,0.0,0.0,0.02178898061216475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018063914621178553,0.0,0.0,0.018787256260629454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014346678913519605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015562482150173185,0.023439589547784224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178000563312656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01925831852966859
component_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034881989344689786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01683387484580215,0.013467449087782316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017740596924484698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017885855483594656,0.0,0.0
component_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014628237130574113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02806714286589904,0.030482439589382376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014766170695413737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01717245032568523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044107261826964575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030440368825238706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025033946966086,0.0,0.0,0.05806341176852521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027392079138466426,0.0,0.0,0.0
component_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008619112539816627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008965186975826968,0.0,0.0,0.0,0.0,0.005016691304826673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046351595457937815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005081057918532833
component_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007237389222187752,0.0,0.0,0.0,0.0,0.007589171295735125,0.0,0.0,0.0,0.007095373681278445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008265212849521225,0.0,0.0,0.0,0.007422227798230581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
