split,component,rmse,mae,corr
train,overall,0.627326817265219,0.5003879595384442,0.6055975210131391
train,component_01,0.5266163373565944,0.41656532386187084,0.8062118215967943
train,component_02,0.5880073301109661,0.4655436054855922,0.7245377601821216
train,component_03,0.5783366356079614,0.45908287802542314,0.6873029215470852
train,component_04,0.5931994547725284,0.4728201928508156,0.7166986733238588
train,component_05,0.6022452363941488,0.4824615656156314,0.7485726438179136
train,component_06,0.6114714700577761,0.4921409037693853,0.6723208671148434
train,component_07,0.615008809262438,0.4909875816905961,0.6533174996182457
train,component_08,0.6406409041544345,0.5073299373547742,0.6690546339164837
train,component_09,0.6029316921443156,0.4745930167469913,0.7022972822866947
train,component_10,0.598356937345169,0.4729730164717723,0.6881321148234308
train,component_11,0.6411967749576818,0.5150392108766585,0.6336597433537
train,component_12,0.6551575582728252,0.5228443990070177,0.630309820056026
train,component_13,0.6371031180030132,0.5097541838368063,0.6321131911670305
train,component_14,0.6285942428672798,0.49535556089858024,0.6356758754110915
train,component_15,0.641810800590592,0.51425836227512,0.6276328538753831
train,component_16,0.6453226109620228,0.5149191555698679,0.6036769791355323
train,component_17,0.6843016009205857,0.5492397874968449,0.5727646862946741
train,component_18,0.6231140823212966,0.4977005781357483,0.5922274527372422
train,component_19,0.6427327235669107,0.5169988327438971,0.6064363762871823
train,component_20,0.6424637663207418,0.5141804439822525,0.6429028390775251
train,component_21,0.6588620151567137,0.5241120200043621,0.605730133331162
train,component_22,0.621524499747838,0.5011553597862215,0.6353898016479298
train,component_23,0.6090883877600082,0.4864763014005598,0.6431594078777857
train,component_24,0.6227280750898819,0.4989003529090209,0.6490584965917723
train,component_25,0.6666535542856277,0.5336991155730597,0.5764745107430351
train,component_26,0.6029477622614408,0.48135036625802463,0.6135020792419824
train,component_27,0.6807107146149789,0.5432324782748035,0.5243650930426226
train,component_28,0.6743222889524292,0.5371085062386254,0.5319450057421724
train,component_29,0.6418347493521347,0.5128273718029461,0.560805173827773
train,component_30,0.637634966418998,0.5042411986196779,0.539997043896252
train,component_31,0.6066886584404361,0.4914581350561411,0.6366500503494547
train,component_32,0.6301636867056729,0.5027095126616874,0.5578895895884189
train,component_33,0.6729456979564387,0.5374787645386137,0.5348974317657629
train,component_34,0.5936275002273838,0.4704469094538717,0.6238662784640107
train,component_35,0.6298489941472445,0.501283796881972,0.587607310898855
train,component_36,0.6503960694669453,0.514776536258573,0.5230168257202563
train,component_37,0.6442164041116053,0.514445011763279,0.5400294203415646
train,component_38,0.6396825479339007,0.5142565547034692,0.5724073418407869
train,component_39,0.6365152923954281,0.5077426009526873,0.5722728234887047
train,component_40,0.6366141593934714,0.5062864983297026,0.5491750396491961
train,component_41,0.6503622305369599,0.5198058117148188,0.5078701036373425
train,component_42,0.6280035730029856,0.499324527004016,0.5178310232547804
train,component_43,0.6185439481974744,0.4937094080270203,0.5877556838312409
train,component_44,0.6315881006199591,0.5051129707050431,0.5714504878787243
train,component_45,0.6178982408055224,0.4955889825827686,0.5632741594493837
train,component_46,0.6081916975482056,0.4848485832572358,0.5559696155641702
train,component_47,0.6003247736896747,0.4817382802923679,0.5442463007058125
train,component_48,0.6167348147903556,0.4914574816307433,0.5549487062845755
train,component_49,0.6233811655714471,0.495319754220191,0.544960171803698
train,component_50,0.6401644850059339,0.5054082571943593,0.5643786799368541
train,component_51,0.6501755706211874,0.5170778512007913,0.47468741065791026
train,component_52,0.6031122899586561,0.48325530501516256,0.5665003806270653
train,component_53,0.6226978808661991,0.49777306608880667,0.5321022850099141
train,component_54,0.6279077899269312,0.5038679126078124,0.5687859014175602
train,component_55,0.6315206801995634,0.5094433907048224,0.5518028472744863
train,component_56,0.606617701571108,0.4837002475467862,0.5565050523108656
train,component_57,0.6256484863756974,0.5008883227548668,0.5523145024592265
train,component_58,0.6125756176252406,0.48949447200974544,0.5663742261258776
train,component_59,0.6336439315936986,0.5105800385326349,0.5080214081950221
train,component_60,0.6018113267717049,0.4861069810537176,0.5532309104918749
val,overall,0.7046916178296143,0.5613390603871768,0.4602764271639047
val,component_01,0.6098601094204892,0.4939028546508284,0.756395556394816
val,component_02,0.6988346019629298,0.5463298940322898,0.6077883554223845
