target,source,tm_ei,raw_mi_hat,bias_correction,backend
M1,M1,0.24043697223868185,0.24043697223868185,0.0015082962613668371,affine_triangular_transport_map
M1,M2,0.05923213026760041,0.05923213026760041,0.0015082962613668371,affine_triangular_transport_map
M1,M3,0.0023037085243736806,0.0023037085243736806,0.0015082962613668371,affine_triangular_transport_map
M1,M4,0.012634514284250935,0.012634514284250935,0.0015082962613668371,affine_triangular_transport_map
M1,M5,0.012498809495988483,0.012498809495988483,0.0015082962613668371,affine_triangular_transport_map
M1,M6,0.009002592235609399,0.009002592235609399,0.0015082962613668371,affine_triangular_transport_map
M1,M7,0.09695679497885841,0.09695679497885841,0.0015082962613668371,affine_triangular_transport_map
M1,M8,0.14335208416063613,0.14335208416063613,0.0015082962613668371,affine_triangular_transport_map
M2,M1,0.07064907250952869,0.07064907250952869,0.0015082962613668371,affine_triangular_transport_map
M2,M2,0.20648338828041124,0.20648338828041124,0.0015082962613668371,affine_triangular_transport_map
M2,M3,0.0329596393068247,0.0329596393068247,0.0015082962613668371,affine_triangular_transport_map
M2,M4,0.013540117043299523,0.013540117043299523,0.0015082962613668371,affine_triangular_transport_map
M2,M5,0.007356954642234176,0.007356954642234176,0.0015082962613668371,affine_triangular_transport_map
M2,M6,0.0,-0.0007489488023335703,0.0015082962613668371,affine_triangular_transport_map
M2,M7,0.005867398188092255,0.005867398188092255,0.0015082962613668371,affine_triangular_transport_map
M2,M8,0.11362688111350835,0.11362688111350835,0.0015082962613668371,affine_triangular_transport_map
M3,M1,0.13553734040259083,0.13553734040259083,0.0015082962613668371,affine_triangular_transport_map
M3,M2,0.12327007240587756,0.12327007240587756,0.0015082962613668371,affine_triangular_transport_map
M3,M3,0.2496012427657607,0.2496012427657607,0.0015082962613668371,affine_triangular_transport_map
M3,M4,0.04635561895229823,0.04635561895229823,0.0015082962613668371,affine_triangular_transport_map
M3,M5,0.014885047762712107,0.014885047762712107,0.0015082962613668371,affine_triangular_transport_map
M3,M6,0.006878033509204874,0.006878033509204874,0.0015082962613668371,affine_triangular_transport_map
M3,M7,0.0135332662957737,0.0135332662957737,0.0015082962613668371,affine_triangular_transport_map
M3,M8,0.024443537584771677,0.024443537584771677,0.0015082962613668371,affine_triangular_transport_map
M4,M1,0.020949490480915874,0.020949490480915874,0.0015082962613668371,affine_triangular_transport_map
M4,M2,0.08830000269091201,0.08830000269091201,0.0015082962613668371,affine_triangular_transport_map
M4,M3,0.09411668097522187,0.09411668097522187,0.0015082962613668371,affine_triangular_transport_map
M4,M4,0.30106408218118436,0.30106408218118436,0.0015082962613668371,affine_triangular_transport_map
M4,M5,0.037191878220636534,0.037191878220636534,0.0015082962613668371,affine_triangular_transport_map
M4,M6,0.017780652900616874,0.017780652900616874,0.0015082962613668371,affine_triangular_transport_map
M4,M7,0.008935684062039794,0.008935684062039794,0.0015082962613668371,affine_triangular_transport_map
M4,M8,0.006481364321827785,0.006481364321827785,0.0015082962613668371,affine_triangular_transport_map
M5,M1,0.028621346535340306,0.028621346535340306,0.0015082962613668371,affine_triangular_transport_map
M5,M2,0.0005756786863073928,0.0005756786863073928,0.0015082962613668371,affine_triangular_transport_map
M5,M3,0.11294569465075914,0.11294569465075914,0.0015082962613668371,affine_triangular_transport_map
M5,M4,0.1301344452555393,0.1301344452555393,0.0015082962613668371,affine_triangular_transport_map
M5,M5,0.30528405989160656,0.30528405989160656,0.0015082962613668371,affine_triangular_transport_map
M5,M6,0.052399291165588016,0.052399291165588016,0.0015082962613668371,affine_triangular_transport_map
M5,M7,0.0026702353613842485,0.0026702353613842485,0.0015082962613668371,affine_triangular_transport_map
M5,M8,0.004884961273722898,0.004884961273722898,0.0015082962613668371,affine_triangular_transport_map
M6,M1,0.019599720152319974,0.019599720152319974,0.0015082962613668371,affine_triangular_transport_map
M6,M2,0.00029943009326146224,0.00029943009326146224,0.0015082962613668371,affine_triangular_transport_map
M6,M3,0.012835023752451572,0.012835023752451572,0.0015082962613668371,affine_triangular_transport_map
M6,M4,0.11989665860286977,0.11989665860286977,0.0015082962613668371,affine_triangular_transport_map
M6,M5,0.09307182749743252,0.09307182749743252,0.0015082962613668371,affine_triangular_transport_map
M6,M6,0.2844029142182785,0.2844029142182785,0.0015082962613668371,affine_triangular_transport_map
M6,M7,0.06899210957587516,0.06899210957587516,0.0015082962613668371,affine_triangular_transport_map
M6,M8,0.003226005013969273,0.003226005013969273,0.0015082962613668371,affine_triangular_transport_map
M7,M1,0.0022438870540286465,0.0022438870540286465,0.0015082962613668371,affine_triangular_transport_map
M7,M2,0.0,-0.0005985978558886104,0.0015082962613668371,affine_triangular_transport_map
M7,M3,0.013566041951228736,0.013566041951228736,0.0015082962613668371,affine_triangular_transport_map
M7,M4,0.013056908158421142,0.013056908158421142,0.0015082962613668371,affine_triangular_transport_map
M7,M5,0.0567311722908814,0.0567311722908814,0.0015082962613668371,affine_triangular_transport_map
M7,M6,0.10957238935909865,0.10957238935909865,0.0015082962613668371,affine_triangular_transport_map
M7,M7,0.218032898074536,0.218032898074536,0.0015082962613668371,affine_triangular_transport_map
M7,M8,0.09521892160811876,0.09521892160811876,0.0015082962613668371,affine_triangular_transport_map
M8,M1,0.04517029577043662,0.04517029577043662,0.0015082962613668371,affine_triangular_transport_map
M8,M2,0.0,-0.0007178739943751681,0.0015082962613668371,affine_triangular_transport_map
M8,M3,0.003999441895447681,0.003999441895447681,0.0015082962613668371,affine_triangular_transport_map
M8,M4,0.012533079084289632,0.012533079084289632,0.0015082962613668371,affine_triangular_transport_map
M8,M5,0.011433713169578474,0.011433713169578474,0.0015082962613668371,affine_triangular_transport_map
M8,M6,0.12510794676663128,0.12510794676663128,0.0015082962613668371,affine_triangular_transport_map
M8,M7,0.12659589493618448,0.12659589493618448,0.0015082962613668371,affine_triangular_transport_map
M8,M8,0.25250068659025554,0.25250068659025554,0.0015082962613668371,affine_triangular_transport_map
