model,horizon,component,rmse,mae,corr
RNN,1,overall,0.7306189434917286,0.5841578787339969,0.41757734580117356
RNN,1,component_01,0.6100612588286844,0.4894667152159148,0.7024490853643881
RNN,1,component_02,0.7051954499408953,0.5486626669092866,0.6258394723960035
RNN,1,component_03,0.7009390312598733,0.5654833290517365,0.5568898460370697
RNN,1,component_04,0.6802057819028409,0.5445280472127091,0.49029982108305176
RNN,1,component_05,0.6922622948841551,0.5493026896469556,0.44068714506521306
RNN,1,component_06,0.6753841763304392,0.5419000888193508,0.6464462548714346
RNN,1,component_07,0.7439424768085077,0.6006863124107235,0.4525478531954515
RNN,1,component_08,0.7538400657152051,0.6044086100133659,0.4915277751776927
RNN,1,component_09,0.6881234608227094,0.55305726637438,0.5708018477476174
RNN,1,component_10,0.7604612295838697,0.6157140404868753,0.3891520805652807
RNN,1,component_11,0.799276964345017,0.6410495448682162,0.5157315276260032
RNN,1,component_12,0.715235029835682,0.5713157494490172,0.4557809493689809
RNN,1,component_13,0.76008034691476,0.6012245652225806,0.37351751485054324
RNN,1,component_14,0.7283824107995283,0.5745016201030352,0.47160493283642946
RNN,1,component_15,0.7482119721709494,0.5989081897483356,0.4533421341425174
RNN,1,component_16,0.7457480442348996,0.5936076638483571,0.457824151468885
RNN,1,component_17,0.761081221808994,0.6079011902094092,0.32032011995033194
RNN,1,component_18,0.7510655180074559,0.5948545760847549,0.35692211439398386
RNN,1,component_19,0.741600618543465,0.5996204187854238,0.3788132471910551
RNN,1,component_20,0.7028621577871281,0.5523223872956001,0.4226940829217125
RNN,1,component_21,0.7415503926615602,0.5948323229041711,0.3746736357455071
RNN,1,component_22,0.742370782004931,0.6031890479457543,0.5017991094835997
RNN,1,component_23,0.7390274245829893,0.6026329910863537,0.45588224159065766
RNN,1,component_24,0.7671407194458285,0.6242421874362487,0.2669282262907308
RNN,1,component_25,0.6779381487527097,0.54906109867278,0.4189946113691919
RNN,1,component_26,0.7692948456644141,0.6135212687789635,0.30741864749259157
RNN,1,component_27,0.7723077177039595,0.6136911080437824,0.2567871198835703
RNN,1,component_28,0.6891796020785411,0.5482192743700547,0.3637195087438538
RNN,1,component_29,0.6668916054069088,0.5413233502016065,0.4738451274153558
RNN,1,component_30,0.8085925826350765,0.6425848061572368,0.45061877228675123
RNN,1,component_31,0.7598388785137953,0.6144549225076751,0.2986869037021339
RNN,1,component_32,0.789727586661002,0.6364029514835585,0.2576363605890975
RNN,1,component_33,0.7633589863062834,0.6134975973341282,0.31294847495554146
RNN,1,component_34,0.7415994993043664,0.6005256139565412,0.42026489024371755
RNN,1,component_35,0.8184248348861243,0.6590229093756017,0.23920387602638776
RNN,1,component_36,0.650891981763272,0.5208796109784655,0.3919216585552881
RNN,1,component_37,0.7376277009813227,0.5880646498593571,0.35920467840886905
RNN,1,component_38,0.7418198772978541,0.582627828947985,0.25906185950760396
RNN,1,component_39,0.7215221790247396,0.5837230296589858,0.27469990066198063
RNN,1,component_40,0.7168002064067711,0.5773628119613791,0.27663822566249247
RNN,1,component_41,0.7467117871308022,0.6013976649013484,0.25394325305817045
RNN,1,component_42,0.8040039421728161,0.6481165313651096,0.2273966953194502
RNN,1,component_43,0.6816470472801224,0.549163863890695,0.3285782446199616
RNN,1,component_44,0.6896533340460413,0.5513574298982931,0.34709837512194486
RNN,1,component_45,0.7105683838522721,0.5702684694045381,0.3999305084275294
RNN,1,component_46,0.7462147639170926,0.6049952876837358,0.2979809286335202
RNN,1,component_47,0.7220995173867081,0.566963211561744,0.2252448760817535
RNN,1,component_48,0.7102205725564759,0.5692446299896945,0.3508974688285789
RNN,1,component_49,0.6950298792116241,0.545650273948349,0.2291818534907292
RNN,1,component_50,0.6923869942980344,0.5608770826868819,0.52769066474971
RNN,1,component_51,0.7083613617346733,0.5626423703578114,0.2697460415807783
RNN,1,component_52,0.728276681458763,0.583971812036337,0.3384075285585649
RNN,1,component_53,0.7092948923747829,0.5628599206546469,0.23662112982384706
RNN,1,component_54,0.7280949134124437,0.5826494627881221,0.2975075027494498
RNN,1,component_55,0.7476046377413258,0.5983469109328581,0.25415320887902887
RNN,1,component_56,0.7277247335661615,0.5925409175448636,0.321937106002166
RNN,1,component_57,0.7531095727592815,0.5981900446405135,0.21155393753177684
RNN,1,component_58,0.7351487528403706,0.5828986450415249,0.29386719344891016
RNN,1,component_59,0.7351855198909347,0.5848465110836061,0.26827523591317953
RNN,1,component_60,0.7242392696334159,0.5741166302124906,0.36648976467841654
RNN,2,overall,0.7741037218087161,0.6187122564035571,0.27536501628114934
RNN,2,component_01,0.6830944052368821,0.5436806319803197,0.6009205067157661
RNN,2,component_02,0.7733070444277329,0.5994798387942106,0.5155207620553762
