time,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
1948-01-01,1.0975607759063561,-0.4645812107463833,-0.7334382282859497,-0.2527979267350524,0.23258554925959207,-0.9766204156778135,0.23478832111611805,-1.0692405529023412,-1.3716618024075793,-0.1815276285996681,-0.21329600227501375,1.0520293831411225,-1.194699689498994,-0.3606488422195438,-0.1984379126726339,0.5577912293624746,-0.6700882311415814,-0.5533645192297204,-0.40243718345704005,0.11075546305005193,-0.15270533404743344,1.0270867561296881,0.015044462349234764,-0.4545268714368141,-0.5654177348192712,0.5915713509562054,0.9657144543698177,-0.524101531805995,0.9580277268008955,-0.6646971197738737,-0.41517078168939187,0.13755609588797454,0.07002281577491275,0.30452551506705755,-1.0581872481944954,0.44766364322596813,-0.12089816282520043,0.42208870827412276,0.19340124214558202,-0.8039194006129555,1.3034874375952799,0.07625500269595557,1.1283248740491358,-0.1790192255488636,0.31417293175054173,-0.5815799933923006,-1.0780435473134087,0.08632522836873964,0.12914609044865918,-0.5892861758510798,-0.597508429376402,-0.5989016593775308,-0.0689653122645452,-0.3309360208819881,0.1417637385297626,0.8476237482338477,-0.03813570324685199,-0.7059545899123417,-0.46099243066973455,0.6210822595245294
1948-01-08,0.1437232108312081,0.45585925376053676,0.16670923657688305,0.12095270391752826,-0.06022355788850945,0.3022224261492316,0.034452499585252365,-0.19402231904362435,0.8962391657194578,-0.5816950515934679,0.1249309788637827,0.7351762753796949,0.26916404069554106,-0.26993082334233715,-0.6432777543074649,-0.024297449674526787,-1.1109262937605646,-0.824674145409663,-0.43594078740754305,0.8544191322609311,0.23723579692579366,0.48856768602010386,-0.15349402436845386,0.19004849156184347,-0.1777403083061015,-0.45894424650727056,0.8656605641445412,-0.8401392986965358,1.1082747123561458,-0.34856073155286416,-0.7509711975825527,0.8151170634221511,-0.1709664891571258,0.6983893683846364,-0.4056425017640485,0.6099001396059595,0.10478377185266925,-0.6583771490776847,0.7049352213814942,-0.5753647563687557,0.1861423367573882,-0.1231401225303571,0.35389362635273,0.5581165335146,-0.3225308878099951,-0.3162584712190074,-0.26079853282125015,-0.02822267220956936,-0.20591490768716153,-0.35983911351073106,-0.5496970928822055,0.07510425934525936,0.6483794773161541,0.2371437644490142,0.4246071409938546,0.871516327581336,0.2689530854858721,0.6015230023878957,-0.21684693736275648,0.5804682340503282
1948-01-15,0.08430740816510537,-0.11720271469614359,1.3938597307801677,0.8858085316864034,-1.1434191496136863,0.17563113578943915,-0.5024382129576741,0.44153436055643264,0.14727597405554382,-0.3818963057410597,-0.20417893261727868,0.38560823641960956,-0.3042881598150367,0.317738147349114,0.002434123693162419,-1.6422019677154076,-0.0033353857078483834,0.4685486189009599,0.1833424260853013,1.0918155082667227,0.8763209955700292,-1.0165095306401946,-0.14083425174573114,0.4551500161771621,0.9104921266526512,-0.8640372999056477,0.5581604612703596,0.7779136484999704,1.3256784484827282,-0.9113252601084705,0.11416027945083637,0.44456226105973595,-0.04043324297902871,0.4541756834847499,-0.5885494832869533,0.2772468070028547,0.6512774944100349,-0.6115875003481381,0.29955525746991263,-0.8679248498838147,0.45996554228078396,0.1748486906471701,0.9361936027309298,-1.3989974537431298,-0.5269381122965565,-0.29520905589249086,1.0732500304180956,-1.112390105038785,-0.17440392748665828,0.4001008669545852,0.015415912846239293,0.39665377871917007,0.21541453958174264,-0.009433321840485842,-0.5497510249222988,1.024059962086967,-0.056887192129618507,-1.0680772213841352,-0.1511132137619229,0.3537206533659075
1948-01-22,0.6808557893648477,0.36363177011546427,0.5150504088033658,1.3796853221265037,-0.3863796949810098,-0.6031523744386861,0.3183711059162757,-0.6435751300188535,0.5604252995208437,0.8645575073822797,0.0651133091371662,0.7323104737936219,-0.27336886249502934,-0.40263498367699874,0.8024390009265262,-1.2100720033423582,0.4988553769625818,0.2803733761983,0.5431446455163902,0.4469986200573325,0.1744365119319471,-0.8181412942465397,-0.332420945761442,-0.08004207083918938,0.5218659807469066,-0.7595775257541496,2.515351225122061,0.03175460202115065,-0.06302149649482384,-1.0316063313258916,-0.6002248243017506,0.097875025798285,1.5589191765189174,0.16584336941453717,0.21483143851301797,0.3467403126505259,0.675044101716009,-1.0806307138512863,0.21827339989657976,0.18403969056917566,1.9029032830340924,0.9858741466145814,0.636793028940909,-0.17716836859321491,0.6038306342304064,-0.9568187431204142,-0.8418260726229285,-0.30274400949953634,0.764877383043199,0.44727679850715524,-0.9547450420667352,0.007327409720315584,0.07392596214347298,0.5448976140611611,0.2864840395908586,0.4509230868065012,0.2851961840731011,-0.40529373455781326,0.32816043268124906,-0.5553312065207832
1948-01-29,0.8671132060991246,0.2352717329093649,-0.8624521281741852,1.226496693271643,1.0338075196890366,0.06335931744236903,1.0848352957534346,-0.8890041345854617,0.6436413703418474,0.09294704915661749,0.5375103169977345,0.019642295684056763,0.7190076527002163,0.6080584673660087,0.7188188736783839,0.970087403834878,0.07795409495781615,-0.09392645717082157,-0.2280261562975308,0.28984699337014774,0.25752969539127657,0.6010634357429191,0.2034285914562426,-0.2299139084971312,0.28676764133668736,-1.0583034160499822,1.4082641441253145,-0.6919222534870123,0.9381715810443271,-1.1311235125710783,-0.5296134553095181,0.46567168976090156,0.47320522569106294,0.5148553426576301,-0.9626719483809849,0.3771264804721231,0.2597744224334867,-0.4442248062286464,0.7481818063342122,0.8983619458003923,0.7038860423834443,0.48751677865546333,0.5778152280232414,-0.23845430794909808,0.140199661746694,-0.4681657376006009,-1.0072660739181278,-0.5353347571168616,0.09415354466871668,-0.528188879701855,-1.2093624041711482,0.007175556725711364,-0.8657623916346961,0.49175908441410393,-0.10885193378040771,0.8940370906037597,-0.6274800521230688,0.29413804824900475,0.14267729399265433,-0.4888392020885635
1948-02-05,0.7917650619809375,0.0025533751134036047,-0.17079599146522426,1.2648545300996095,0.19254758324917393,0.20158075895724187,-0.04177331108801534,-0.9892020730276042,-0.1715001109725951,0.36911416612497927,0.193649399608681,0.1165672925278717,0.9905520425967339,0.03499226492375495,-0.5747562946573407,0.6894962309464429,-0.21053821884133778,0.03295551205915965,0.4111311124096118,0.3233976144550468,0.5005254850766724,-0.2577625128385012,0.7448433854583291,-0.20937758851151902,0.8494799026918922,-0.6851023456707904,0.1647349707194171,0.12402799466867956,0.5150436636131286,-1.1431289129523023,-0.96507423844901,0.589907298704094,0.014787434208099772,0.5614034407675551,-1.0278163093252084,0.0006794546456809451,0.8550189621567721,-0.13708254060275743,0.5961715886679771,-1.2345964861607395,0.5365800777466374,0.43564298574458427,-0.022670707688731806,0.18059662991777098,0.26111943024219236,-0.6067726228733662,-0.023553742099594915,-0.910415245871831,-0.9215638836790842,0.06955707966747246,-0.6693548371894329,-0.21332336096438587,-0.12263691703042674,1.2547142159670908,0.0827321439570399,1.0803919960708381,0.10708720843952209,-0.5799719120811427,0.11513925423956818,0.009739637755488235
1948-02-12,0.8926821082360874,-0.5081037335781888,-0.19638283924417482,1.8063920422675428,0.5539607204852592,-0.15485913458667802,-0.1364210246318888,-0.9037742714524372,0.5085858629495132,-0.4201838998665098,0.11825688229973359,-0.02569767137497295,0.45750099696419433,0.5054190593803265,0.9051387987582439,0.15475541212631141,0.16449932020851277,-0.03661515716504905,0.013185785612371242,0.06313259737693049,-0.40736467405413695,0.203170786727495,-0.5033737656192266,-0.20427457371320754,1.0964438490466735,-0.08924207774982654,0.32479476135867913,0.4836405920646446,-0.43950572287045414,-1.228698361705073,-0.6056381001578132,0.21766978984507832,1.061660900372101,-0.7928258379036256,0.30681878362652054,0.5159094142194329,0.8878633854377231,0.08233806379486161,0.3887018973806513,-1.893330881005581,-0.689509444838798,-0.3373821378180894,-0.9096796246404394,0.36018510554836297,-0.8370879620951113,-0.6585546196464032,-1.0283760067589907,0.5769263662008044,-1.104030312014708,0.8533788239296217,-0.45249596700772,-0.31266269521082435,-0.40909682837264655,1.5042226336707036,-0.6268899953778119,1.7624268683502802,-0.4617468612860037,-0.36580779016401493,0.34467244257766744,-0.3721871554467276
1948-02-19,1.3031346554059486,-0.18292293220224914,0.2493639806725671,1.8151013668636338,1.7298289624407495,-0.8434106900245039,-0.5359212652251909,0.1717440602502298,-0.008694558532512855,-0.14652677186690205,0.6133939529432364,-1.0164942786186324,0.29775533815098093,-0.1306219294680366,-0.11617052093280332,-1.061781990015009,-0.9566898409583552,-0.38617747208453373,0.5018099537718229,-0.5723378010829244,-2.014943137696878,-0.7861434221022475,-0.12863893314705493,-0.017219868351022263,-0.03068804647691167,-0.23756479547888937,-0.6817544836492324,-0.4449900937351287,-0.7845163279433868,-0.7297021212623933,-0.37271330376519396,-0.7536102339904124,0.002440051365516338,-0.7046868421555701,-0.2897304658138311,-0.3332938607665189,1.0006330049483279,0.43139855608149,0.5317698170672475,-0.3582380195059972,-0.11520633124372948,-0.7513943398651467,0.8177638954022752,0.3621109404037543,0.10757986487943046,-0.454516576588978,-0.3802631363364483,-1.545519817761989,-0.4464035757387439,-0.5352620492710779,-0.5589215188456148,-0.9973786342401915,-0.1726453956776139,-0.4428496867279551,-0.5193550148847008,1.0500161489503153,-0.9298430528501027,-0.8758249510438415,0.4522899349642616,0.35719276642060527
1948-02-26,1.0175009945504097,-0.2663743745458776,0.019495248903285512,0.9302400600659365,1.3713950393895415,0.012540853309415723,1.3169525852837263,-0.30755728132040455,0.12171222905084593,-0.13052681712697894,1.2301355058360752,-1.0092874569621897,1.0278958360240373,-0.4114941575078518,0.35297269024990113,0.30941863816424586,-1.3115127864261595,-0.1924097876482614,-0.06595149016493025,0.9125352184140814,-0.9022112422496246,-0.05726311386204382,0.6451850128378054,-0.02933683064564164,0.49733234389575715,-0.3203645331916515,-0.3100057266222326,-0.3820248128762029,-1.7448774784695453,-0.2577858855397463,0.24680378751881063,0.11630989083274837,1.085715043107924,0.46998630100785727,-0.05266866108467811,0.22679681090052178,0.7244401165215272,0.26200702044735874,-0.13763530929112602,0.07771739875213861,0.043670628994620854,-0.22392695008316063,-0.07198294980841617,0.12490913988762621,0.4886028767366293,-0.47236685292052444,-0.3722574854196906,-0.8264196019824499,-1.0399635471713702,-0.07994907192923505,-0.4739192493931896,-0.28494096915982814,0.22206413855831106,0.09211974764109046,-0.7105193685387156,0.6836192498184116,-1.0779894061057151,-0.5183082877136103,-1.0379710928477395,0.6330581978153692
1948-03-04,-0.03097731330479441,0.18687134535667688,0.35217638206810015,1.4184621890674889,-0.1488865230320567,-0.16798064416678113,0.5769775055190716,-0.3420385107043673,0.5379627225445195,-1.1981050233013988,0.04632032873205959,0.6751093484901778,0.8132314404689,-1.198817925767196,-0.12452124835017579,2.0746548390204507,-2.4046238088832466,0.29916909226359595,-0.05720340018651685,0.135559081331728,0.04477652720878266,-0.6477678195805808,-0.27255183999595795,-0.30925311866270516,0.4744925898086456,-0.6990355095585965,-0.2402053410806609,0.35428316774905755,-0.49652111954175543,-0.6741969513732514,0.44473922185733855,0.4218027613279169,0.851002680250717,0.6879507894946278,-1.3764945946325255,0.7889425100701075,1.097739740490945,-1.1612241933262344,-0.34377615005082124,-0.7015728675410317,-0.4886442605672615,-0.6438608828049489,-0.35220290136878457,0.34014578824445135,0.3603058424050475,-0.1583364924660949,-0.6255957904705793,-0.8508294942796228,-0.6286415104779117,-1.0319890336577215,-0.8498152096499071,-0.10694980115064139,0.38264316668262915,-0.6604591542534305,-0.2119212360309826,0.6607216013216952,-0.35716929294655214,-0.6547713705070025,0.14991441555564938,-0.9460814265919757
