source,target,total_effect
0,1,-0.3397544063056954
0,2,0.16859707865803636
0,3,-0.03245776980511017
0,4,-0.17309000271495964
0,5,0.22635979583640298
0,6,-0.007012702914695815
0,7,-0.15965714448883736
0,8,0.0039062472176464727
0,9,0.01834546793233721
0,10,-0.05052797265257104
0,11,0.4086860425584346
0,12,0.011370541393423916
0,13,-0.09014135532161428
0,14,0.20491352778283564
0,15,-0.03652991820901697
0,16,-0.03401769134797123
0,17,0.02496833918211436
0,18,-0.2642441245757372
0,19,0.3588906793897772
0,20,-0.1433730119471988
0,21,0.11571237476302652
0,22,0.0806814148494764
0,23,-0.02298082747068563
0,24,0.0015562164421833158
0,25,-0.047675391832725
0,26,0.003034454899629054
0,27,-0.05355400547291772
0,28,0.008996327855304997
0,29,-0.18972252293734718
0,30,0.2533059107151641
0,31,0.015037921833185948
0,32,-0.03376555975975676
0,33,0.014652658847609808
0,34,0.0070686356993168034
0,35,-0.1108503031590356
0,36,0.041334090912245255
0,37,-0.01029604864524072
0,38,0.022784230380744216
0,39,0.06582646828318495
0,40,-0.07662480520601762
0,41,0.11551312539912602
0,42,0.08746910659705552
0,43,-0.0604312480762997
0,44,-0.017953639974744685
0,45,-0.0031624040094556374
0,46,-0.052864144797269204
0,47,-0.0358192893225486
0,48,0.017764198029778196
0,49,0.056840186239815835
0,50,-0.08396564599844977
0,51,0.03450205621310805
0,52,0.0812453861704873
0,53,-0.023864870072707864
0,54,-0.11953539940849947
0,55,-0.030786831337920484
0,56,0.11187967017784113
0,57,0.12587529965988103
0,58,-0.05394005422009115
0,59,0.14026037346666606
1,0,0.5393476553770042
1,2,-0.012661726976574902
1,3,-0.0501621980273091
1,4,-0.054473292291670104
1,5,0.0864548423072518
1,6,0.14649691962026584
1,7,0.1338273272675034
1,8,-0.049928400702553055
1,9,0.14978853340693202
1,10,0.06426128425241083
1,11,0.14453994747426666
1,12,-0.02271959776714122
1,13,-0.09684701521205874
1,14,0.02067554167771037
1,15,0.012714282359849923
1,16,-0.050392199063036304
1,17,0.3275713797484113
1,18,-0.04789305059335975
1,19,0.07355113716361544
1,20,-0.18242138389704826
1,21,-0.0020385218122924626
1,22,0.030033932518415223
1,23,-0.0483969190171105
1,24,0.1823555632433077
1,25,0.1155512909148398
1,26,0.023703091318184908
1,27,-0.024684347196899853
1,28,0.020082665842648374
1,29,-0.07513713570825764
1,30,0.0917254586919306
1,31,0.009202425007469267
1,32,-0.02066764411119821
1,33,-0.015616375144903633
1,34,-0.034213767732939375
1,35,0.006870483859249867
1,36,0.4503458204492135
1,37,0.0167224876338929
1,38,-0.11078344326430109
1,39,0.0038040542698840963
1,40,0.054795793573798296
1,41,0.15784612592647226
1,42,0.08750450659850058
1,43,0.08821587496302224
1,44,0.07737146251787069
1,45,0.003940092218346307
1,46,0.07872762591795045
1,47,0.06458307465228193
1,48,0.12765853436377145
1,49,-0.09514560920366225
1,50,0.04671228416777536
1,51,0.15276428889942262
1,52,-0.11978447467730848
1,53,-0.04413557821669447
1,54,-0.4988251520027785
1,55,0.0398917769994478
1,56,0.09400303290855183
1,57,-0.4256271992491426
1,58,-0.06646060276217318
1,59,0.21879219419262408
2,0,-0.41094457580559374
2,1,-0.4563772917556661
2,3,0.05045644250610209
2,4,-0.15977999530674683
2,5,-0.16010868022867952
2,6,0.023599046276964793
2,7,0.01729595662084183
2,8,0.09458567314980021
2,9,0.26083930022079344
2,10,-0.16878889949055095
2,11,0.10131090058995214
2,12,0.05286280179529822
2,13,-0.011937753784669937
2,14,0.16233748503216
2,15,-0.24677532688383347
2,16,-0.06782278699879676
2,17,-0.09097558501611726
2,18,-0.10144084480836643
2,19,0.11617015463841766
2,20,-0.32764994676000564
2,21,0.045128081001578786
2,22,-0.1530150616041958
2,23,0.00566833918150484
2,24,-0.10141077527584187
2,25,-0.04578858240608977
2,26,0.05220625131186407
2,27,-0.0005645023664776541
2,28,0.03762507494114547
2,29,0.02229436462132267
2,30,0.23867280967755972
2,31,0.0012231271140983556
2,32,0.035331685164711815
2,33,-0.013514780251254912
2,34,-0.0932859501495736
2,35,0.1493961243121168
2,36,-0.43287570769870465
2,37,-0.009864912383199947
2,38,0.31064138511227796
2,39,-0.1487526925453448
2,40,0.08833955269350187
2,41,0.1164006364750123
2,42,0.34671312528591064
2,43,-0.18027485570084845
2,44,0.04108982052597884
2,45,0.0020852443384371815
2,46,-0.13204083642548742
2,47,-0.0011174607952834793
2,48,0.14145441072769155
2,49,0.3546821086800184
2,50,0.0015186669369536287
2,51,-0.04155648176727914
2,52,0.12742048187067198
2,53,0.022534270776330658
2,54,0.40227220653684137
2,55,-0.02205610942168096
2,56,-0.034154915494278466
2,57,0.4153930516151007
2,58,-0.05130747880180406
2,59,-0.28878236285203884
3,0,-0.0038521291605514174
3,1,0.00816180434985027
3,2,-0.036767700696591465
3,4,0.02960022347733066
3,5,0.05373750378219722
3,6,-0.07341157556269116
3,7,0.00044323210075838184
3,8,0.14966167571844358
3,9,-0.14872563291759236
3,10,-0.011500810518255886
3,11,-0.06493216085684216
3,12,-0.005567197178092641
3,13,-0.04901530013175194
3,14,0.05710363683816217
3,15,-0.020277539598325782
3,16,-0.16789616496207127
3,17,0.026913990935068223
3,18,-0.010419313811429888
3,19,-0.0318673444029169
3,20,0.023594234533750074
3,21,-0.016857724134057006
3,22,0.014868322248572517
3,23,-0.10144531556157012
3,24,0.054777591434853105
3,25,0.03690817049244292
3,26,-0.01757645873562394
3,27,-0.04386391745275541
3,28,0.04970706875779565
3,29,-0.4109711643596476
3,30,0.019378548694985155
3,31,0.016716038644029582
3,32,-0.04189979554434016
3,33,0.08327973227488171
3,34,-0.189136515736769
3,35,0.0015602524474665506
3,36,0.047495627255423736
3,37,0.00887963321541102
3,38,-0.0339342216547032
3,39,-0.06570718739836265
3,40,-0.06990292888503391
3,41,-0.18381779078165225
3,42,0.00397188520810998
3,43,-0.010098754255315935
3,44,0.025694992675522225
3,45,-0.4055914276012799
3,46,0.007414250337146552
3,47,-0.0029232727749558683
3,48,0.039736033363893426
3,49,0.008247434872096704
3,50,-0.0287521216505488
3,51,0.03072360344867572
3,52,0.0037229847817674268
3,53,0.2749300712171222
3,54,-0.01924837032274337
3,55,0.0006497607972414643
3,56,-0.042760276413572315
3,57,-0.023099030679407412
3,58,-0.05796536530919177
3,59,0.028089409593882463
4,0,-0.04800117086269905
4,1,-0.2723736795554399
4,2,-0.0629627915626279
4,3,0.05450498542214397
4,5,0.3470334278471073
4,6,0.0002647500784343746
4,7,-0.0041372035780788885
4,8,-0.09947478629290847
4,9,-0.0820866071358788
4,10,-0.0599494571896373
4,11,-0.43832596822467773
4,12,-0.01103072070026863
4,13,0.06971985058622206
4,14,-0.07917122034148556
4,15,0.04847128774873005
4,16,0.15863911244854095
4,17,-0.10376675122712127
4,18,0.2601614797500264
4,19,0.02522633237683593
4,20,-0.04998531638125652
4,21,-0.03683959763838266
4,22,0.006895946299544501
4,23,0.32810134807278873
