component,amce,mediated_fraction
57,14.538228993323964,0.07290837712335584
1,13.718446454647081,0.06879721512993542
2,13.315837880859497,0.0667781564299878
0,13.19289154188307,0.06616158765451001
9,9.30456557362725,0.046661857927985974
4,7.363422748319914,0.036927138986442745
7,4.4210751145076665,0.022171435866584977
18,4.1675322008323645,0.020899932826174625
49,4.063637241475672,0.020378905617050882
11,4.045472069253802,0.02028780832951531
58,4.015124893313129,0.02013561899826132
38,3.972343422864349,0.01992107239957975
56,3.7210532902774243,0.018660866925966784
30,3.605646547211696,0.018082108787690232
54,3.441986217279902,0.01726136170355231
14,3.340420388227822,0.016752014948127298
21,3.3365587120389533,0.01673264886550227
16,3.131010807941357,0.01570183802081516
8,3.1052815598230783,0.0155728073303666
46,3.0746791053830402,0.015419337792210393
13,2.999523884075447,0.0150424387063314
27,2.9889332105990256,0.014989327091693616
5,2.9593106256204207,0.014840771542184763
52,2.9179207969826355,0.014633203946655732
36,2.8354096383466083,0.014219415260737868
42,2.8068025422951335,0.01407595232943566
40,2.7007560170581013,0.013544135141925859
59,2.696317282756068,0.01352187514625571
41,2.5283295836785564,0.012679426556262235
20,2.5147827466139887,0.012611489952293092
35,2.4687277405857087,0.012380526762108773
24,2.4620674997484664,0.012347126039715625
32,2.3890413970543354,0.011980904360478248
45,2.281572673560743,0.011441954931009602
29,2.2608513924566793,0.01133803890534321
23,2.155863509671752,0.010811530748470653
44,2.1432705203882856,0.010748377635927788
19,2.1104679730057865,0.01058387475897708
12,2.0855316135711277,0.010458820359395085
43,2.0342910553025546,0.010201851924796074
39,1.9680444624421776,0.009869629095067658
34,1.9082395650332815,0.00956971099526928
48,1.8856287725802168,0.009456319179527283
17,1.872986061867569,0.009392916716894283
33,1.8252718668625063,0.009153632790003056
3,1.617277372331374,0.008110552435867679
53,1.5321372061836762,0.007683579429410564
10,1.405460596015563,0.007048303559764664
25,1.3801186345706615,0.00692121508957212
6,1.319647842020619,0.006617957564173994
50,1.242810373567583,0.006232622106206561
22,1.1306818540516415,0.005670304069332476
15,1.0911435350821812,0.005472021687649488
26,1.0808011559048343,0.005420155254553613
47,1.0108022589410723,0.005069114836879876
28,0.9215925763368223,0.004621733440882311
51,0.9111564307151926,0.0045693967744943045
55,0.7289096144190305,0.0036554395367762063
31,0.7232620832581697,0.0036271174948080257
37,0.6331367530870087,0.0031751441792478323
