source,mediator,target,amce,abs_amce
0,1,2,0.0018703058432133941,0.0018703058432133941
0,1,3,0.00740962526300518,0.00740962526300518
0,1,4,0.008046431348635946,0.008046431348635946
0,1,5,-0.012770532569569424,0.012770532569569424
0,1,6,-0.021639547692463644,0.021639547692463644
0,1,7,-0.019768080028349372,0.019768080028349372
0,1,8,0.007375090281842826,0.007375090281842826
0,1,9,-0.02212576292283413,0.02212576292283413
0,1,10,-0.009492248225857158,0.009492248225857158
0,1,11,-0.02135047682192287,0.02135047682192287
0,1,12,0.0033559874208278647,0.0033559874208278647
0,1,13,0.014305595025386338,0.014305595025386338
0,1,14,-0.0030540530910961243,0.0030540530910961243
0,1,15,-0.0018780689738363684,0.0018780689738363684
0,1,16,0.0074435994816770545,0.0074435994816770545
0,1,17,-0.048386659003656414,0.048386659003656414
0,1,18,0.007074441941434604,0.007074441941434604
0,1,19,-0.010864483325742323,0.010864483325742323
0,1,20,0.02694606990507199,0.02694606990507199
0,1,21,0.00030111684323175204,0.00030111684323175204
0,1,22,-0.004436412156713863,0.004436412156713863
0,1,23,0.007148870023709259,0.007148870023709259
0,1,24,-0.02693634731718782,0.02693634731718782
0,1,25,-0.017068465856885567,0.017068465856885567
0,1,26,-0.0035012625273502834,0.0035012625273502834
0,1,27,0.0036462070998437035,0.0036462070998437035
0,1,28,-0.0029664774277866927,0.0029664774277866927
0,1,29,0.011098756450637537,0.011098756450637537
0,1,30,-0.013549072861888032,0.013549072861888032
0,1,31,-0.0013593208331726828,0.0013593208331726828
0,1,32,0.003052886515255231,0.003052886515255231
0,1,33,0.0023067467603243574,0.0023067467603243574
0,1,34,0.0050538295311254805,0.0050538295311254805
0,1,35,-0.0010148620430239555,0.0010148620430239555
0,1,36,-0.06652208036164263,0.06652208036164263
0,1,37,-0.0024701343183751124,0.0024701343183751124
0,1,38,0.016364191208028307,0.016364191208028307
0,1,39,-0.000561909520085836,0.000561909520085836
0,1,40,-0.00809406908664152,0.00809406908664152
0,1,41,-0.02331597673801191,0.02331597673801191
0,1,42,-0.012925581976413143,0.012925581976413143
0,1,43,-0.013030660565716442,0.013030660565716442
0,1,44,-0.011428796301867852,0.011428796301867852
0,1,45,-0.0005820041383301209,0.0005820041383301209
0,1,46,-0.011629119712427399,0.011629119712427399
0,1,47,-0.009539780957077974,0.009539780957077974
0,1,48,-0.018856867092328207,0.018856867092328207
0,1,49,0.01405427467982293,0.01405427467982293
0,1,50,-0.006900027001882807,0.006900027001882807
0,1,51,-0.022565321673064347,0.022565321673064347
0,1,52,0.017693763522913977,0.017693763522913977
0,1,53,0.006519413187869502,0.006519413187869502
0,1,54,0.07368312381546692,0.07368312381546692
0,1,55,-0.005892547182249814,0.005892547182249814
0,1,56,-0.01388550093158024,0.01388550093158024
0,1,57,0.06287081053469071,0.06287081053469071
0,1,58,0.009817116884572196,0.009817116884572196
0,1,59,-0.03231852337402386,0.03231852337402386
0,2,1,-0.027799755104841176,0.027799755104841176
0,2,3,0.003073502495566974,0.003073502495566974
0,2,4,-0.009732834697126639,0.009732834697126639
0,2,5,-0.009752856202362431,0.009752856202362431
0,2,6,0.001437511723433137,0.001437511723433137
0,2,7,0.0010535654754285648,0.0010535654754285648
0,2,8,0.005761589363650348,0.005761589363650348
0,2,9,0.01588875870655362,0.01588875870655362
0,2,10,-0.01028160286459895,0.01028160286459895
0,2,11,0.00617124970222976,0.00617124970222976
0,2,12,0.003220083406016232,0.003220083406016232
0,2,13,-0.000727176039892425,0.000727176039892425
0,2,14,0.00988862156324376,0.00988862156324376
0,2,15,-0.015032066181243177,0.015032066181243177
0,2,16,-0.004131355576087222,0.004131355576087222
0,2,17,-0.005541684544027969,0.005541684544027969
0,2,18,-0.0061791651211484154,0.0061791651211484154
0,2,19,0.007076385937205091,0.007076385937205091
0,2,20,-0.01995846078362491,0.01995846078362491
0,2,21,0.0027489308141715844,0.0027489308141715844
0,2,22,-0.009320755692257814,0.009320755692257814
0,2,23,0.00034528107323397305,0.00034528107323397305
0,2,24,-0.006177333466385129,0.006177333466385129
0,2,25,-0.0027891645804511726,0.0027891645804511726
0,2,26,0.003180090306045767,0.003180090306045767
0,2,27,-3.4386083242248116e-05,3.4386083242248116e-05
0,2,28,0.0022918928878808624,0.0022918928878808624
0,2,29,0.001358038377208786,0.001358038377208786
0,2,30,0.014538509647786722,0.014538509647786722
0,2,31,7.450553489026277e-05,7.450553489026277e-05
0,2,32,0.0021521933995484427,0.0021521933995484427
0,2,33,-0.0008232389912199567,0.0008232389912199567
0,2,34,-0.005682418068839795,0.005682418068839795
0,2,35,0.00910031183521894,0.00910031183521894
0,2,36,-0.026368180192675846,0.026368180192675846
0,2,37,-0.0006009110298382168,0.0006009110298382168
0,2,38,0.018922401678507193,0.018922401678507193
0,2,39,-0.009061117848431987,0.009061117848431987
0,2,40,0.005381113336080168,0.005381113336080168
0,2,41,0.00709042550212033,0.00709042550212033
0,2,42,0.02111967477063404,0.02111967477063404
0,2,43,-0.010981258118178372,0.010981258118178372
0,2,44,0.0025029443150638665,0.0025029443150638665
0,2,45,0.0001270205222510186,0.0001270205222510186
0,2,46,-0.00804313225652812,0.00804313225652812
