source,target,lag,coefficient,p_value
0,0,1,0.4532216206466572,2.0995879998427354e-167
0,0,2,-0.11625489487724203,1.977651365799347e-11
0,1,1,-0.147713329048525,1.3639561974027503e-17
0,2,1,0.060913975359940836,0.0004559017989606339
0,4,1,0.08088418425848411,3.1611802733101816e-06
0,4,2,-0.12561658786480262,4.041576477001636e-13
0,5,1,0.10425004547310339,1.80305276063791e-09
0,7,3,-0.05995523117835582,0.0005549091638000189
0,11,1,0.19815543404324537,1.0785937952385269e-30
0,14,1,0.060960261149172454,0.0004495559422278625
0,18,1,-0.1107269614701172,1.6529029202368515e-10
0,19,1,0.21033016583620848,1.840347144350287e-34
0,20,2,-0.07153016145936737,3.763668044640684e-05
0,22,1,0.059373877361404426,0.0006268459125122575
0,24,2,0.07151663940359687,3.807176099836392e-05
0,29,2,-0.0629520088995473,0.0002906751951841012
0,30,3,0.06338607740912362,0.00026376933446827536
0,36,1,0.08113245251281957,2.9076853602787886e-06
0,39,1,0.06826773135307046,8.46909172680415e-05
0,41,1,0.07297448542147678,2.618507306568348e-05
0,43,1,0.06398068201255173,0.000229177061682405
0,50,2,-0.05826217069204062,0.0007934278402826486
0,51,1,0.06417995237234873,0.00021665348890419122
0,54,1,-0.07625705577806086,1.1162579910542966e-05
0,54,2,-0.05816004335411818,0.0008134578093210949
0,58,1,-0.14064663419405052,4.279607917858609e-16
0,58,3,0.07912249660570386,5.14155163113411e-06
0,59,1,0.12457377448968847,6.418168034546427e-13
1,0,1,0.11898979352452356,6.575984738111469e-12
1,0,2,0.2196439167683734,2.0010327256279616e-37
1,1,1,0.3990719298967384,1.2110211762477823e-126
1,6,1,0.06654012820641927,0.0001273095878118452
1,7,2,0.09530262158626618,3.9047929459845916e-08
1,9,1,0.09430889095770108,5.5278120825691925e-08
1,10,1,0.07652922932812264,1.0510543672449446e-05
1,17,1,0.13221811578870835,2.1945149968435296e-14
1,20,3,-0.06165538441332131,0.00038400258319764923
1,24,1,0.09629066333615997,2.8459100851018164e-08
1,25,1,0.07133711661958275,3.960769089700374e-05
1,36,1,0.1443202994613839,6.973286066480135e-17
1,41,1,0.07390191779208276,2.081316467057969e-05
1,46,1,0.08904629302637701,2.853469572875366e-07
1,48,4,0.05771357844383064,0.0008972044530688018
1,50,1,0.06871273629640227,7.589573481629016e-05
1,51,2,0.07482594303457954,1.6134369318458748e-05
1,52,1,-0.06552009566776801,0.00016109494284286102
1,54,1,-0.2307451847982625,2.9850468290857167e-41
1,57,2,-0.1381199471869034,1.5458097108604437e-15
2,0,1,-0.059944997123784365,0.0005615245959906877
2,0,2,-0.09889565458819652,1.1992550467189582e-08
2,1,2,-0.07732282093718024,8.578889464080785e-06
2,1,3,-0.06792228744884456,9.312902910787599e-05
2,2,1,0.33391562680903797,6.310645006076259e-87
2,2,2,0.062251947195290855,0.0003416639134478894
2,2,3,0.08782230167640148,4.24886761973653e-07
2,4,2,-0.08118262177064747,2.946961764628449e-06
2,9,1,0.0743444322414243,1.8723240781818895e-05
2,9,2,0.06360530032355936,0.0002521729030974596
2,10,1,-0.07116777221548316,4.176402148069881e-05
2,11,1,0.062479112627273015,0.00032155494887348856
2,14,1,0.06032069757308038,0.0005181230312082475
2,15,1,-0.07106892440465315,4.235071852545422e-05
2,18,1,-0.05843182540810904,0.0007700578628227248
2,19,1,0.07110069108336842,4.224169925735534e-05
2,20,1,-0.10681224758561947,7.124941947541997e-10
2,22,1,-0.06613084320159178,0.00013977765425111165
2,30,1,0.1059032187276045,1.022092996944834e-09
2,35,1,0.11617002138325326,2.0741534822103634e-11
2,36,2,-0.058465665097879344,0.0007604144949294909
2,38,1,0.10252249547768928,3.3667959915452058e-09
2,40,1,0.0637187744057777,0.0002436873943655756
2,41,1,0.08494372580254164,9.878950992515732e-07
2,42,1,0.12940059205902676,8.02009656362851e-14
2,46,2,-0.09757550865111757,1.845118619981874e-08
2,48,1,0.08580600143367413,7.687022010176515e-07
2,49,1,0.1368908404311442,2.5992911544379396e-15
2,54,2,0.0830550807759335,1.7112499184299618e-06
2,57,1,0.07751046597272176,8.208025234505297e-06
2,58,1,-0.11658029303178533,1.701089425649051e-11
2,58,2,0.06795204784671326,9.156809092275949e-05
3,3,1,0.5145972044964905,1.5398481363964878e-223
3,8,1,0.06036683331369812,0.0005080158985652213
3,16,1,-0.059978291354126675,0.0005479228084425428
3,23,1,-0.06450616823047575,0.00020201784853808222
3,29,1,-0.18894116492269317,5.42314816750994e-28
3,29,2,0.07082240368136421,4.526955639259335e-05
3,34,1,-0.08842686037812306,3.3670845282010974e-07
3,41,1,-0.057832077813280695,0.0008660569905558749
3,45,1,-0.15563371130986112,1.9672838309717534e-19
3,53,1,0.09945745469377842,9.458106070197902e-09
4,0,2,0.06874629592059428,7.52828395079037e-05
4,1,1,-0.12406466554287485,8.033139538657412e-13
4,4,1,0.36489142524229806,8.143995286662161e-105
4,4,3,0.07846959008425863,6.16914387329686e-06
4,4,4,0.06361811783524907,0.00024982093284206546
4,5,1,0.09366004561534791,6.634885749383688e-08
4,11,1,-0.14693061323034934,1.894137355110012e-17
4,16,1,0.062238546410437794,0.00033703631813550744
4,18,1,0.10270546367655159,3.1394104214989855e-09
4,23,1,0.16170502083961963,7.553860057166761e-21
4,39,1,0.07980235197597835,4.289569135594934e-06
4,41,1,-0.13023340710591105,5.3058513888294796e-14
4,49,2,0.10316379423508588,2.6992164508980863e-09
4,51,1,0.06532163612894791,0.0001667502795979231
4,54,2,-0.06939531710893057,6.431125432858565e-05
4,57,1,-0.09995929258766414,8.470057962934456e-09
4,58,1,-0.10295703583674475,2.8567849364051572e-09
4,59,1,0.07520928393589763,1.4854705294591309e-05
5,0,1,-0.06544964937427596,0.00016336848081534072
5,5,1,0.369825735418755,4.341708563797851e-108
5,5,3,0.08929512513738716,2.567376439905995e-07
5,7,2,-0.06663980207382658,0.0001226159427845268
5,27,1,0.06341142516175485,0.00025835747623311183
5,30,1,0.06047623391408876,0.0004942423783242433
5,30,2,0.09640517230461296,2.687679732573417e-08
5,34,1,0.0978683423640031,1.607160430616119e-08
5,40,1,-0.16148610902009627,7.97932379732925e-21
5,40,2,0.05807996679423868,0.0008181293759857866
5,44,1,-0.0965762367952363,2.5514226810173007e-08
5,48,1,0.05936012014811732,0.0006286773446305934
5,57,1,-0.0827501141032114,1.8813663217088893e-06
6,1,1,-0.06367473654760414,0.00024718848417056764
6,6,1,0.2485111941175478,7.908884315229665e-48
6,39,1,-0.07434855419941114,1.8379569201899093e-05
6,47,1,0.10092660408722755,5.788432768180597e-09
6,52,2,0.06326635493325086,0.00026749178224563173
6,58,3,-0.07045802134973929,4.9286632023971484e-05
7,4,1,0.09045384739401884,1.8368707971446344e-07
7,7,1,0.29489704139184764,1.443105254505268e-67
7,8,2,0.06187569129436824,0.0003643708229128909
7,11,1,-0.0636606997212002,0.00024371452556573093
7,12,1,-0.05791172498858881,0.0008472551290534785
7,37,1,0.06350107772470445,0.0002521066984112422
7,40,1,0.065954412188161,0.000143969992010448
7,44,1,0.07900348588097425,5.277975011761032e-06
7,46,1,0.07541664450183956,1.3776015810881353e-05
7,46,2,0.060961900511339775,0.0004440499802262458
7,47,1,0.1941273314330607,1.609679791590117e-29
7,51,1,0.09215795184570374,1.0318920837254555e-07
7,55,1,0.08588755121219743,7.276021114701316e-07
7,56,1,-0.09298207672773479,8.142075479679182e-08
8,2,2,0.05797751065852602,0.0008479780594565337
8,4,1,0.07102286825979624,4.306851175831816e-05
8,5,1,-0.05841072915971749,0.0007663726357017293
8,8,1,0.15534212674123432,2.38592411864058e-19
8,9,1,0.1373478008280109,2.0574899926289616e-15
8,12,1,-0.09910244265675106,1.073314359757962e-08
8,16,1,0.06268168942568152,0.00030419820468321275
8,25,1,0.06230129317752394,0.00033032426629480603
8,47,1,-0.06363393754630774,0.0002467877934682582
8,48,2,0.07261752161892086,2.86784247370777e-05
8,49,1,-0.10181119182009091,4.321384585656053e-09
8,51,1,0.10051898271842197,6.460757001742109e-09
8,56,1,-0.06373213806388958,0.00024137769660588032
8,59,2,0.06758515914710947,9.945439130008794e-05
9,0,1,0.1930517699007746,3.790055522340011e-29
9,1,1,-0.1705775745380857,5.181058711288561e-23
9,2,1,-0.21807900859613638,6.783576292166152e-37
9,2,4,0.06248301381541398,0.00032465138373408077
9,3,1,0.07245844036590808,3.0026671884594622e-05
9,4,1,0.09251261899831559,9.761301834765497e-08
9,4,3,0.06392647488702503,0.00023404128589796374
9,7,1,0.09510004341444313,4.172975917145686e-08
9,8,1,-0.2128456724924165,3.1522963611060937e-35
