model,horizon,component,rmse,mae,corr
RNN,2,component_16,0.7882324009818218,0.6258852542270722,0.3164690519062384
RNN,2,component_17,0.7943317376657241,0.6401327859833575,0.20020461718527813
RNN,2,component_18,0.7931031855709707,0.6219757546154986,0.18000727080183773
RNN,2,component_19,0.7968108168940298,0.6417007077564995,0.15584184737184595
RNN,2,component_20,0.7461052346952772,0.5937105456503275,0.27362487088088683
RNN,2,component_21,0.8015766791918478,0.6461926173283361,0.16356067581986544
RNN,2,component_22,0.816342060522232,0.6563585609691546,0.3120873703797305
RNN,2,component_23,0.8006500981985815,0.6511476025049093,0.253650989578685
RNN,2,component_24,0.7920231340620096,0.6360206211140658,0.14941671437968965
RNN,2,component_25,0.7188424669155133,0.5746306954145952,0.321503055608797
RNN,2,component_26,0.7805884802420123,0.6275485072996361,0.25961482309218
RNN,2,component_27,0.7873871529160364,0.6273923876735846,0.1612427251252186
RNN,2,component_28,0.7415238568188444,0.5861267986190739,0.14327511447710142
RNN,2,component_29,0.7361462964558187,0.5917559561808549,0.26955633208024005
RNN,2,component_30,0.8763409459989284,0.69707942379631,0.21995125425814221
RNN,2,component_31,0.7830016173111448,0.6313585774422268,0.1830235038302301
RNN,2,component_32,0.8197208463631599,0.6569035931490937,0.14211411105798938
RNN,2,component_33,0.7927263035430552,0.6278877625662077,0.17989151415284052
RNN,2,component_34,0.7795952001008815,0.6249340741583169,0.31326203093915056
RNN,2,component_35,0.8467624384994697,0.6780672960834357,0.09128207176891746
RNN,2,component_36,0.6915457454459955,0.5503861149583195,0.22825450939289166
RNN,2,component_37,0.7787979438522011,0.624899654214724,0.20003372324713284
RNN,2,component_38,0.7621018966438472,0.6047331606019243,0.1518591950231513
RNN,2,component_39,0.7427269516609956,0.6009545706107317,0.18344568521563379
RNN,2,component_40,0.7532461828273915,0.6116192368035148,0.13805412446266735
RNN,2,component_41,0.7774609917970299,0.6214104633626825,0.09950993227737524
RNN,2,component_42,0.8207097315609856,0.657052486627862,0.15738622672986946
RNN,2,component_43,0.6983004717087564,0.5662223361651479,0.26068332185690096
RNN,2,component_44,0.697373679909473,0.5527574584640563,0.31716672748416275
RNN,2,component_45,0.7346810811817744,0.5900773013498858,0.3199166409769805
RNN,2,component_46,0.7751261158837511,0.6311509331872905,0.14704832527712589
RNN,2,component_47,0.7681588210767031,0.5968781109458248,-0.0013553453920926175
RNN,2,component_48,0.7407166351249596,0.5864354267540768,0.2506245322801953
RNN,2,component_49,0.723061851387487,0.5698870665066726,0.06271290143608572
RNN,2,component_50,0.756602290014623,0.6078197844138833,0.3684826854133396
RNN,2,component_51,0.7250608347291287,0.5752958446786905,0.15417478712846946
RNN,2,component_52,0.7626219563612813,0.6170303051605632,0.20926413190440618
RNN,2,component_53,0.7401587821444398,0.5805233821220019,0.10136093940034825
RNN,2,component_54,0.7541999439070979,0.609123260546902,0.16276637041678244
RNN,2,component_55,0.7620260781416015,0.609157331855655,0.1647717714703904
RNN,2,component_56,0.7488640546455566,0.6004027232529164,0.22554626127659783
RNN,2,component_57,0.7651169593020778,0.6083765150955468,0.13620034119777702
RNN,2,component_58,0.7707516765702546,0.6072887358539585,0.09236522307301682
RNN,2,component_59,0.7663299596833908,0.6106844711662484,0.12189395279694405
RNN,2,component_60,0.761921688360655,0.6105368261784254,0.20831275953827574
