source,target,lag,total_effect
37,34,1,0.056035390807523115
37,41,1,0.062302262286378245
37,44,1,-0.08733339545463888
37,45,1,-0.08610978320338178
38,3,1,0.04403337503919829
38,11,1,-0.0805842966703206
38,21,1,0.06912145613292876
38,48,1,0.04033616947038195
38,58,1,-0.061763513743138175
39,3,1,-0.0666744158041683
39,5,1,0.052079686046044425
39,9,1,0.05186615182351583
39,34,1,0.047685399626315746
39,35,1,-0.08636978965082182
39,36,1,0.10657723440126625
39,51,1,-0.07031330618026602
40,11,1,-0.08185258232365984
40,29,1,-0.0852712371084711
40,44,1,-0.06237060105545755
41,0,1,-0.07974559931121514
41,1,1,-0.11831471980950917
41,3,1,-0.08978045676802843
41,7,1,0.06418850576934153
41,15,1,-0.06993790473075681
41,17,1,-0.14066257719843314
41,19,1,-0.1207330006430537
41,21,1,0.09151532957812371
41,36,1,0.05895325967639446
41,43,1,-0.04061057709990293
41,59,1,-0.07937409962629657
42,0,1,0.05761017559689835
42,1,1,0.09330802565446264
42,17,1,0.10567327848847817
42,21,1,-0.12835642839503403
42,22,1,-0.11100259957822695
42,29,1,-0.07974292354439304
42,33,1,0.08451566562958031
42,34,1,-0.05571475143757217
42,47,1,-0.08154631084471968
42,51,1,0.0705603320551056
42,53,1,-0.077973174965297
42,59,1,0.0638045301962534
43,1,1,-0.04405627920486867
43,4,1,0.05532628261488005
43,13,1,0.06739438796724563
43,22,1,0.07502753729300923
43,23,1,-0.07618431391549058
43,30,1,0.06922518054707646
43,49,1,-0.058144229783464174
44,7,1,-0.04798912226392385
44,8,1,-0.04552646530728019
44,12,1,-0.06369155133705781
44,21,1,0.11469302332652663
44,22,1,0.07840788099238359
44,32,1,-0.054783006889146765
44,43,1,-0.08666417457097465
44,45,1,-0.058577144837590564
44,47,1,0.08333386936469994
44,49,1,0.0643243069287433
44,53,1,0.07328362125236726
44,55,1,0.08788655274546699
44,59,1,-0.0689921692285217
45,1,1,-0.09352520326941854
45,6,1,-0.04675601378051404
45,10,1,-0.08995303782505037
45,16,1,-0.13033971565042068
45,17,1,0.06607654198170639
45,23,1,-0.07486118409850269
45,42,1,0.06600063615956349
45,57,1,0.06987917774189076
46,0,1,-0.07344416937449166
46,9,1,0.08974747927831761
46,12,1,-0.03974005318948373
46,13,1,0.07129329401384416
