component,ace,acs,incoming_total_effect,direct_out_strength,direct_in_strength,paper_component
2,0.07227427258769821,0.04544462031085033,0.04544462031085033,0.05943183164614616,0.035418593195526475,2
1,0.057493252011893974,0.04524820604922904,0.04524820604922904,0.04126403106827254,0.03685208289497991,1
0,0.05343086780298926,0.04599510219145437,0.04599510219145437,0.03977086444909659,0.034503364132134284,0
3,0.052787569022092154,0.04095886325097412,0.04095886325097412,0.03954664523369605,0.030816797106855667,3
6,0.05123244199071354,0.028900718085473752,0.028900718085473752,0.03377278537204028,0.021636164949327578,6
4,0.04579741044058611,0.029435889316960177,0.029435889316960177,0.03660416182228008,0.022448499085243896,4
21,0.04568930235453535,0.04197971690077656,0.04197971690077656,0.032990393381377034,0.03215013207410454,48
14,0.042853129368011514,0.0366292089402769,0.0366292089402769,0.02983437136136673,0.026880138050208866,14
7,0.04101388453989823,0.03618371007322059,0.03618371007322059,0.029619224083906288,0.027565207662664678,18
11,0.040315772702846496,0.03775322555933682,0.03775322555933682,0.0304315048254387,0.029381485619146445,11
31,0.0393791864942376,0.019441349537952242,0.019441349537952242,0.02949188234915221,0.012589331079933147,31
20,0.03854470467548517,0.02980215040371868,0.02980215040371868,0.027925707729683735,0.022628542117755064,20
24,0.038381528955076884,0.028157017524910708,0.028157017524910708,0.03205559724093768,0.01746031331358145,24
10,0.036091289401834176,0.03113988632994863,0.03113988632994863,0.024973914123855367,0.021958608715221824,10
37,0.03568574545877384,0.022352022154468937,0.022352022154468937,0.025212050437323424,0.016026216108890733,37
8,0.03536559588774334,0.04636086906747063,0.04636086906747063,0.02665180214513379,0.033370058160174555,26
22,0.03479094700221729,0.03552892472152274,0.03552892472152274,0.025338824500082197,0.028534368894693664,22
19,0.03443726678853691,0.03430699676835248,0.03430699676835248,0.02605083793237963,0.0259012741330367,19
55,0.03312214365353226,0.021739205974876233,0.021739205974876233,0.022935580206729325,0.015214022296580835,55
25,0.03236377732189393,0.02464524529504054,0.02464524529504054,0.021470285352718974,0.01773111794941376,25
29,0.03172377967030745,0.018470788805072504,0.018470788805072504,0.023810340737695727,0.013321065234487454,29
39,0.031719387045014924,0.020163677470844465,0.020163677470844465,0.02345142165671133,0.01443951013859188,39
51,0.03057575370297609,0.02643401404406889,0.02643401404406889,0.02156985732934145,0.018853136020124516,51
