source,mediator,target,lag,mce,mce_max_abs
1,0,2,4,-0.0025584454800821905,0.0025584454800821905
1,0,3,4,-0.0038285730215976976,0.0038285730215976976
1,0,4,4,0.0011544806055662493,0.0011544806055662493
1,0,5,4,0.005622075703629367,0.005622075703629367
1,0,7,4,0.0016404434095700395,0.0016404434095700395
1,0,8,4,0.0532547509875968,0.0532547509875968
1,0,9,4,-0.002803875110637807,0.002803875110637807
1,0,10,4,-0.0029228742477352266,0.0029228742477352266
1,0,11,4,-0.0009198257606213081,0.0009198257606213081
1,0,13,4,-0.0063171420265434024,0.0063171420265434024
1,0,14,4,-0.0018456410553225324,0.0018456410553225324
1,0,15,4,0.00021102662988540383,0.00021102662988540383
1,0,16,4,-0.0027932244738810667,0.0027932244738810667
1,0,18,4,0.000579629042885485,0.000579629042885485
1,0,19,4,-0.04491291848020646,0.04491291848020646
1,0,20,4,-0.00031601573225303187,0.00031601573225303187
1,0,21,4,0.0016331892138032947,0.0016331892138032947
1,0,22,4,0.023274912039517044,0.023274912039517044
1,0,23,4,0.0024542711185571676,0.0024542711185571676
1,0,24,4,0.05123094475948419,0.05123094475948419
1,0,25,4,-0.001087423051380763,0.001087423051380763
1,0,26,4,0.02060542315263025,0.02060542315263025
1,0,27,4,-0.000449045896354007,0.000449045896354007
1,0,28,4,-0.016409908668953324,0.016409908668953324
1,0,30,4,-0.0013994431848743313,0.0013994431848743313
1,0,31,4,0.0015133828529263725,0.0015133828529263725
1,0,32,4,0.001728805986475828,0.001728805986475828
1,0,34,4,0.0024585982376196663,0.0024585982376196663
1,0,35,4,-0.0024236619708207932,0.0024236619708207932
1,0,37,4,-0.001862133452048411,0.001862133452048411
1,0,40,4,-0.00039710722724338454,0.00039710722724338454
1,0,41,4,0.0009601554612004518,0.0009601554612004518
1,0,42,4,-0.005928473997997773,0.005928473997997773
1,0,43,4,0.014283084378913371,0.014283084378913371
1,0,44,4,-0.039566737311412484,0.039566737311412484
1,0,45,4,-0.002021448605660496,0.002021448605660496
1,0,46,4,0.006595135609510767,0.006595135609510767
1,0,47,4,0.036943209747427375,0.036943209747427375
1,0,48,4,0.0014000138831436922,0.0014000138831436922
1,0,49,4,0.0037649135250925336,0.0037649135250925336
1,0,50,4,-0.029454178262572475,0.029454178262572475
1,0,52,4,0.026693104755271507,0.026693104755271507
1,0,53,4,-0.0017214198137553045,0.0017214198137553045
1,0,54,4,-0.0016519865950600024,0.0016519865950600024
1,0,55,4,0.002376106727352792,0.002376106727352792
1,0,57,4,-0.0014858371400407362,0.0014858371400407362
1,0,58,4,0.005264130202870754,0.005264130202870754
1,0,59,4,0.0008632313214048185,0.0008632313214048185
2,0,1,4,0.0038966228740958467,0.0038966228740958467
2,0,3,4,0.005365571065779548,0.005365571065779548
2,0,4,4,-0.0014423999243623337,0.0014423999243623337
2,0,5,4,-0.00840079762010991,0.00840079762010991
2,0,6,4,0.0004129970145904001,0.0004129970145904001
2,0,7,4,-0.002342229011193693,0.002342229011193693
2,0,8,3,-0.033992360816982294,0.033992360816982294
2,0,9,4,0.002228634021645984,0.002228634021645984
2,0,10,4,0.0048783301886178715,0.0048783301886178715
2,0,11,3,0.0007185298299078775,0.0007185298299078775
2,0,12,4,-0.0009058644542867776,0.0009058644542867776
2,0,13,4,0.006135047344867689,0.006135047344867689
2,0,14,4,0.001507520174349599,0.001507520174349599
2,0,15,4,0.0019103239314984671,0.0019103239314984671
2,0,16,4,0.0037377836585522216,0.0037377836585522216
2,0,17,4,6.227325208074674e-05,6.227325208074674e-05
2,0,18,4,-0.004200754991154496,0.004200754991154496
2,0,19,3,0.028203108109338466,0.028203108109338466
2,0,20,4,-0.0006753012629918606,0.0006753012629918606
2,0,21,3,-0.0012757798468362308,0.0012757798468362308
2,0,22,3,-0.014487986040132962,0.014487986040132962
2,0,23,4,-0.002517297872841877,0.002517297872841877
2,0,24,3,-0.031895052423420125,0.031895052423420125
2,0,25,4,0.0012608614380181778,0.0012608614380181778
2,0,26,4,-0.018948647229028018,0.018948647229028018
2,0,27,4,0.0025194044684530223,0.0025194044684530223
2,0,28,4,0.014641436959446048,0.014641436959446048
2,0,29,4,0.0009586595010447028,0.0009586595010447028
2,0,30,3,0.0010931871193890963,0.0010931871193890963
2,0,31,4,-0.00252407739130827,0.00252407739130827
2,0,32,4,-0.001515918399229925,0.001515918399229925
2,0,33,4,0.00022974560280751913,0.00022974560280751913
2,0,34,3,-0.0019205552280851593,0.0019205552280851593
2,0,35,4,0.0036096110226171833,0.0036096110226171833
2,0,36,4,-0.00031854749693096054,0.00031854749693096054
2,0,37,4,0.0026638658408894922,0.0026638658408894922
2,0,38,4,0.0008042477048724982,0.0008042477048724982
2,0,39,4,0.00010932904653789335,0.00010932904653789335
2,0,40,4,-0.0014749554994556227,0.0014749554994556227
2,0,41,4,-0.0012337764941449357,0.0012337764941449357
2,0,42,4,0.007677151732404755,0.007677151732404755
2,0,43,3,-0.009272849846561876,0.009272849846561876
2,0,44,3,0.024352288305066937,0.024352288305066937
2,0,45,4,0.0030037491984434388,0.0030037491984434388
2,0,46,4,-0.007046009794921272,0.007046009794921272
2,0,47,3,-0.02317025390109706,0.02317025390109706
2,0,48,4,-0.0018890502029793137,0.0018890502029793137
2,0,49,4,-0.004974400465899385,0.004974400465899385
2,0,50,3,0.018661641890654928,0.018661641890654928
2,0,51,4,0.0015564419238546616,0.0015564419238546616
