datetime_utc,dst_nT,status
2024-05-07T17:29:30Z,-15,10
2024-05-07T18:29:30Z,-12,10
2024-05-07T19:29:30Z,-8,10
2024-05-07T20:29:30Z,-2,10
2024-05-07T21:29:30Z,1,10
2024-05-07T22:29:30Z,5,10
2024-05-07T23:29:30Z,4,10
2024-05-08T00:29:30Z,3,10
2024-05-08T01:29:30Z,5,10
2024-05-08T02:29:30Z,7,10
2024-05-08T03:29:30Z,5,10
2024-05-08T04:29:30Z,6,10
2024-05-08T05:29:30Z,9,10
2024-05-08T06:29:30Z,9,10
2024-05-08T07:29:30Z,9,10
2024-05-08T08:29:30Z,8,10
2024-05-08T09:29:30Z,9,10
2024-05-08T10:29:30Z,7,10
2024-05-08T11:29:30Z,7,10
2024-05-08T12:29:30Z,6,10
2024-05-08T13:29:30Z,4,10
2024-05-08T14:29:30Z,6,10
2024-05-08T15:29:30Z,5,10
2024-05-08T16:29:30Z,5,10
2024-05-08T17:29:30Z,3,10
2024-05-08T18:29:30Z,3,10
2024-05-08T19:29:30Z,5,10
2024-05-08T20:29:30Z,7,10
2024-05-08T21:29:30Z,11,10
2024-05-08T22:29:30Z,15,10
2024-05-08T23:29:30Z,14,10
2024-05-09T00:29:30Z,15,10
2024-05-09T01:29:30Z,17,10
2024-05-09T02:29:30Z,18,10
2024-05-09T03:29:30Z,15,10
2024-05-09T04:29:30Z,15,10
2024-05-09T05:29:30Z,14,10
2024-05-09T06:29:30Z,14,10
2024-05-09T07:29:30Z,13,10
2024-05-09T08:29:30Z,14,10
2024-05-09T09:29:30Z,15,10
2024-05-09T10:29:30Z,15,10
2024-05-09T11:29:30Z,17,10
2024-05-09T12:29:30Z,18,10
2024-05-09T13:29:30Z,21,10
2024-05-09T14:29:30Z,21,10
2024-05-09T15:29:30Z,18,10
2024-05-09T16:29:30Z,18,10
2024-05-09T17:29:30Z,20,10
2024-05-09T18:29:30Z,22,10
2024-05-09T19:29:30Z,22,10
2024-05-09T20:29:30Z,21,10
2024-05-09T21:29:30Z,20,10
2024-05-09T22:29:30Z,20,10
2024-05-09T23:29:30Z,17,10
2024-05-10T00:29:30Z,12,10
2024-05-10T01:29:30Z,10,10
2024-05-10T02:29:30Z,12,10
2024-05-10T03:29:30Z,21,10
2024-05-10T04:29:30Z,16,10
2024-05-10T05:29:30Z,7,10
2024-05-10T06:29:30Z,9,10
2024-05-10T07:29:30Z,16,10
2024-05-10T08:29:30Z,13,10
2024-05-10T09:29:30Z,15,10
2024-05-10T10:29:30Z,13,10
2024-05-10T11:29:30Z,3,10
2024-05-10T12:29:30Z,-1,10
2024-05-10T13:29:30Z,1,10
2024-05-10T14:29:30Z,10,10
2024-05-10T15:29:30Z,23,10
2024-05-10T16:29:30Z,25,10
2024-05-10T17:29:30Z,66,10
2024-05-10T18:29:30Z,-33,10
2024-05-10T19:29:30Z,-131,10
2024-05-10T20:29:30Z,-157,10
2024-05-10T21:29:30Z,-277,10
2024-05-10T22:29:30Z,-339,10
2024-05-10T23:29:30Z,-308,10
2024-05-11T00:29:30Z,-313,10
2024-05-11T01:29:30Z,-390,10
2024-05-11T02:29:30Z,-406,10
2024-05-11T03:29:30Z,-395,10
2024-05-11T04:29:30Z,-389,10
2024-05-11T05:29:30Z,-358,10
2024-05-11T06:29:30Z,-320,10
2024-05-11T07:29:30Z,-374,10
2024-05-11T08:29:30Z,-364,10
2024-05-11T09:29:30Z,-297,10
2024-05-11T10:29:30Z,-318,10
2024-05-11T11:29:30Z,-268,10
2024-05-11T12:29:30Z,-258,10
2024-05-11T13:29:30Z,-279,10
2024-05-11T14:29:30Z,-281,10
2024-05-11T15:29:30Z,-265,10
2024-05-11T16:29:30Z,-270,10
2024-05-11T17:29:30Z,-248,10
2024-05-11T18:29:30Z,-203,10
2024-05-11T19:29:30Z,-198,10
2024-05-11T20:29:30Z,-190,10
2024-05-11T21:29:30Z,-169,10
2024-05-11T22:29:30Z,-157,10
2024-05-11T23:29:30Z,-167,10
2024-05-12T00:29:30Z,-150,10
2024-05-12T01:29:30Z,-142,10
2024-05-12T02:29:30Z,-135,10
2024-05-12T03:29:30Z,-138,10
2024-05-12T04:29:30Z,-138,10
2024-05-12T05:29:30Z,-143,10
2024-05-12T06:29:30Z,-132,10
2024-05-12T07:29:30Z,-132,10
2024-05-12T08:29:30Z,-131,10
2024-05-12T09:29:30Z,-114,10
2024-05-12T10:29:30Z,-104,10
2024-05-12T11:29:30Z,-108,10
2024-05-12T12:29:30Z,-108,10
2024-05-12T13:29:30Z,-104,10
2024-05-12T14:29:30Z,-102,10
2024-05-12T15:29:30Z,-96,10
2024-05-12T16:29:30Z,-97,10
2024-05-12T17:29:30Z,-93,10
2024-05-12T18:29:30Z,-87,10
2024-05-12T19:29:30Z,-82,10
2024-05-12T20:29:30Z,-75,10
2024-05-12T21:29:30Z,-77,10
2024-05-12T22:29:30Z,-86,10
