iteration,loss
1,8.117372022114834
2,6.267993873132635
3,4.552213127755393
4,3.344045957038066
5,2.470908399050285
6,1.9142526557507302
7,1.5731292932583758
8,1.3162369902419984
9,1.1076782973308894
10,0.9363052861686935
11,0.7991018962421679
12,0.6917922682413523
13,0.6071791860968472
14,0.5433174757896724
15,0.49190052287334357
16,0.45046646277921554
17,0.41704058160509494
18,0.3876169803768044
19,0.36353050443957324
20,0.34180455598925985
21,0.32194270205124265
22,0.3055522876525659
23,0.29048095367174026
24,0.2767691178143743
25,0.264261451934556
26,0.25271941455375174
27,0.24232855135385564
28,0.23156799034889525
29,0.2220954461344136
30,0.21372878178282692
31,0.2054906115064614
32,0.19773656224453842
33,0.19015657091336666
34,0.18325333015855194
35,0.17628871989422398
36,0.1696438494830722
37,0.16369921890451014
38,0.15831629926821705
39,0.15273552167658563
40,0.147865031058798
41,0.1425465462140413
42,0.13790242062073457
43,0.1330716532396955
44,0.12873274462722917
45,0.12452900701490276
46,0.12103821698460733
47,0.11696266875613295
48,0.11340715999016522
49,0.11036130992954085
50,0.10696205744872148
51,0.10390082252373808
52,0.10079476351644136
53,0.09788108839660645
54,0.09473531101342372
55,0.09214533220263098
56,0.08960960342616633
57,0.08737398731041476
58,0.08518510315585068
59,0.08297818325170224
60,0.08062184586331467
61,0.07888311315541675
62,0.07744914812291628
63,0.0752571331650619
64,0.07304260817783727
65,0.07216206498393338
66,0.06989530969661191
67,0.06805189863755431
68,0.06702192089317649
69,0.06527382339272687
70,0.06411919493868244
71,0.06294229163555139
72,0.061771135537429495
73,0.06011478044131216
74,0.059150691631895874
75,0.05803652686238102
76,0.056527107379506385
77,0.055576997156327634
78,0.054381681401444636
79,0.05340298908178121
80,0.05276911317865416
81,0.051921421289095326
82,0.050616211339606795
83,0.05035186957344572
84,0.049158674118506766
85,0.04796760301817457
86,0.04724103795324079
87,0.04631647260907364
88,0.04591582068927351
89,0.04494811472111916
90,0.04425893606087221
91,0.04398320843482496
92,0.042700421179496593
93,0.04233832040796537
94,0.04208732670535248
95,0.04121703939309688
96,0.040408610663167366
97,0.03997409377278361
98,0.03940162202457961
99,0.03878001233312107
100,0.03810271677155229
101,0.03807180328473187
102,0.03756717650583653
103,0.03687055599101037
104,0.03619935906478182
105,0.03586159418297816
106,0.035533886661943674
107,0.035079477276517654
108,0.03461948668513026
109,0.03433527708285683
110,0.03397051800156579
111,0.03334845863642938
112,0.03296709539584551
113,0.0325096761558372
114,0.03220678512697435
115,0.0318148745960589
116,0.03148679828634549
117,0.030874849219309095
118,0.030587127224578375
119,0.03029235878840791
120,0.02989711439853509
121,0.029520052781741572
122,0.029353251949215644
123,0.028980767835823786
124,0.02881322327177656
125,0.028393003105715974
126,0.02810341069914737
127,0.027796155561234312
128,0.02762364705686306
129,0.027191445953141945
130,0.0270133534410689
131,0.026938193444537312
132,0.026770064421640243
133,0.02618119430314881
134,0.02580146188082926
135,0.025697843019495136
136,0.02523668232674499
137,0.02512549641924774
138,0.025155634496710634
139,0.024905212552342508
140,0.024809519619988122
141,0.024335606499454942
142,0.024233798524925736
143,0.024013552843244433
144,0.023840995777295156
145,0.023416747431983617
146,0.02328533024809701
147,0.023108275871263614
148,0.022870325456940677
149,0.022756152829270244
150,0.022525967485118197
151,0.02240066099487667
152,0.022236323045169197
153,0.022210442201418917
154,0.02207293867092483
155,0.021766760403152393
156,0.021313283176251807
157,0.021399847100916726
158,0.021048480142900765
159,0.021052778350120337
160,0.020765884476954884
161,0.020877996855018847
162,0.020498460492087266
163,0.020516531039393167
164,0.020629139169177562
165,0.020205220128651363
166,0.01994175586833075
167,0.019795148208573064
168,0.01955169681453601
169,0.019378504973630258
170,0.019181858811600335
171,0.019031946436565448
172,0.018902677187779826
173,0.01891991355017285
174,0.018854332864312665
175,0.01858023225189645
176,0.018403564325861772
177,0.018242596472895625
178,0.018253551782924034
179,0.018063644368688958
180,0.017930865123719896
