target,source,tm_ei,raw_mi_hat,bias_correction,backend
M1,M1,0.3970201683458598,0.3970201683458598,0.0005005840379128657,affine_triangular_transport_map
M1,M2,0.046028896515489366,0.046028896515489366,0.0005005840379128657,affine_triangular_transport_map
M1,M3,0.0012852167185991093,0.0012852167185991093,0.0005005840379128657,affine_triangular_transport_map
M1,M4,0.00508778699907542,0.00508778699907542,0.0005005840379128657,affine_triangular_transport_map
M1,M5,1.3325584823014936e-05,1.3325584823014936e-05,0.0005005840379128657,affine_triangular_transport_map
M1,M6,0.0004909561627604083,0.0004909561627604083,0.0005005840379128657,affine_triangular_transport_map
M1,M7,0.05550900271772698,0.05550900271772698,0.0005005840379128657,affine_triangular_transport_map
M1,M8,0.009229225224951836,0.009229225224951836,0.0005005840379128657,affine_triangular_transport_map
M2,M1,0.008276134701897577,0.008276134701897577,0.0005005840379128657,affine_triangular_transport_map
M2,M2,0.44535591357246584,0.44535591357246584,0.0005005840379128657,affine_triangular_transport_map
M2,M3,0.03502722519057039,0.03502722519057039,0.0005005840379128657,affine_triangular_transport_map
M2,M4,0.0033988718960041727,0.0033988718960041727,0.0005005840379128657,affine_triangular_transport_map
M2,M5,0.0,-0.0001871882324217223,0.0005005840379128657,affine_triangular_transport_map
M2,M6,0.0,-0.00015211993819545566,0.0005005840379128657,affine_triangular_transport_map
M2,M7,0.003229715124499006,0.003229715124499006,0.0005005840379128657,affine_triangular_transport_map
M2,M8,0.05487960792458946,0.05487960792458946,0.0005005840379128657,affine_triangular_transport_map
M3,M1,0.07070652965561813,0.07070652965561813,0.0005005840379128657,affine_triangular_transport_map
M3,M2,0.024502116728722975,0.024502116728722975,0.0005005840379128657,affine_triangular_transport_map
M3,M3,0.337213061312286,0.337213061312286,0.0005005840379128657,affine_triangular_transport_map
M3,M4,0.05143547760257608,0.05143547760257608,0.0005005840379128657,affine_triangular_transport_map
M3,M5,0.00062471181372294,0.00062471181372294,0.0005005840379128657,affine_triangular_transport_map
M3,M6,0.0,-0.0001724453853039502,0.0005005840379128657,affine_triangular_transport_map
M3,M7,0.0005219611534495191,0.0005219611534495191,0.0005005840379128657,affine_triangular_transport_map
M3,M8,0.0008140387212319465,0.0008140387212319465,0.0005005840379128657,affine_triangular_transport_map
M4,M1,0.001904408774916371,0.001904408774916371,0.0005005840379128657,affine_triangular_transport_map
M4,M2,0.08719704692929146,0.08719704692929146,0.0005005840379128657,affine_triangular_transport_map
M4,M3,0.002110008534128777,0.002110008534128777,0.0005005840379128657,affine_triangular_transport_map
M4,M4,0.3003973339686521,0.3003973339686521,0.0005005840379128657,affine_triangular_transport_map
M4,M5,0.05011608124034243,0.05011608124034243,0.0005005840379128657,affine_triangular_transport_map
M4,M6,0.0,-0.0001820912431002725,0.0005005840379128657,affine_triangular_transport_map
M4,M7,0.0,-0.00036836815231506014,0.0005005840379128657,affine_triangular_transport_map
M4,M8,0.0008419819391894862,0.0008419819391894862,0.0005005840379128657,affine_triangular_transport_map
M5,M1,0.0,-8.219036370023095e-05,0.0005005840379128657,affine_triangular_transport_map
M5,M2,0.00048545606611363816,0.00048545606611363816,0.0005005840379128657,affine_triangular_transport_map
M5,M3,0.04921899582207281,0.04921899582207281,0.0005005840379128657,affine_triangular_transport_map
M5,M4,0.012020572358924559,0.012020572358924559,0.0005005840379128657,affine_triangular_transport_map
M5,M5,0.4178179377774976,0.4178179377774976,0.0005005840379128657,affine_triangular_transport_map
M5,M6,0.0275760216762899,0.0275760216762899,0.0005005840379128657,affine_triangular_transport_map
M5,M7,0.0005456592882573196,0.0005456592882573196,0.0005005840379128657,affine_triangular_transport_map
M5,M8,0.0,-0.0002594228041700445,0.0005005840379128657,affine_triangular_transport_map
M6,M1,0.00018804786303644003,0.00018804786303644003,0.0005005840379128657,affine_triangular_transport_map
M6,M2,5.18965137796407e-05,5.18965137796407e-05,0.0005005840379128657,affine_triangular_transport_map
M6,M3,2.0426840561994138e-05,2.0426840561994138e-05,0.0005005840379128657,affine_triangular_transport_map
M6,M4,0.08579774683723498,0.08579774683723498,0.0005005840379128657,affine_triangular_transport_map
M6,M5,0.002269022275858262,0.002269022275858262,0.0005005840379128657,affine_triangular_transport_map
M6,M6,0.3490437464415742,0.3490437464415742,0.0005005840379128657,affine_triangular_transport_map
M6,M7,0.06295184014423591,0.06295184014423591,0.0005005840379128657,affine_triangular_transport_map
M6,M8,0.0,-0.0002074525996451936,0.0005005840379128657,affine_triangular_transport_map
M7,M1,0.0031808438203984,0.0031808438203984,0.0005005840379128657,affine_triangular_transport_map
M7,M2,0.00032033668195642336,0.00032033668195642336,0.0005005840379128657,affine_triangular_transport_map
M7,M3,0.00300497757281221,0.00300497757281221,0.0005005840379128657,affine_triangular_transport_map
M7,M4,0.0016166786440571128,0.0016166786440571128,0.0005005840379128657,affine_triangular_transport_map
M7,M5,0.06999979698982436,0.06999979698982436,0.0005005840379128657,affine_triangular_transport_map
M7,M6,0.009126847750893126,0.009126847750893126,0.0005005840379128657,affine_triangular_transport_map
M7,M7,0.3501841598139875,0.3501841598139875,0.0005005840379128657,affine_triangular_transport_map
M7,M8,0.052147244770155546,0.052147244770155546,0.0005005840379128657,affine_triangular_transport_map
M8,M1,0.03224319889856304,0.03224319889856304,0.0005005840379128657,affine_triangular_transport_map
M8,M2,0.0002463633887096237,0.0002463633887096237,0.0005005840379128657,affine_triangular_transport_map
M8,M3,0.0,-7.601636483738646e-06,0.0005005840379128657,affine_triangular_transport_map
M8,M4,0.0008049410406431249,0.0008049410406431249,0.0005005840379128657,affine_triangular_transport_map
M8,M5,0.0017358333104634221,0.0017358333104634221,0.0005005840379128657,affine_triangular_transport_map
M8,M6,0.04758293055796931,0.04758293055796931,0.0005005840379128657,affine_triangular_transport_map
M8,M7,0.006271196096370038,0.006271196096370038,0.0005005840379128657,affine_triangular_transport_map
M8,M8,0.4228239961574779,0.4228239961574779,0.0005005840379128657,affine_triangular_transport_map
