alpha,repeat,L,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
0.0,0,2.0,0.6,0.33998144965476385,0.00021508263394542926,0.3397663670208184,0.0
0.0,1,2.0,0.6,0.32748729229788776,0.00011636987965454976,0.32724838287623004,0.00012253954200316835
0.0,2,2.0,0.6,0.32301097512668614,-0.00020020804550825356,0.3231465280202833,6.465515191107408e-05
0.0,3,2.0,0.6,0.3197033698710852,-0.000221975592750785,0.3197347648703882,0.00019058059344779338
0.2,0,2.0,0.6,0.23728071981546583,0.0035600594110194667,0.23363310540866458,8.755499578178622e-05
0.2,1,2.0,0.6,0.24802316501629101,0.0061865299814536645,0.24183663503483735,0.0
0.2,2,2.0,0.6,0.2287343822378674,0.004944206662078685,0.22372612086565388,6.40547101348386e-05
0.2,3,2.0,0.6,0.2483769903056943,0.006175590160241329,0.24220140014545297,0.0
0.4,0,2.0,0.6,0.15713032200938815,0.018462022716988283,0.13851472997639785,0.0001535693160020082
0.4,1,2.0,0.6,0.16363137858586121,0.02033060175066878,0.14330077683519243,0.0
0.4,2,2.0,0.6,0.1467815163449082,0.013921843119032884,0.13285967322587533,0.0
0.4,3,2.0,0.6,0.16133256842700394,0.02357684268381592,0.13728499478944747,0.0004707309537405465
0.6,0,2.0,0.6,0.11941147179012385,0.05029344407137483,0.06905818202440638,5.984569434263942e-05
0.6,1,2.0,0.6,0.11177226696033395,0.04481073566234306,0.06696153129799089,0.0
0.6,2,2.0,0.6,0.108566838508535,0.04152260270273045,0.06704423580580456,0.0
0.6,3,2.0,0.6,0.11431605659197715,0.04901711779810662,0.06529893879387053,0.0
0.8,0,2.0,0.6,0.08852333525356715,0.07466531817903298,0.013858017074534167,0.0
0.8,1,2.0,0.6,0.10055417431212155,0.08681669808086391,0.013737476231257638,0.0
0.8,2,2.0,0.6,0.08367745629790872,0.0680990014349947,0.015578454862914029,0.0
0.8,3,2.0,0.6,0.10761095966016385,0.09032036737308603,0.017290592287077817,0.0
1.0,0,2.0,0.6,0.1164830793486844,0.1164830793486844,0.0,0.0
1.0,1,2.0,0.6,0.13274238409819678,0.13235778989793737,0.00038459420025939477,0.0
1.0,2,2.0,0.6,0.10512670949974555,0.10498298344681913,0.0001437260529264221,0.0
1.0,3,2.0,0.6,0.11808377431383937,0.11725696004800748,0.0006945132576686737,0.00013230100816322748
