dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,-6.0,20762463,2,0.05,4096,1,1,identity,3.1305563460317503,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762480,3,0.05,4096,1,1,variance_matched,3.1406621991978034,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762480,3,0.05,4096,1,1,identity,3.1486102531008133,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762497,4,0.05,4096,1,1,variance_matched,3.155736455885747,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762497,4,0.05,4096,1,1,identity,3.1588409030328446,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762514,5,0.05,4096,1,1,variance_matched,3.1612923831095716,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762514,5,0.05,4096,1,1,identity,3.1807792791554768,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762531,6,0.05,4096,1,1,variance_matched,3.155957569498564,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762531,6,0.05,4096,1,1,identity,3.160919346799062,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762548,7,0.05,4096,1,1,variance_matched,3.1264837891864716,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762548,7,0.05,4096,1,1,identity,3.123226988697633,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762565,8,0.05,4096,1,1,variance_matched,3.122197667872797,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762565,8,0.05,4096,1,1,identity,3.1292167035738925,"{""projection"": [[1.0]]}"
identity,x,4.0,-6.0,20762582,9,0.05,4096,1,1,variance_matched,3.1490818651580885,"{""direction"": [1.0]}"
identity,x,4.0,-6.0,20762582,9,0.05,4096,1,1,identity,3.1343924294126873,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763429,0,0.05,4096,1,1,variance_matched,3.1440582756725624,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763429,0,0.05,4096,1,1,identity,3.126877928155955,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763446,1,0.05,4096,1,1,variance_matched,3.1554999853225416,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763446,1,0.05,4096,1,1,identity,3.15553928184346,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763463,2,0.05,4096,1,1,variance_matched,3.1508950172039896,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763463,2,0.05,4096,1,1,identity,3.1315329780653336,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763480,3,0.05,4096,1,1,variance_matched,3.1575618614347087,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763480,3,0.05,4096,1,1,identity,3.141119702568746,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763497,4,0.05,4096,1,1,variance_matched,3.153726461411437,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763497,4,0.05,4096,1,1,identity,3.1337244719897357,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763514,5,0.05,4096,1,1,variance_matched,3.1441621000039284,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763514,5,0.05,4096,1,1,identity,3.131588104860274,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763531,6,0.05,4096,1,1,variance_matched,3.1385097523993926,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763531,6,0.05,4096,1,1,identity,3.1362757093243667,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763548,7,0.05,4096,1,1,variance_matched,3.15126685920616,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763548,7,0.05,4096,1,1,identity,3.14676182204971,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763565,8,0.05,4096,1,1,variance_matched,3.1353761784965917,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763565,8,0.05,4096,1,1,identity,3.151501773865669,"{""projection"": [[1.0]]}"
identity,x,4.0,-5.0,20763582,9,0.05,4096,1,1,variance_matched,3.162692797551254,"{""direction"": [1.0]}"
identity,x,4.0,-5.0,20763582,9,0.05,4096,1,1,identity,3.149702376892974,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764429,0,0.05,4096,1,1,variance_matched,3.138190222391798,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764429,0,0.05,4096,1,1,identity,3.1382423959040278,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764446,1,0.05,4096,1,1,variance_matched,3.134813046463937,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764446,1,0.05,4096,1,1,identity,3.126276957366562,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764463,2,0.05,4096,1,1,variance_matched,3.173522381988647,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764463,2,0.05,4096,1,1,identity,3.1450299557133503,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764480,3,0.05,4096,1,1,variance_matched,3.1307935764619743,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764480,3,0.05,4096,1,1,identity,3.1226042646211924,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764497,4,0.05,4096,1,1,variance_matched,3.1241060160381595,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764497,4,0.05,4096,1,1,identity,3.161184860809265,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764514,5,0.05,4096,1,1,variance_matched,3.1377861079901503,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764514,5,0.05,4096,1,1,identity,3.1260281731248796,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764531,6,0.05,4096,1,1,variance_matched,3.1493839305141966,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764531,6,0.05,4096,1,1,identity,3.144015884542172,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764548,7,0.05,4096,1,1,variance_matched,3.139404485750508,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764548,7,0.05,4096,1,1,identity,3.149842008970247,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764565,8,0.05,4096,1,1,variance_matched,3.1343408274321183,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764565,8,0.05,4096,1,1,identity,3.1424565856578637,"{""projection"": [[1.0]]}"
identity,x,4.0,-4.0,20764582,9,0.05,4096,1,1,variance_matched,3.1389172248843726,"{""direction"": [1.0]}"
identity,x,4.0,-4.0,20764582,9,0.05,4096,1,1,identity,3.158778264362851,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765429,0,0.05,4096,1,1,variance_matched,3.155832797274336,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765429,0,0.05,4096,1,1,identity,3.151008761653116,"{""projection"": [[1.0]]}"
identity,x,4.0,-3.0,20765446,1,0.05,4096,1,1,variance_matched,3.1639082702709014,"{""direction"": [1.0]}"
identity,x,4.0,-3.0,20765446,1,0.05,4096,1,1,identity,3.151222928083193,"{""projection"": [[1.0]]}"
