dynamics,label,noise_mode,baseline,raw_slope_log_l,corrected_slope_log_l,slope_abs_reduction,raw_cv_l,corrected_cv_l,cv_reduction,corrected_range_l
linear_gain,gain=0.5,fixed,analytic_volume,0.9547381022656166,-0.045261897734383306,0.9094762045312333,0.4912705250931602,0.061770950492835174,0.42949957460032506,0.20139620907795042
linear_gain,gain=0.5,fixed,identity,0.9547381022656166,-0.029350785530211837,0.9253873167354048,0.4912705250931602,0.06736797904521727,0.423902546047943,0.134486796792206
linear_gain,gain=0.5,fixed,gain_matched,0.9547381022656166,-0.0040052966548458635,0.9507328056107708,0.4912705250931602,1.24181951362796,-0.7505489885347998,0.02089897834543371
linear_gain,gain=0.5,fixed,variance_matched,0.9547381022656166,0.0009999815592304532,0.9537381207063862,0.4912705250931602,3.086811832442734,-2.5955413073495737,0.018094242273834472
linear_gain,gain=0.5,fixed,shuffled_target,0.9547381022656166,0.9548373167947065,-9.921452908989714e-05,0.4912705250931602,0.49135314778808536,-8.262269492514962e-05,3.2645119761843073
linear_gain,gain=0.5,fixed,null,0.9547381022656166,0.9550219686872624,-0.00028386642164579534,0.4912705250931602,0.49146313131076436,-0.00019260621760414098,3.2659757235311875
linear_gain,gain=2.0,fixed,analytic_volume,0.9969873496197301,-0.0030126503802697558,0.9939746992394604,0.3256311030895519,0.0023013910422957865,0.32332971204725613,0.01733114506100808
linear_gain,gain=2.0,fixed,gain_matched,0.9969873496197301,-0.002013246728125306,0.9949741028916048,0.3256311030895519,2.3349235363392773,-2.0092924332497253,0.00885880226473874
linear_gain,gain=2.0,fixed,variance_matched,0.9969873496197301,0.0024795134774782805,0.9945078361422518,0.3256311030895519,10.07496916698621,-9.749338063896657,0.017022142277466658
linear_gain,gain=2.0,fixed,identity,0.9969873496197301,0.008942892619513431,0.9880444570002167,0.3256311030895519,0.02297026998087829,0.3026608331086736,0.05172424423785671
linear_gain,gain=2.0,fixed,null,0.9969873496197301,0.996825297372485,0.00016205224724508138,0.3256311030895519,0.32556689618468065,6.420690487124459e-05,3.447867019362753
linear_gain,gain=2.0,fixed,shuffled_target,0.9969873496197301,0.9970549548946138,-6.76052748836975e-05,0.3256311030895519,0.3256548756989209,-2.3772609368977182e-05,3.4490469663535164
