alpha,q1_noise_std,L,tm_ei_mean,tm_ei_std,tm_syn_mean,tm_syn_std,tm_single_q2_mean,tm_single_q2_std,tm_single_q3_mean,tm_single_q3_std,tm_syn_ratio,tm_single_q2_ratio,tm_single_q3_ratio
0.0,0.0,2.0,6.516294803024015,0.007205702657839591,-0.0002503767865877915,1.740404807421496e-11,6.516545179810603,0.007205702667836113,0.0,0.0,-3.842318282954283e-05,1.0000384231828296,0.0
0.0,0.02,2.0,3.3617971011412466,0.00953739350503495,-6.682447012525399e-06,0.0002714157865643241,3.361801992861724,0.009377873115021787,1.790726535174092e-06,3.581453070348184e-06,-1.98776035896303e-06,1.0000014550909322,5.326694268866449e-07
0.0,0.05,2.0,2.4602896011218736,0.006187046586881182,-4.401415939673194e-05,0.0005041170025474647,2.460185895289076,0.006343896460894806,0.00014771999219412803,0.0002954399843882561,-1.788982865133512e-05,0.9999578481196887,6.004170896254198e-05
0.0,0.1,2.0,1.765680911918729,0.011669798014451392,-3.279021838520357e-05,0.00029287678491871484,1.765713702137114,0.011385580859698914,0.0,0.0,-1.857086303865126e-05,1.0000185708630387,0.0
0.0,0.2,2.0,1.1253342429303927,0.009492516250418364,-0.00022812072185514413,0.00031977081579297287,1.1253223840757471,0.009432434524240151,0.00023997957650064087,0.0002762611056798463,-0.00020271374774939155,0.999989461926783,0.00021325182096630177
0.0,0.4,2.0,0.56408909050219,0.018628701810163142,-1.7948162045909838e-05,0.00024048139422868295,0.5641001741248469,0.018432719330798944,6.8645393890165025e-06,1.3729078778033003e-05,-3.181795632659936e-05,1.0000196487094744,1.216924685231056e-05
0.0,0.6,2.0,0.3230551153539635,0.011544433374837858,-9.202780774688586e-05,4.241131349020175e-05,0.3230625659709482,0.011684712093251745,8.45771907621526e-05,0.0001691543815243052,-0.0002848672049227677,1.0000230629902782,0.00026180421464456143
0.0,0.8,2.0,0.20992072820868363,0.005842276543750443,-0.00017004720194874624,0.0003017623839812158,0.21004595526481612,0.005936983997252641,4.482014581623927e-05,8.964029163247853e-05,-0.0008100543638534883,1.000596544501351,0.00021350986250239786
0.0,1.0,2.0,0.14588650112881874,0.0032865898341398934,0.0002790716241266991,0.00028370016473660447,0.14547940602325535,0.00308438450298399,0.00012802348143669542,0.0001509695921232059,0.0019129365771839097,0.9972095080599409,0.0008775553628752111
0.5,0.0,2.0,3.9599190834526423,0.016934133963303004,3.228066955668796,0.010801732482827814,0.73175708751335,0.010136790920318576,9.504027049595773e-05,0.00019008054099191546,0.8151850802098344,0.18479091923144375,2.4000558721793976e-05
0.5,0.02,2.0,2.7574351764115383,0.010013393568719954,2.0155540765171045,0.014803447536311538,0.7417748745246022,0.006098928086519635,0.0001062253698314967,0.00013921901221499873,0.7309524785058046,0.2690089982423198,3.8523251875583857e-05
0.5,0.05,2.0,1.87311257100279,0.011788659924459509,1.1780213514621019,0.01329556295745937,0.6950652375876843,0.008421888361542259,2.5981953003753333e-05,5.1963906007506666e-05,0.6289111341724838,0.37107499482296147,1.387100455465078e-05
0.5,0.1,2.0,1.2310480224402092,0.011517987429718178,0.6129413269317058,0.009381423105515953,0.6179582057423105,0.00424798629926427,0.00014848976619288542,0.0001975981883740194,0.4979020442409067,0.5019773351468295,0.00012062061226380584
0.5,0.2,2.0,0.6483618657250443,0.010958803921737715,0.23980676654863192,0.013471902146734806,0.4082541142770308,0.009073165187520093,0.00030098489938158854,0.00020172044979871166,0.3698656247780134,0.6296701515911829,0.0004642236308037732
0.5,0.4,2.0,0.2564839055242851,0.007850804526531847,0.06421049907895272,0.0060079835754081575,0.192262404314543,0.00857759538957075,1.1002130789363837e-05,2.2004261578727674e-05,0.25034903826693705,0.7496080657440655,4.289598899733731e-05
0.5,0.6,2.0,0.1296425980710077,0.006413293637992738,0.03273115740196885,0.0007462439809176047,0.09659515736349339,0.005447295986631286,0.0003162833055454386,0.0004565085517602756,0.25247224206384217,0.7450881022191981,0.00243965571695967
0.5,0.8,2.0,0.08802295038897329,0.005088136839503853,0.021351106903279484,0.005186531413026406,0.06622403653741896,0.005428876397044121,0.00044780694827483537,0.000660474853025979,0.24256295442187492,0.7523496570471114,0.0050873885310135265
0.5,1.0,2.0,0.050095352627100756,0.004696541883720826,0.011965620522833603,0.0012683266690338305,0.03805312249397093,0.005116305500974794,7.660961029622783e-05,6.172629257956818e-05,0.23885689780253988,0.7596138264008311,0.001529275796629153
1.0,0.0,2.0,3.2429346872457803,0.025433894853994218,3.2426085427724187,0.025386084440641877,0.0001506871406681796,0.00025825357916291636,0.0001754573326933858,0.0003509146653867716,0.9998994292192672,4.646628908711016e-05,5.410449164562159e-05
1.0,0.02,2.0,2.6031663930190274,0.007586174640669829,2.6025906969615766,0.007577919917423574,0.00025635796593299757,0.0005127159318659951,0.0003193380915177842,0.000237905653812206,0.9997788477682431,9.84792853121025e-05,0.00012267294644482222
