label,center,series,series_kind,baseline,ei_mean,n_repeats
x^2,0.0,raw EI,raw,,3.1730288315316075,10
x^2,1.0,raw EI,raw,,3.9483718124726295,10
x^2,2.0,raw EI,raw,,4.560196472428497,10
x^2,3.0,raw EI,raw,,4.950753704522759,10
x^2,4.0,raw EI,raw,,5.229478097727528,10
x^2,5.0,raw EI,raw,,5.4497243458532765,10
x^2,6.0,raw EI,raw,,5.634727095640117,10
x^2,7.0,raw EI,raw,,5.782977534214281,10
x^2,8.0,raw EI,raw,,5.918147300193257,10
sin(x),-8.0,identity,baseline,identity,3.140999736024825,10
sin(x),-7.0,identity,baseline,identity,3.148683252915103,10
sin(x),-6.0,identity,baseline,identity,3.14252442482703,10
sin(x),-5.0,identity,baseline,identity,3.1408450101483556,10
sin(x),-4.0,identity,baseline,identity,3.1436969972696107,10
sin(x),-3.0,identity,baseline,identity,3.1389615052715802,10
sin(x),-2.0,identity,baseline,identity,3.1377676486344033,10
sin(x),-1.0,identity,baseline,identity,3.1458155092835294,10
sin(x),0.0,identity,baseline,identity,3.1464970230585445,10
sin(x),1.0,identity,baseline,identity,3.140371358443947,10
sin(x),2.0,identity,baseline,identity,3.139466425067299,10
sin(x),3.0,identity,baseline,identity,3.137910036509789,10
sin(x),4.0,identity,baseline,identity,3.141940451227641,10
sin(x),5.0,identity,baseline,identity,3.144962017425847,10
sin(x),6.0,identity,baseline,identity,3.140713636875856,10
sin(x),7.0,identity,baseline,identity,3.141296499347507,10
sin(x),8.0,identity,baseline,identity,3.1465505880950877,10
sin(x),-8.0,variance_matched,baseline,variance_matched,2.2228833183010783,10
sin(x),-7.0,variance_matched,baseline,variance_matched,2.5662146123819385,10
sin(x),-6.0,variance_matched,baseline,variance_matched,2.709166849264309,10
sin(x),-5.0,variance_matched,baseline,variance_matched,2.26777176515382,10
sin(x),-4.0,variance_matched,baseline,variance_matched,2.499063418153668,10
sin(x),-3.0,variance_matched,baseline,variance_matched,2.733860765302012,10
