dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,0.5,20260548,7,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,0.0031817657444829658,{}
identity,x,0.5,20260548,7,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,null,-0.0026123325525405122,{}
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,identity,1.0697387672024896,"{""projection"": [[1.0]]}"
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,gain_matched,1.1142744846943744,"{""gain_matrix"": [[0.9999999999999993]]}"
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,variance_matched,1.149550775512234,"{""direction"": [1.0]}"
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,-0.002150708845447654,{}
identity,x,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,null,-0.0028527092845452647,{}
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,identity,1.0800149830431454,"{""projection"": [[1.0]]}"
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,gain_matched,1.130206577869651,"{""gain_matrix"": [[1.0000000000000009]]}"
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,variance_matched,1.145680870576315,"{""direction"": [1.0]}"
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,shuffled_target,0.0028863258758611435,{}
identity,x,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,analytic_volume,-0.6931471805599453,"{""source_dim"": 1}"
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,null,0.0021402358009857915,{}
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7639106516984857,"{""projection"": [[1.0]]}"
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7695389684151857,"{""gain_matrix"": [[0.9999999999999999]]}"
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7527614055137128,"{""direction"": [1.0]}"
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,0.0010379724180156374,{}
identity,x,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,null,0.0005945480794564127,{}
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7930947565545852,"{""projection"": [[1.0]]}"
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7592391081728274,"{""gain_matrix"": [[1.000000000000002]]}"
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.778342072657772,"{""direction"": [1.0]}"
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,-0.001279323660500029,{}
identity,x,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,null,-0.0013640470231256246,{}
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.7788595774556002,"{""projection"": [[1.0]]}"
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,gain_matched,1.7508203774566182,"{""gain_matrix"": [[0.9999999999999984]]}"
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,variance_matched,1.7477585694786644,"{""direction"": [1.0]}"
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,shuffled_target,0.000623691133633766,{}
identity,x,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,analytic_volume,0.0,"{""source_dim"": 1}"
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,null,0.004143700184758955,{}
identity,x,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,identity,1.8191250988502172,"{""projection"": [[1.0]]}"
