beta,repeat,L,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
0.0,0,2.0,0.05,2.2705743023620175,-0.09851579933571442,0.0,2.369090101697732
0.0,1,2.0,0.05,2.250897699228871,-0.09255722501132313,0.0,2.343454924240194
0.0,2,2.0,0.05,2.2441733105186965,-0.10275638923802743,0.0003078017603828833,2.346621897996341
0.0,3,2.0,0.05,2.23753863439139,-0.09827511076155204,0.0003145168489755228,2.3354992283039664
0.2,0,2.0,0.05,0.9160991886996164,0.9158953457382133,0.0,0.0002038429614031118
0.2,1,2.0,0.05,0.8835631529155948,0.8832046221864607,0.0,0.0003585307291341262
0.2,2,2.0,0.05,0.9011936444757979,0.9011936444757979,0.0,0.0
0.2,3,2.0,0.05,0.9080632329569577,0.9077932752924536,0.0,0.0002699576645041462
0.4,0,2.0,0.05,1.0778540051060737,1.0770350526059842,0.0008189525000894194,0.0
0.4,1,2.0,0.05,1.064385413881837,1.064385413881837,0.0,0.0
0.4,2,2.0,0.05,1.0702330050386795,1.067944912318739,0.0015297401600996184,0.0007583525598408775
0.4,3,2.0,0.05,1.0837297055919022,1.0837297055919022,0.0,0.0
0.6,0,2.0,0.05,1.0598378761888056,1.0595260419613053,0.00031183422750038635,0.0
0.6,1,2.0,0.05,1.0786675071644432,1.0784990226783926,0.00016848448605054044,0.0
0.6,2,2.0,0.05,1.0943765014435338,1.0940686105787003,2.5985231623637526e-07,0.00030763101251726234
0.6,3,2.0,0.05,1.07128409690252,1.07128409690252,0.0,0.0
0.8,0,2.0,0.05,0.9234663974103392,0.9232857125404534,0.00018068486988579417,0.0
0.8,1,2.0,0.05,0.8968639305622655,0.8961969946543171,0.0006669359079484039,0.0
0.8,2,2.0,0.05,0.904895619057499,0.9034068908926052,0.0014324499767786026,5.6278188115311155e-05
0.8,3,2.0,0.05,0.8977293705918733,0.897570963636449,0.00015840695542433382,0.0
1.0,0,2.0,0.05,2.247919808078463,-0.11212324324564862,2.360038718277335,4.3330467766315165e-06
1.0,1,2.0,0.05,2.2327380457603883,-0.1011650075574253,2.333657378122675,0.00024567519513852274
1.0,2,2.0,0.05,2.2429841757335263,-0.10779339790819159,2.350628522202513,0.00014905143920467985
1.0,3,2.0,0.05,2.24356050100651,-0.0968594608028881,2.340419961809398,0.0
