L,alpha,q1_noise_std,tm_ei_mean,tm_ei_std,tm_syn_mean,tm_syn_std,tm_single_q2_mean,tm_single_q2_std,tm_single_q3_mean,tm_single_q3_std,tm_syn_ratio,tm_single_q2_ratio,tm_single_q3_ratio
1.0,0.0,0.05,1.7787971226403065,0.0029891452893572364,-0.00023953137721488592,0.0004253610297986615,1.7787474752402637,0.003123597644533878,0.0002891787772575931,0.0002949469244236857,-0.00013465918859782299,0.9999720893409311,0.00016256984766669673
2.0,0.0,0.05,2.4488798914620737,0.01408162171310082,-0.00024113548137340445,0.00030980217819031247,2.448896260289508,0.014132217161682392,0.0002247666539387948,0.0003495026630977814,-9.846766360984632e-05,1.0000066842099897,9.178345361993259e-05
4.0,0.0,0.05,3.141013950256119,0.02339867342251985,0.0003600596825260101,0.00069897082250976,3.140546035560665,0.023719761879534812,0.00010785501292836441,0.00021571002585672882,0.00011463167251984051,0.9998510306853569,3.433764212335634e-05
6.0,0.0,0.05,3.548319872007885,0.010772034607470433,7.798855803801478e-06,0.00026075417724459035,3.5482481109779522,0.01092784388971449,6.39621741288695e-05,0.000127924348257739,2.197901002478772e-06,0.9999797760538731,1.8026045124470492e-05
8.0,0.0,0.05,3.8375589100727643,0.01973854052884855,-0.0003408945524787299,0.0004773610966870214,3.837772986997202,0.019454816030434193,0.00012681762804097387,0.00021569875641627007,-8.883109301174642e-05,1.0000557846614095,3.304643160215859e-05
10.0,0.0,0.05,4.055086541225887,0.005831159258548633,2.8836750675884944e-05,0.0004334056746025473,4.055047317132904,0.006128119247610793,1.0387342307518186e-05,2.0774684615036372e-05,7.111254071329226e-06,0.9999903271872044,2.5615587243122074e-06
12.0,0.0,0.05,4.258794933296619,0.009411311557401342,-3.876130445745751e-05,0.0003222675686295911,4.258833694601076,0.009712134285650409,0.0,0.0,-9.101472379993989e-06,1.00000910147238,0.0
1.0,0.5,0.05,1.1414809890188733,0.015768296156915166,0.26164201293680867,0.012803538444981492,0.87955683562609,0.004790832685251311,0.0002821404559746174,0.0005642809119492348,0.22921276434195845,0.7705400651324797,0.00024717052556181684
2.0,0.5,0.05,1.8907507844048395,0.02135060999372456,1.1835058887137349,0.02346266256445614,0.7067603864253879,0.003455328559405238,0.0004845092657169023,0.0007601184226972159,0.6259449412770032,0.3737988064079308,0.00025625231506616223
4.0,0.5,0.05,1.104282079579064,0.009961163363027147,0.3821610032232674,0.021249078209380712,0.7221210763557966,0.012214594140108904,0.0,0.0,0.3460719052589729,0.6539280947410271,0.0
6.0,0.5,0.05,1.0073027510109354,0.00961280207888808,0.003064245314199271,0.0006920580352715951,1.004238505696736,0.009465778830339949,0.0,0.0,0.003042030125624074,0.9969579698743758,0.0
8.0,0.5,0.05,1.2502973946139797,0.007979098993993154,0.0011045864991062254,0.0011645302934634506,1.2490704563928503,0.008788722296854585,0.00012235172202317796,0.0001497353849703011,0.000883459010523859,0.9990186828938341,9.785809564207976e-05
10.0,0.5,0.05,1.4362507720617552,0.004855336664868833,-0.0003157767728075041,0.0007342746625673926,1.4362257030662806,0.005271361787286853,0.0003408457682823348,0.00011589485421145012,-0.00021986186462006406,0.9999825455303751,0.0002373163342450613
12.0,0.5,0.05,1.6194714575333196,0.010960499387333225,-0.00019469014630379977,0.00016120952013132776,1.6196661476796232,0.010930873038518897,0.0,0.0,-0.00012021832518143911,1.0001202183251814,0.0
1.0,1.0,0.05,0.670540082141863,0.002904389519052336,0.6703730038812422,0.0028655866736327995,4.2998404241223995e-05,6.71261173803038e-05,0.0001240798563795698,0.00021520001457852925,0.9997508303156358,6.412503202474782e-05,0.0001850446523393941
2.0,1.0,0.05,1.8174985918630069,0.017966705031425716,1.81728946241814,0.017925959252221388,0.0,0.0,0.0002091294448668667,0.00031636683571975485,0.9998849355670463,0.0,0.00011506443295370087
4.0,1.0,0.05,0.4019624427629411,0.015565363952579089,0.4015302331889325,0.015217089292770112,4.7858406960668176e-05,9.571681392133634e-05,0.00038435116704794563,0.00038814007365340784,0.9989247513498084,0.00011906188705518654,0.0009561867631365208
6.0,1.0,0.05,0.0019232415511510437,0.001580558978166943,0.0016033484534122926,0.0012252295251019257,8.632111131109072e-05,0.00017264222262218146,0.00023357198642766027,0.00030270027687217085,0.8336698281360978,0.04488313558919745,0.12144703627470477
8.0,1.0,0.05,0.00042140487926789277,0.0003063253916093236,0.0003621668547881102,0.00025762504543472737,5.9238024479782484e-05,0.00010074444924346515,0.0,0.0,0.8594272933367624,0.14057270666323746,0.0
10.0,1.0,0.05,0.00018825019603140448,0.00022230661863541416,-2.42191323090501e-05,7.150554799013061e-05,2.4968247069944397e-05,4.99364941398888e-05,0.00018750108127051017,0.00025676247061282937,-0.1286539553191742,0.13263331245497942,0.9960206428641947
12.0,1.0,0.05,0.0,0.0,-0.00012052061954288346,0.0001841490537127134,9.718580190165138e-05,0.00019437160380330275,2.3334817641232075e-05,4.666963528246415e-05,,,
