alpha,L,q1_noise_std,tm_ei_mean,tm_syn_mean,tm_syn_ratio,tm_single_q2_ratio,tm_single_q3_ratio,shap_mean_abs_q2_mean,shap_mean_abs_q2_std,shap_mean_abs_q3_mean,shap_mean_abs_q3_std,shap_pair_interaction_mean,shap_pair_interaction_std,shap_interaction_share_mean,shap_interaction_share_std,model_r2_mean,model_r2_std
0.0,2.0,0.05,2.44742364996382,0.0004371590569091,0.0001786200999224,0.9998002096563322,2.117024374523058e-05,0.5101851543721112,0.0079604962379161,0.0045308822349025,0.0002739645857064,0.0042726318642033,6.617206043586515e-05,0.0082326444292823,4.169837933016084e-06,0.991930603833428,6.010169795351915e-06
0.2,2.0,0.05,2.2293652622940483,0.4689214253606978,0.2103385359464025,0.7895994699500317,6.199410356583745e-05,0.3929964670569925,0.0090945019194926,0.0230338125022204,0.000443066862989,0.0229967441678139,0.0003521285208135,0.0523854159841391,0.0003779890016063,0.9862038569248353,0.002528662274594
0.4,2.0,0.05,1.999370693598888,0.9884541990310776,0.4943826586013671,0.5055617262707809,5.561512785190996e-05,0.3022270915377455,0.0019338440500108,0.0479243767810241,0.0018812583113957,0.0481278309254239,0.0011936538043728,0.1208301081079534,0.0014774688428245,0.9788884392718272,0.0007719585347394
0.6,2.0,0.05,1.7792753265367858,1.336125711549492,0.7509381440983345,0.2489689388221438,9.29170795216648e-05,0.2038648330289784,0.0136267266730946,0.0723603535845065,0.0038864357907309,0.0720792377261946,0.0032697773953848,0.2070316946187577,0.0029656524311613,0.968599444747821,0.0017835157685313
0.8,2.0,0.05,1.7156633634325265,1.6188344508037151,0.9435618229702792,0.0563352184226663,0.0001029586070546,0.1197491285054573,0.0019397022008213,0.0954387305702754,0.004805902223848,0.0955946917379265,0.0049144295205062,0.307513288831627,0.004275703802089,0.9596978572022457,0.0026007272534903
1.0,2.0,0.05,1.813023250567604,1.812666879950944,0.9998034384740804,3.15868147626934e-05,0.000164974711157,0.1143677825309003,0.0016232804123692,0.1158396472545986,0.002497050288597,0.1145866511629752,0.0019617786670106,0.3323351021778603,0.0001726241096981,0.961555307794918,0.0053674210951735
