alpha,q1_noise_std,repeat,L,tm_ei,tm_syn,tm_single_q2,tm_single_q3
0.0,0.0,0,2.0,6.520876388992925,-0.00025037680864414824,6.5211267658015695,0.0
0.0,0.0,1,2.0,6.514413999238827,-0.00025037676723638214,6.514664376006063,0.0
0.0,0.0,2,2.0,6.506957203805757,-0.0002503767805404067,6.5072075805862974,0.0
0.0,0.0,3,2.0,6.522931620058549,-0.00025037678993022894,6.523181996848479,0.0
0.0,0.02,0,2.0,3.3527188414677873,5.4535053262554366e-05,3.352657143508384,7.162906140696368e-06
0.0,0.02,1,2.0,3.362570923771963,-0.00024982163718378914,3.362820745409147,0.0
0.0,0.02,2,2.0,3.3571348376259738,-0.00018179263470852192,3.3573166302606823,0.0
0.0,0.02,3,2.0,3.3747638016992623,0.00035034943057965506,3.3744134522686826,0.0
0.0,0.05,0,2.0,2.4659046394272677,-0.0007946406063658241,2.466108400064857,0.0005908799687765121
0.0,0.05,1,2.0,2.4637597034760135,0.00020626976314552792,2.463553433712868,0.0
0.0,0.05,2,2.0,2.459619916052716,0.0001314964333687385,2.459488419619347,0.0
0.0,0.05,3,2.0,2.4518741455314967,0.0002808177722646299,2.451593327759232,0.0
0.0,0.1,0,2.0,1.780947456349245,0.0003784225471292757,1.7805690338021156,0.0
0.0,0.1,1,2.0,1.7603568371929401,-0.00010991537624471803,1.7604667525691848,0.0
0.0,0.1,2,2.0,1.7676994215053583,-8.477112606075643e-05,1.767784192631419,0.0
0.0,0.1,3,2.0,1.753719932627372,-0.00031489691836461553,1.7540348295457366,0.0
0.0,0.2,0,2.0,1.137597946821819,-0.0002421122039594032,1.1374115317817373,0.00042852724404105874
0.0,0.2,1,2.0,1.1231715291646878,-4.288699159493703e-05,1.1232144161562827,0.0
0.0,0.2,2,2.0,1.1146166132492061,4.513896556589025e-05,1.1145651024450136,6.371838626632487e-06
0.0,0.2,3,2.0,1.1259508824858577,-0.0006726226574321265,1.126098485919955,0.0005250192233348722
0.0,0.4,0,2.0,0.5541421176205245,3.964628667074699e-05,0.5541024713338537,0.0
0.0,0.4,1,2.0,0.543360845870603,-0.0003122531738796175,0.5436730990444826,0.0
0.0,0.4,2,2.0,0.5748441937412124,-6.624430870134184e-05,0.5748829798923577,2.745815755606601e-05
0.0,0.4,3,2.0,0.5840092047764202,0.000267058547726573,0.5837421462286936,0.0
0.0,0.6,0,2.0,0.3206290056593857,-6.348543212325586e-05,0.32069249109150894,0.0
0.0,0.6,1,2.0,0.31908404403604346,-8.391562964438215e-05,0.31916795966568784,0.0
0.0,0.6,2,2.0,0.33962727022657985,-0.0001541951675344544,0.3397814653941143,0.0
0.0,0.6,3,2.0,0.3128801414938449,-6.651500168545105e-05,0.31260834773248175,0.0003383087630486104
0.0,0.8,0,2.0,0.20802298546324097,-0.00030628452355335734,0.20832926998679432,0.0
0.0,0.8,1,2.0,0.21829186927134697,-0.0003138607748758848,0.21860573004622286,0.0
0.0,0.8,2,2.0,0.2086546523696581,0.0002820074152980745,0.20837264495436003,0.0
0.0,0.8,3,2.0,0.20471340573048843,-0.00034205092466381724,0.2048761760718873,0.0001792805832649571
0.0,1.0,0,2.0,0.15013436406899475,0.0005072516414039996,0.14962711242759075,0.0
0.0,1.0,1,2.0,0.1467495215631535,0.0005213362869048948,0.14593461894477142,0.00029356633147717924
0.0,1.0,2,2.0,0.14280412967817466,0.00014394914624363264,0.14266018053193102,0.0
0.0,1.0,3,2.0,0.14385798920495205,-5.625057804573057e-05,0.14369571218872818,0.00021852759426960238
0.5,0.0,0,2.0,3.9387857314442756,3.2128637250301226,0.725541845332169,0.0003801610819838309
0.5,0.0,1,2.0,3.978119604351124,3.236972778198639,0.7411468261524852,0.0
