region_index,region,whole_ei_to_target,singleton_ei_sum_to_target,raw_target_burden,target_burden,target_noise_variance,target_signal_variance,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
8,ctx-lh-middletemporal,1.4570741345402707,0.7347600119831977,0.722314122557073,0.722314122557073,0.022640405966964115,0.39469258960438003,0.008309634449456732,0.0017575104061848053,1.2166004951446002e-05,0.5828078006396377,0.11969288320500011,5,74,11,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
70,ctx-rh-superiorfrontal,1.3347095453805713,0.6194305211632649,0.7152790242173064,0.7152790242173064,0.036497589993620044,0.49022042087784845,0.007408047941961524,0.0024861003798747686,1.5455100569743854e-05,0.48573838685632276,0.17105451211223546,10,58,3,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
17,ctx-lh-supramarginal,1.4471777969998525,0.7433900067111591,0.7037877902886934,0.7037877902886934,0.02824949692031772,0.4822712327096455,0.006858974500706267,0.0016839732556271463,9.63035522183303e-06,0.4504504956474516,0.11564529592434859,13,75,21,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
58,ctx-rh-supramarginal,1.3647477349755077,0.6650501779340006,0.6996975570415072,0.6996975570415072,0.02463624813723141,0.3529180256076997,0.008103045624846997,0.0021417677079841406,1.4431624983787042e-05,0.5592426204011374,0.1455523740269246,7,68,5,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
49,ctx-rh-middletemporal,1.3529604961021777,0.6552720269752795,0.6976884691268982,0.6976884691268982,0.034936054957165716,0.4879901640491661,0.005610769416620267,0.002180126243881524,1.0244223394924994e-05,0.38721634261504007,0.14937241191057166,20,67,18,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
19,ctx-lh-isthmuscingulate,1.1965125109710577,0.504231280864629,0.6922812301064287,0.6922812301064287,0.08002675558319322,0.7959907247816804,0.0020291890728104767,0.004017386566950936,6.805486290910938e-06,0.1395673532606909,0.27459796516751245,47,25,40,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
6,ctx-lh-fusiform,1.388382943016705,0.6986326499141666,0.6897502931025383,0.6897502931025383,0.029675137393125658,0.4471145355624212,0.007062686909018646,0.0018999674282654793,1.1190012077844609e-05,0.4834618814343476,0.13013316176681375,12,73,14,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
56,ctx-rh-precuneus,1.241561306429121,0.5638682365310846,0.6776930698980365,0.6776930698980365,0.043987804159319514,0.48292497487131286,0.005582259287673325,0.0029969978804481622,1.3890688658462588e-05,0.37444834470993893,0.20421058054711955,21,47,8,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
29,ctx-lh-superiorfrontal,1.2630061042569998,0.5868341869049867,0.6761719173520131,0.6761719173520131,0.03780698873294133,0.4349143982898246,0.006198729525640121,0.002739549248469604,1.4078456134438329e-05,0.4317386858226761,0.18562993210304157,15,51,7,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
53,ctx-rh-transversetemporal,1.1696748827582713,0.49444961965263057,0.6752252631056407,0.6752252631056407,0.0716816055701767,0.6719783884325773,0.002333636164525473,0.004192046199619224,8.212982222086203e-06,0.16078507671303024,0.287367342875641,41,22,30,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
33,ctx-lh-insula,1.3405944418380362,0.6715130470549298,0.6690813947831065,0.6690813947831065,0.02484191081697225,0.3379106904789021,0.00843352677557636,0.0020572870546832836,1.4289581178537465e-05,0.5618747518071229,0.13935708840567212,4,70,6,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
66,ctx-rh-parsopercularis,1.1900599580165714,0.524907880058091,0.6651520779584804,0.6651520779584804,0.06758352197627446,0.6627374401216853,0.002837867735984838,0.003550956380516664,8.269139752221158e-06,0.19968198100552353,0.23823099972916895,33,38,28,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
10,ctx-lh-superiortemporal,1.4428231047982565,0.7802627675360789,0.6625603372621776,0.6625603372621776,0.021099075135458913,0.3568938264901972,0.010408141335500885,0.0015100354049282433,1.2862386366512534e-05,0.7214122026876597,0.1010464075702587,1,80,9,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
68,ctx-rh-precentral,1.273399556756969,0.6223426344886032,0.6510569222683658,0.6510569222683658,0.023572733391389565,0.2773609118746101,0.009567066367673729,0.002370316927346392,1.8696465631714818e-05,0.6365162314466394,0.16082486908245586,2,62,1,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
74,ctx-rh-insula,1.4132218564103045,0.7702495458833692,0.6429723105269353,0.6429723105269353,0.02593005341733923,0.41190680535146246,0.007885610284652317,0.0015293455346793476,9.843437919934042e-06,0.5454298753157971,0.10238273121910471,9,79,19,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
7,ctx-lh-inferiortemporal,1.2475619976027421,0.6070565971082039,0.6405054004945382,0.6405054004945382,0.03984949419077406,0.4432553542116458,0.005800754404110272,0.0024589932517283058,1.1953251853123716e-05,0.38885432365687816,0.16857395277312887,19,59,12,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
55,ctx-rh-postcentral,1.271126090627357,0.6314828621400491,0.6396432284873078,0.6396432284873078,0.031703178927633385,0.37118906392865103,0.007992278081222718,0.002291167786070386,1.5050217618107692e-05,0.5166819493549117,0.15523686324688532,8,64,4,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
54,ctx-rh-inferiorparietal,1.2406033295883365,0.6057493378075943,0.6348539917807422,0.6348539917807422,0.03980494949146606,0.4360903746665293,0.005379730466913536,0.0024485611688692434,1.1061643502162926e-05,0.3584573459987523,0.16816929587303917,23,60,15,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
47,ctx-rh-fusiform,1.2195506811748142,0.5877507212190415,0.6317999599557728,0.6317999599557728,0.06110352333929861,0.6393099886140508,0.003862259533904745,0.0026223655941697496,8.485661431058922e-06,0.2713985902536446,0.1794253652741678,29,54,27,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
51,ctx-rh-superiortemporal,1.4297114130250783,0.8084080091550705,0.6213034038700078,0.6213034038700078,0.028502768414505112,0.4689119123587043,0.009519678980455729,0.001335342395385131,1.0578065221856235e-05,0.642242057606816,0.09071503915729005,3,83,17,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
63,ctx-rh-paracentral,1.1769460959361646,0.5580883199384691,0.6188577759976955,0.6188577759976955,0.05443221728575109,0.5185464006087397,0.0036697873546289355,0.0028931189111579014,8.877841766801831e-06,0.25832161093600703,0.19745567415858903,31,48,26,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
26,ctx-lh-parstriangularis,1.1251727200348167,0.5081336251691337,0.617039094865683,0.617039094865683,0.04634638056137251,0.3935277590878879,0.004952506508624452,0.003649457619378016,1.5530134960719892e-05,0.34188502895239187,0.25621228446610544,24,36,2,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
40,Left-Amygdala,1.134210659525731,0.5238373487499655,0.6103733107757656,0.6103733107757656,0.06815502688114261,0.5905041618841227,0.0027153211661807074,0.0033452539954753275,7.55427848684819e-06,0.18572588483645391,0.22882054484180592,35,41,34,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
28,ctx-lh-rostralmiddlefrontal,1.3317525454014691,0.7229813535425632,0.6087711918589059,0.6087711918589059,0.041473391537813875,0.5535240732288069,0.0059306330450576,0.001669747095385025,8.238595815865461e-06,0.40921954016758166,0.11372250010343644,16,76,29,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
69,ctx-rh-rostralmiddlefrontal,1.145038010520632,0.5369408990244324,0.6080971114961995,0.6080971114961995,0.04851881554809108,0.4306378889607144,0.004143433481420777,0.0031777996470227473,1.0865934729317194e-05,0.2868462834402069,0.2149297551663977,26,44,16,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
64,ctx-rh-caudalmiddlefrontal,1.1970258060773646,0.5957049125916383,0.6013208934857264,0.6013208934857264,0.043950644923936785,0.43765177089409985,0.005551838596086642,0.002534327641454691,1.1392475616070654e-05,0.37931291917724674,0.16852091613201356,22,56,13,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
0,ctx-lh-cuneus,1.0252027938577788,0.4528008088318096,0.5724019850259692,0.5724019850259692,0.28368578554343954,1.9208512936805737,0.0006432046410714282,0.005379013782817957,2.916357338426248e-06,0.0425547702422565,0.37114726566021944,78,3,69,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
4,ctx-lh-bankssts,1.1739557332678194,0.6017998512965088,0.5721558819713106,0.5721558819713106,0.0606507538281605,0.5739801213887352,0.004094670992644943,0.0023534541437265884,8.032760010654156e-06,0.27734047662975503,0.1602397012503145,27,63,31,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
14,ctx-lh-postcentral,1.3029154864452153,0.7309654780569994,0.5719500083882159,0.5719500083882159,0.03144480743508059,0.3943956814883447,0.006796904909031048,0.0015793070430841821,8.902112683911729e-06,0.4458623881731331,0.10736540394524957,14,77,25,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
25,ctx-lh-parsopercularis,1.3037970586758572,0.7348374184154507,0.5689596402604065,0.5689596402604065,0.040814087087461974,0.5128850198460175,0.005811342000728799,0.0015689623443236103,7.5178191369191775e-06,0.3897783698420116,0.10581406102099777,18,78,35,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
13,ctx-lh-inferiorparietal,1.1506307328625345,0.5829021167258114,0.5677286161367231,0.5677286161367231,0.0820557749416909,0.7374165803494176,0.002547818359990558,0.002494643723483902,5.3733027855145786e-06,0.16808559709664153,0.1721497558290858,37,57,45,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
27,ctx-lh-precentral,1.3386315345542124,0.7747089132570214,0.563922621297191,0.563922621297191,0.03044382045375415,0.41236853431291703,0.00819179159871814,0.0014027074628525905,9.396907690654804e-06,0.544659355725976,0.09465649213455733,6,82,22,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
31,ctx-lh-medialorbitofrontal,1.043111068639657,0.4838897494784698,0.5592213191611872,0.5592213191611872,0.10824400581403476,0.763599663115716,0.0021548650251939404,0.0038705322176145834,6.9261175712907525e-06,0.14100290123671164,0.2647696737585691,44,30,38,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
78,Right-Hippocampus,1.1953635924176242,0.6365294691026296,0.5588341233149946,0.5588341233149946,0.052384403726951266,0.5197283495459102,0.00432979220145416,0.0020835077415606376,7.4030328086556015e-06,0.29305165358291807,0.14025242637039473,25,69,36,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
23,ctx-lh-caudalmiddlefrontal,1.1263316476294318,0.5678598206083701,0.5584718270210617,0.5584718270210617,0.04453694627908356,0.37914472307224156,0.00590433653839312,0.002628760277306338,1.2841452538108626e-05,0.4059992335097322,0.178024351759747,17,53,10,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
41,ctx-rh-cuneus,1.0046952199040349,0.4509593691253809,0.553735850778654,0.553735850778654,0.24469682950937402,1.5804403928601676,0.0006511500270472382,0.004846189122679921,2.6713951745104348e-06,0.04522590843340697,0.3349660713586227,77,9,75,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
