source_region,module,ctx-lh-caudalanteriorcingulate,ctx-lh-frontalpole,ctx-lh-fusiform,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-middletemporal,ctx-lh-posteriorcingulate,ctx-lh-rostralanteriorcingulate,ctx-lh-superiortemporal,ctx-rh-caudalanteriorcingulate,ctx-rh-frontalpole,ctx-rh-fusiform,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-middletemporal,ctx-rh-posteriorcingulate,ctx-rh-rostralanteriorcingulate,ctx-rh-superiortemporal,ctx-lh-paracentral,ctx-lh-postcentral,ctx-lh-precentral,ctx-lh-transversetemporal,ctx-rh-paracentral,ctx-rh-postcentral,ctx-rh-precentral,ctx-rh-transversetemporal,ctx-lh-cuneus,ctx-lh-lateraloccipital,ctx-lh-lingual,ctx-lh-pericalcarine,ctx-lh-precuneus,ctx-rh-cuneus,ctx-rh-lateraloccipital,ctx-rh-lingual,ctx-rh-pericalcarine,ctx-rh-precuneus,ctx-lh-bankssts,ctx-lh-inferiorparietal,ctx-lh-superiorparietal,ctx-lh-supramarginal,ctx-rh-bankssts,ctx-rh-inferiorparietal,ctx-rh-superiorparietal,ctx-rh-supramarginal,ctx-lh-caudalmiddlefrontal,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-rh-caudalmiddlefrontal,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-lh-entorhinal,ctx-lh-insula,ctx-lh-lateralorbitofrontal,ctx-lh-medialorbitofrontal,ctx-lh-parahippocampal,ctx-lh-temporalpole,ctx-rh-entorhinal,ctx-rh-insula,ctx-rh-lateralorbitofrontal,ctx-rh-medialorbitofrontal,ctx-rh-parahippocampal,ctx-rh-temporalpole,Brain-Stem,Left-Accumbens-area,Left-Amygdala,Left-Caudate,Left-Hippocampus,Left-Pallidum,Left-Putamen,Left-Thalamus-Proper,Right-Accumbens-area,Right-Amygdala,Right-Caudate,Right-Hippocampus,Right-Pallidum,Right-Putamen,Right-Thalamus-Proper
ctx-lh-caudalanteriorcingulate,DMN,0.0,2.5822575865062464e-05,0.00019072034426991451,0.0006423973092279351,1.7684944345949814e-06,0.0014549501968459924,0.000220728027086229,0.0011547471425198863,3.616740083009559e-05,2.1705598456572513e-05,0.0018767636813309257,0.000990385503418346,0.0017959454686051392,0.004634104370100395,0.0008420751223201804,0.0019329809476840974,0.0008948052544164673,0.0006064335277992322,6.912691145927751e-05,1.4833328161517356e-05,0.0007985817718706181,7.228642262560708e-05,0.0006878420258820134,3.4055981054374896e-05,0.0002271898136024042,2.9893504137137796e-06,0.0006994379064421307,0.0010094957501516056,0.0037003919200191463,0.0021337003736984807,0.002744690250319935,5.814344635082522e-05,0.00011816727396571517,0.0020825779841984015,3.093719395987012e-08,0.0005279365579359823,0.002753913001557516,4.563405419477778e-05,0.001858724663174332,0.0006400615169547053,0.0018274505079015854,6.561584285170832e-05,0.0013296771125410538,0.00011241778390278184,3.000633485167528e-05,0.0002578222654776429,0.0023050724589379094,0.0008396156691838288,6.408037452821177e-05,4.322243761196754e-05,0.00017222074534134846,0.0002846569913031663,0.002801546371415945,1.2282170202494505e-05,8.964647344535275e-05,8.433330543586053e-05,8.753382736200679e-06,0.001645015417941667,0.00024216399886563852,0.00011751835558102722,0.0011581705622035763,0.00027901650316073165,0.003093557856848626,0.00038788262693367624,0.0003892401839119697,0.0022373831966600124,0.007023696055144217,0.001192483248994538,0.002183433944212291,6.565394431301644e-05,0.0008088996080605487,0.0021916943409174727,7.773893143715621e-05,2.2044913530202976e-05,0.0008014331186969537,0.0012462460677354259,3.978469268107858e-06,7.287558028711137e-05,0.00020016735252377553,0.0008789904174843904,0.0012888909080503354,4.3002148912667746e-05,0.0004873354230450793
ctx-lh-frontalpole,DMN,7.723527796257413e-05,0.0,6.534713177386688e-05,0.00014159238314412036,0.00022173795080082204,0.0004123616184788666,0.0007699157986152428,8.395280584221579e-05,0.0005318078941047784,0.00031761604277025544,0.0027904748827210367,0.0003896110107425571,1.3365381700356938e-05,0.00020728508041843605,0.00024134850648693416,5.200592543526356e-05,0.0007682196668436819,7.873582908671639e-05,2.2108366428626417e-05,0.00010534497733085143,0.0001737076882100783,5.515160423137659e-06,0.0004620714344567031,0.002757784458479291,2.7655189571658673e-06,0.0010569196450846046,8.801891828161779e-05,0.0006822262415657694,0.0007196766489637114,2.328734247338068e-05,0.0004282330205485257,0.0009464585363734812,7.290518855630839e-05,7.776280223672883e-05,0.000272433166050591,0.0006950701789891806,0.001888806157457367,0.0017233897260259248,0.0005826099134578964,0.0001215528910910861,0.0019251870596349752,0.0003091547228252808,0.0012693604166081095,0.00017124036428922337,0.0003186511619128294,1.991695299003703e-05,0.00031592549353239447,1.1311628185767609e-05,0.0007795283126733453,5.3225533051874775e-05,0.0019532987187636614,0.0010020571336108721,0.00011212313797077715,0.00039998817861808874,7.158953856114876e-07,1.8221849761120602e-06,5.2333704591692705e-05,5.83327074767144e-05,0.00023607462381755628,5.6482162084197246e-05,9.095768629263939e-06,6.713659953485551e-06,0.00037106079651877605,0.0004037413502110226,0.0002172257597308232,0.002744153867463602,0.00065972856249756,3.1320517320572974e-05,0.00028247906456708034,0.0019649061181974425,0.0003563869038003298,0.0005004855651129139,4.687009350627416e-05,4.050209447907116e-06,0.002687689708836218,0.00013636866759460516,2.0654509401584874e-05,3.944008755779067e-05,4.245253919334811e-05,0.0008301348560057832,0.0007544024739801208,0.00015071979734390488,1.7499265920591384e-05
ctx-lh-fusiform,DMN,0.013584882690289842,0.001188724410818057,0.0,0.0007917713140328243,0.0011182092728895757,5.916325626786033e-05,8.599351939966728e-05,0.017635348998197253,2.536185370213123e-06,0.00446728122285864,0.02784591455901602,0.0016376283700243975,0.029901589210986516,0.001394711688850754,0.003221765212937689,0.0163870142686398,0.0008750130192192786,9.487445503066458e-05,0.0007300242148588548,0.001488987775954231,0.00042015848103163766,0.0029293196974169156,2.851640511283042e-05,0.0022182062705914268,0.0004919757574371391,0.00879850759066773,0.0057019458669119874,3.4885571147228706e-06,0.0050526130593715095,0.00170014948353914,0.0022623587622398324,0.006289823324266587,0.01065431609441978,0.00019571650143542307,0.007804891503361062,0.014113258969006136,0.0012134495381452995,0.004972190821459012,0.0002769985963833102,0.007218950305116619,0.029882620064440056,0.0003862433801409454,0.0013666461688478719,0.000884305044137556,0.01143850939089834,0.0003316388677958756,0.00011522775126848274,1.8050629903323988e-05,0.017651484292909893,0.00870478341104871,0.008278240267545837,0.00024825133484834925,0.010729147666055594,0.0015289017027186344,0.0030875461184540053,9.136908687035245e-06,0.003583283263517979,0.008506954177293385,0.0041783110434436485,0.0012404542972874895,0.008891041126127652,0.009815581372256884,0.0028031948609675435,9.491302669144948e-05,0.0066563936134811375,0.00020422995014031714,0.003912820625386281,2.7430925602860097e-06,0.0002603459464477427,3.3096765761676096e-06,0.003240620622822799,0.0050084925592143925,0.00014136868441720537,0.028645580373710334,0.014600962391805876,0.0003163598620828192,0.003168628992509889,0.0044276671791607025,0.047923053569211504,0.004286270073142496,0.00642074654593676,0.012375201951383023,0.0032343503264010615
ctx-lh-inferiortemporal,DMN,0.007585675385074886,0.0016186427153758141,0.0021219666325414063,0.0,0.000250601039698584,2.9533753228627284e-05,0.007470202756219647,0.0021046500297111186,0.0043713785306489054,0.01048620484714044,0.009027848671874077,0.0002606285847369863,0.0010823983236334916,0.024934527189071645,0.007641451112666559,0.0012915700222545453,0.0002758866490585875,0.0014869481267845504,0.00023659699032420493,0.00224842598702837,0.000701346614905961,0.007175531002025865,0.0011960116893664438,0.008198431610855914,0.00024532233983019997,0.00012098109286536264,0.0036224263206111403,0.0015468082256359752,0.0008396667080758296,1.702235068240718e-05,0.000256567169368864,0.00798970096401146,2.788201862829179e-05,0.017391510507194858,0.013373893694032886,0.019386790570709616,0.007554178296878016,0.004601143349443362,9.780719666119538e-05,0.0003056769366095438,0.0005781815326289564,0.014691613193333192,0.00019277668468247665,0.0002230601529456689,0.002540579804771902,1.4663729890926672e-05,0.026808979722488236,9.164423153781428e-06,0.0073339638277123914,0.00027234501564964614,0.00636085942888875,0.015853862125937764,0.0017135359093842495,0.011428178411238409,0.0014618596669178714,0.001046370940958881,0.0005747759606771826,0.000956435274640121,0.0007154682869418926,0.017254001363995557,0.00026277422690858715,0.013427877645532646,0.0007875916369990769,0.00571999300964966,0.0038616049896279046,0.004684446927997239,0.020138697902631123,0.0005494801092401261,9.239619064931169e-05,0.0034922765509828287,0.0024380987189427925,0.004868079023980027,0.0015761423290967672,7.641892264940989e-05,0.001926139774684085,0.0008143212985216927,0.004383689796810262,0.0019417469794443727,0.0007818345560921425,0.003997408855899682,1.200170888514958e-07,0.009310064619223476,0.014518608111922586
ctx-lh-isthmuscingulate,DMN,6.409106850584609e-05,0.002443261821465101,0.001315096098177173,4.0533642273908835e-05,0.0,0.0007301495914364412,0.003045837659555849,0.0007710742102102672,0.0006458122024693882,0.00038479107858046857,0.0003216585428763705,2.273436655572023e-05,0.0031784203572723956,0.0004910276008163481,5.012207767148923e-05,5.897858191278443e-05,0.0014956319563133329,0.0001939448353536511,0.0006590950372250294,8.2487523591123e-06,8.495908301163126e-05,0.000576861272912025,0.00047769240188267806,0.0003165822267029948,0.0010540043404089253,0.003367710242235197,7.163178476268733e-07,0.006162401359858119,0.01194624173638819,0.0004508137262162349,4.483722117459884e-06,0.00024559240999504235,0.00562394296455478,0.0024841276068167336,0.0042990319592317704,0.002217531722454923,0.0014146775765189823,1.8161270816626555e-05,0.00019117631140373511,0.0006049627670087855,0.0050089702175411446,2.294812306247373e-05,0.00507946921519762,0.0002515748045629609,0.004497607434243517,0.0006056476042131865,0.005902135897967237,0.00011670752154616176,2.7097542273601855e-05,0.0007313029499481365,0.006375348540873568,8.803792372677567e-07,0.0022152889809012298,1.1954666974379063e-05,0.0006741864439665938,0.00011752921272525735,0.0021401910827463957,8.651690215979981e-05,0.0001204531256007409,0.00019891893329282822,0.0006077081311023177,0.00018007720381793757,0.002063256620478082,0.0011205577551478135,0.009393426859324613,0.012393255418500974,0.001672009859680791,0.0031235693929643317,0.0005440815897222776,4.906300668618483e-06,1.5384503647332676e-09,0.00395110179456848,9.070065114644148e-05,0.00042515295605348793,2.8252872288544463e-06,0.005961750929927553,0.0008330032988669,0.0007929359470430475,0.002198960854659528,0.0002850922184280184,4.53528792286781e-05,0.0006328429369308149,0.0015978727583037266
ctx-lh-middletemporal,DMN,0.01080073217842592,0.0006081290071350657,0.00045264870515420374,0.004231127559554348,0.012082211007583873,0.0,0.0006595784301206512,0.0007322604447139911,0.00027028123934193373,0.016342941782680292,0.008391838376437774,0.001042774924551721,0.0003641632524566285,0.006920222661747081,0.00785408347927453,0.0001667168873307223,0.03189835251924932,0.004469819886436664,0.006017360302245896,0.011464334497850911,0.0006840570077061123,0.014371582742396924,0.009045890900183312,0.007873791870076367,0.00014287961883193489,0.0035625000332819355,0.0008258150483802745,0.0016876447491917875,0.006994406200899042,0.004584608868661837,0.0021240032414912586,0.00115657919128406,0.0003313854941373032,0.005040709111502582,0.0008449602954612439,0.0003588634149574807,0.0018119105089428988,0.0004520447365879624,0.010009872496355675,0.005943331854285403,0.006181104318384152,0.0152263730998582,0.005601057795549212,0.001198365253307274,0.004210990429718197,0.0014210690707859856,0.017334024888782936,0.014051489126199525,0.0026686021014094515,0.002495050404380757,0.007830717286822018,0.004991568112582124,0.0006598112286267192,5.9081555344732025e-05,0.00033115559225767516,1.0950786573009918e-05,0.0001711702412009866,9.999746420950315e-05,0.0025179493183064153,0.007566404530600447,0.0009153192537776631,0.007630338525862971,0.003918746251577666,0.00014444348897114012,0.0073016955175413826,0.0007430733945616305,0.004338755874040259,0.08419476713559293,0.0005681695188641785,0.002789212630071035,0.001977180873202024,0.0032057493027283844,0.0025311522636605943,0.007003976898689883,0.0003768479074625127,0.05712313482498753,0.0010266410826856062,0.002676201047609027,0.009425914636897305,0.004764546022322296,0.011042798320407202,0.07180226581729056,6.352291902760763e-05
ctx-lh-posteriorcingulate,DMN,0.0007611907710368607,0.0001113516652236693,0.0017981880433447345,0.0012397019121329332,0.0025685527143071356,7.878279403506968e-05,0.0,1.1390763886954603e-05,0.0011604989238402782,0.0016076247421853212,0.004938370339034765,0.002267110406305382,0.00028238039794487637,5.9063302560994827e-05,0.00019690560640470915,0.0007440459482569547,0.0031127600822551406,1.2921358863361122e-06,0.0013194433275567422,0.0009850442794362055,2.0789878883410504e-05,0.0005758480868486381,0.003880183374459821,0.004351165336295926,0.0019925137991755014,0.0028575301516248213,0.0002483313727229151,0.00010383116314676448,0.00035471627865663855,0.014155676777922626,2.8775423052242314e-05,0.009467721489888274,1.5566388740685832e-06,0.00013827435327654563,0.0002663531436280245,3.748539765210354e-06,0.006286710981236739,0.0025933047616852885,1.3539792695628014e-05,0.0001299855253893861,6.344874617273232e-05,0.0018345060534512797,0.0013987975208051954,0.002986800472296376,0.0054991627275458085,0.00011820268961469093,8.834652769735925e-05,0.0023101084608481057,8.94174021066958e-06,1.2104123323683701e-05,0.0014077794556029931,0.0008890433187539744,0.011653462190934513,2.7941942496409046e-06,2.236649070721005e-05,0.0006745918548494318,0.001174565035209374,0.0005404371245728192,0.0016713042502968611,0.0019292253607387315,0.000587202830305983,0.012306420432690979,0.0014601015365786289,0.002506643626997248,0.008525942207174765,7.10004867025823e-05,0.0001646116539438569,0.001033526727202007,0.00018813225611295447,0.00085832621062962,0.001913835398821455,0.0019069233423186342,3.6860733180396504e-05,8.25095687361451e-05,0.004802719912116428,7.594547863185917e-05,0.00012141865624293092,0.0001086980466111221,0.0023076541775622836,0.002495438076190414,0.00045161503303517875,0.003807796337061123,0.00847521343658608
ctx-lh-rostralanteriorcingulate,DMN,0.0005027305097890611,0.0006856336688300243,0.0012998512606153243,0.00042181439274134586,0.0036324505053292053,0.00011486275213347299,0.0039235861564264765,0.0,0.002906476297869009,1.5446495203265795e-06,0.002774363189821721,5.694004487553469e-05,0.00014600587452222682,4.981150178826135e-05,5.818469097751137e-05,0.001041641431050188,0.00014266738116412887,0.007144686045433267,0.0037919508192896596,0.001169516402881423,0.002837004289927869,0.0009974648615802522,0.002458274564270834,0.004168573820719526,1.2612858398696273e-05,0.00019235097238716792,0.0020859866083377337,0.006590787877298593,9.818881589386407e-06,0.0035806347716071172,0.00022023564538929677,6.736301164941892e-05,0.0012723999214396845,0.00011943671643467734,0.00021027694193004762,4.849561060599225e-05,0.0045564654532593354,0.002223321971349971,0.001817719248738558,0.0013103933953689377,0.0002628667901162805,8.82634539707938e-06,0.00339895265145547,0.0004151999381361639,0.0006893572833704205,0.0013605003977273788,0.0020698908655327913,0.00028084980498173704,0.0008116504764661877,0.0029747922109277652,0.0017650068249422891,0.002639702393559354,0.0010062771223022183,0.0005552808123213622,0.0001690790937134436,5.303903940934809e-06,0.007628083311958976,0.000623323867804196,0.00022744672439012052,2.3069420927691315e-05,1.0382463532314583e-07,0.004362964203917625,0.0027233740981673174,0.001196887814378303,0.000690079949809052,0.003977547422948336,0.0007974933226992167,0.004729026305897221,0.0019753462331522044,0.00011509898326330353,0.0003496974558517851,0.00309914314744002,0.00030788849141312425,0.0012219189018773488,0.006917366372051167,0.0010117112027063693,0.0038341592982764033,0.0008582829931532026,0.002365795187385162,4.771774544471066e-07,0.004370212096225553,0.0002120135334810422,0.0024228588885103096
ctx-lh-superiortemporal,DMN,0.001313854023458903,0.0003285203185897553,0.007160150858604042,0.002763826382658458,0.010241852200367892,9.743058478515622e-05,0.0002202808417502262,3.494780629058673e-05,0.0,0.004987423001751204,0.00016090686745947886,0.001517165404438322,0.002347959907443339,0.03167877140501725,0.014941686755236952,0.0033550565180726927,0.04885065926600549,0.0005313893020929933,5.064375417972323e-06,0.008910743394387874,2.3176434051495154e-09,2.312246171986425e-06,0.031131664750415518,0.006617500394391189,0.002716724192013075,0.007714622028605845,0.09017075951051132,4.856782939749571e-08,1.705289451267784e-05,0.020098473260577114,0.006456679208668729,0.02840481144398708,0.015924461667375114,0.004100555975108213,0.0034644752301222327,2.2620431796165552e-05,0.0016247478300765725,5.4174447319552405e-05,0.03366071515166701,0.0027908009780005503,0.0018701880242149962,0.004581463541270835,0.0031334868443301587,0.003489662796708058,0.002686801244872226,0.00196722164475839,0.00027350002728494474,0.004164972673411111,0.0002638135721558845,0.015295056594744609,0.004354527326103241,0.00030504821036026673,0.0007674671064773463,0.000781313605487598,0.0033107661944747424,0.010275653089018375,0.0016041711422860377,0.0003049981365453935,0.0054816712687991345,0.0037166383761941886,0.05460486798009792,0.026248670720975035,0.013790149863080258,0.006179035345403426,0.00784847441287135,0.0011137645198610914,5.703685299804134e-05,0.019645044772072812,6.606418437443186e-05,0.02421010481658856,0.021050902252812774,0.010308241066640295,0.01163708149932274,0.0011143834838981477,0.013061005136930823,0.004147555516410123,0.0019196893902689496,0.008773453354509287,0.005482427063492047,0.0010799495148832233,0.015241597018471187,0.0004572033640135686,0.010326187397564817
ctx-rh-caudalanteriorcingulate,DMN,1.5247816738303845e-05,0.0006505759180398475,0.00042183323098981705,0.0005472636719037212,0.0035163430833235307,0.002369438826700645,0.000953000039012559,4.152313810871863e-05,0.001303806212386005,0.0,0.000748879815495874,4.1814205792474406e-08,0.0005327229280587293,0.002384138559532022,0.000702200905399131,0.00015961657040089187,0.004014627185970987,0.0008418158382683704,4.2485902284552714e-05,7.834286549803838e-05,0.0010478408026631367,1.5653612159353238e-05,0.002510362863638732,2.8568188760147525e-05,0.00018635300819871872,0.0008659801865114074,0.00030611774142673805,0.0003070381586850186,0.0031090782291991813,0.00019586780884285786,0.0009682463806329848,0.0013355253015187923,0.001885402566201072,0.0031471697857925595,0.0006133767679971163,0.0017684377295139962,1.294912039699016e-05,0.000283734622505583,4.669345143134362e-06,0.0009521106165991924,0.0019684175662877785,0.001683191692650239,0.0006559948061326802,0.0031534580585357826,0.00014688366072200087,1.8524717292571396e-05,0.0025230415556926414,0.002785315559988407,7.005874149226024e-05,0.00011268770875423647,4.905876619234691e-05,0.004416299589495901,0.0017647209523827228,0.000230502287502957,0.002360968124111759,7.559643536968364e-05,0.00011065438239566772,4.970803577906468e-06,2.7834222763347422e-05,7.428230125013616e-05,0.0002749702612201851,0.00015713143786458373,5.7653289072696666e-05,5.038320772409778e-06,0.0034120021107281553,0.002226149991910366,0.00019342258096584987,0.007121916089362125,0.004764951562212218,0.0015277446949529126,0.003177923215700259,0.0002719424675089108,0.0008929572160383175,0.0006379776748330589,0.005255331614203007,0.00031220569081167693,0.001579270156188753,0.0030126971896149604,0.00015242219905561334,0.003940681413384193,0.0003173202601143866,0.0008231813024953125,0.0008982993425844607
