region_index,region,target_burden,ace,acs,amce,direct_out_strength,direct_in_strength,ace_rank,acs_rank,amce_rank,requested_g,actual_g,tau,sample_count,whole_system_phi_eid,target_burden_sum,mean_rate_hz,stabilization_start_s,runge_path_scale_factor,runge_path_spectral_radius,runge_path_alpha,runge_path_max_length
8,ctx-lh-middletemporal,0.722314122557073,0.008309634449456732,0.0017575104061848053,1.2166004951446002e-05,0.5828078006396377,0.11969288320500011,5,74,11,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
70,ctx-rh-superiorfrontal,0.7152790242173064,0.007408047941961524,0.0024861003798747686,1.5455100569743854e-05,0.48573838685632276,0.17105451211223546,10,58,3,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
17,ctx-lh-supramarginal,0.7037877902886934,0.006858974500706267,0.0016839732556271463,9.63035522183303e-06,0.4504504956474516,0.11564529592434859,13,75,21,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
58,ctx-rh-supramarginal,0.6996975570415072,0.008103045624846997,0.0021417677079841406,1.4431624983787042e-05,0.5592426204011374,0.1455523740269246,7,68,5,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
49,ctx-rh-middletemporal,0.6976884691268982,0.005610769416620267,0.002180126243881524,1.0244223394924994e-05,0.38721634261504007,0.14937241191057166,20,67,18,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
19,ctx-lh-isthmuscingulate,0.6922812301064287,0.0020291890728104767,0.004017386566950936,6.805486290910938e-06,0.1395673532606909,0.27459796516751245,47,25,40,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
6,ctx-lh-fusiform,0.6897502931025383,0.007062686909018646,0.0018999674282654793,1.1190012077844609e-05,0.4834618814343476,0.13013316176681375,12,73,14,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
56,ctx-rh-precuneus,0.6776930698980365,0.005582259287673325,0.0029969978804481622,1.3890688658462588e-05,0.37444834470993893,0.20421058054711955,21,47,8,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
29,ctx-lh-superiorfrontal,0.6761719173520131,0.006198729525640121,0.002739549248469604,1.4078456134438329e-05,0.4317386858226761,0.18562993210304157,15,51,7,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
53,ctx-rh-transversetemporal,0.6752252631056407,0.002333636164525473,0.004192046199619224,8.212982222086203e-06,0.16078507671303024,0.287367342875641,41,22,30,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
33,ctx-lh-insula,0.6690813947831065,0.00843352677557636,0.0020572870546832836,1.4289581178537465e-05,0.5618747518071229,0.13935708840567212,4,70,6,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
66,ctx-rh-parsopercularis,0.6651520779584804,0.002837867735984838,0.003550956380516664,8.269139752221158e-06,0.19968198100552353,0.23823099972916895,33,38,28,1.7,1.7000000000000002,1.0,399.0,15.090759358562707,44.42899084001585,5.5017681966270535,0.15,1.0,0.1709391008716041,1.0,60.0
