target,rhs_component,sources,ei,joint_ei,synergy
M1,linear_self,M1,1.1602936551627827,1.1602936551627827,0.0
M1,positive_product_pair,M2+M8,0.05390365454607428,0.05390365454607428,0.02255555933404886
M1,negative_product_pair,M7+M8,0.12284721567888188,0.12284721567888188,0.04096259137648682
M2,linear_self,M2,0.9053260522360915,0.9053260522360915,0.0
M2,positive_product_pair,M3+M1,0.10609660793072352,0.10609660793072352,0.043419464563434346
M2,negative_product_pair,M8+M1,0.16822369846705681,0.16822369846705681,0.02251736552689053
M3,linear_self,M3,1.1567361817887891,1.1567361817887891,0.0
M3,positive_product_pair,M4+M2,0.02555230872292804,0.02555230872292804,0.006578219376410049
M3,negative_product_pair,M1+M2,0.1144294921969698,0.1144294921969698,0.009904325782477463
M4,linear_self,M4,0.9647035288293621,0.9647035288293621,0.0
M4,positive_product_pair,M5+M3,0.051298307651470074,0.051298307651470074,0.007491642098562089
M4,negative_product_pair,M2+M3,0.09175522111807215,0.09175522111807215,0.053020548110547745
M5,linear_self,M5,1.3397515992903513,1.3397515992903513,0.0
M5,positive_product_pair,M6+M4,0.04851322617942382,0.04851322617942382,0.006440731198644745
M5,negative_product_pair,M3+M4,0.10557638651586965,0.10557638651586965,0.03569791086133727
M6,linear_self,M6,0.9617024035323174,0.9617024035323174,0.0
M6,positive_product_pair,M7+M5,0.05278512289165596,0.05278512289165596,0.03537174143784812
M6,negative_product_pair,M4+M5,0.13776944946447764,0.13776944946447764,0.08613919612380413
M7,linear_self,M7,1.1319386429346938,1.1319386429346938,0.0
M7,positive_product_pair,M8+M6,0.0624615627377656,0.0624615627377656,0.006702429919304727
M7,negative_product_pair,M5+M6,0.10008273565614477,0.10008273565614477,0.04251299644105067
M8,linear_self,M8,1.1092349103362207,1.1092349103362207,0.0
M8,positive_product_pair,M1+M7,0.038568854199985916,0.038568854199985916,0.012004718398639827
M8,negative_product_pair,M6+M7,0.0749639972146349,0.0749639972146349,-0.023504351300487322
