target,term,left_source,right_source,left_ei,right_ei,joint_ei,syn
M1,positive_product,M2,M8,0.07874218841487761,0.11695817627835103,4.29790641315291,4.102206048459681
M1,negative_product,M7,M8,0.004413490835268625,0.044955143128822206,4.220926970663909,4.1715583366998175
M1,full_interaction_pos_pair,M2,M8,0.07059759686318925,0.017040384753201153,0.36592026224098345,0.27828228062459304
M1,full_interaction_neg_pair,M7,M8,0.014466496251252086,0.017040384753201153,0.36167751821492017,0.33017063721046697
M2,positive_product,M3,M1,0.169516196750107,0.04578597018194181,4.340658013634247,4.125355846702199
M2,negative_product,M8,M1,0.21483413555875286,0.01638338295499913,4.424870930681694,4.193653412167941
M2,full_interaction_pos_pair,M3,M1,0.08401068582590188,0.042166417292523434,0.4508552522939317,0.3246781491755064
M2,full_interaction_neg_pair,M8,M1,0.12391610139544666,0.042166417292523434,0.5684732052776232,0.40239068658965316
M3,positive_product,M4,M2,0.19896545506124205,0.025497456561228992,4.157463373068248,3.9330004614457774
M3,negative_product,M1,M2,0.12533231149252616,0.09840703083623742,4.226692136208942,4.002952793880178
M3,full_interaction_pos_pair,M4,M2,0.10093152132304502,0.07057217220701811,0.4400266734712699,0.2685229799412068
M3,full_interaction_neg_pair,M1,M2,0.0516913946797546,0.07057217220701811,0.42790266925920706,0.30563910237243436
M4,positive_product,M5,M3,0.17089337144353667,0.03246985152250411,4.403492609711672,4.2001293867456315
M4,negative_product,M2,M3,0.12409764870175724,0.00796265592084252,4.232052181999406,4.099991877376807
M4,full_interaction_pos_pair,M5,M3,0.1278205508953054,0.01773918083131052,0.5361368207323556,0.3905770890057396
M4,full_interaction_neg_pair,M2,M3,0.08216570211284614,0.01773918083131052,0.3836628373994255,0.28375795445526886
M5,positive_product,M6,M4,0.13878378887006948,0.05887127094330587,4.085196649786926,3.887541589973551
M5,negative_product,M3,M4,0.05116816863363747,0.01347300803564674,4.078306398368693,4.013665221699409
M5,full_interaction_pos_pair,M6,M4,0.08884905341550763,0.04109829542674228,0.431655694219428,0.3017083453771781
M5,full_interaction_neg_pair,M3,M4,0.05925383898707792,0.04109829542674228,0.46936357334650325,0.36901143893268307
M6,positive_product,M7,M5,0.13294201287611632,0.08449709726553235,4.470265842920597,4.252826732778948
M6,negative_product,M4,M5,0.093468574498066,0.010850433911915957,4.2542195911200835,4.149900582710102
M6,full_interaction_pos_pair,M7,M5,0.06530280018542454,0.0366321903193942,0.5809857979334866,0.47905080742866785
M6,full_interaction_neg_pair,M4,M5,0.049712959890891244,0.0366321903193942,0.42395190627798707,0.33760675606770163
M7,positive_product,M8,M6,0.15696761675656,0.014772852994594403,4.236383194097058,4.064642724345903
M7,negative_product,M5,M6,0.05515124435166059,0.013770198139862218,4.416994165600298,4.348072723108776
M7,full_interaction_pos_pair,M8,M6,0.07021841476243097,0.01006615382243105,0.26022973536485633,0.1799451667799943
M7,full_interaction_neg_pair,M5,M6,0.04208832993013324,0.01006615382243105,0.4603638557206086,0.40820937196804435
M8,positive_product,M1,M7,0.08538171099445083,0.22367123125022492,4.437478279690761,4.128425337446085
M8,negative_product,M6,M7,0.034147588831076145,0.016216653159864435,4.257014561501661,4.20665031951072
M8,full_interaction_pos_pair,M1,M7,0.05260774775971792,0.10142234962411888,0.4172413619108604,0.2632112645270236
M8,full_interaction_neg_pair,M6,M7,0.01905158331444417,0.10142234962411888,0.433670629669611,0.31319669673104794
